"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Autauga","Autauga County, Alabama",14132,66349,75366
"Baldwin","Baldwin County, Alabama",51903,60864,77416
"Barbour","Barbour County, Alabama",6062,43462,53168
"Bibb","Bibb County, Alabama",5337,43004,55607
"Blount","Blount County, Alabama",15667,52996,62048
"Bullock","Bullock County, Alabama",2389,44933,59486
"Butler","Butler County, Alabama",5346,38500,49463
"Calhoun","Calhoun County, Alabama",29999,50851,62181
"Chambers","Chambers County, Alabama",8999,41040,54364
"Cherokee","Cherokee County, Alabama",8384,45998,58696
"Chilton","Chilton County, Alabama",12109,52092,62649
"Choctaw","Choctaw County, Alabama",3552,45876,60456
"Clarke","Clarke County, Alabama",6219,45518,55799
"Clay","Clay County, Alabama",3920,43598,51713
"Cleburne","Cleburne County, Alabama",4036,46069,57446
"Coffee","Coffee County, Alabama",12998,58898,68788
"Colbert","Colbert County, Alabama",15112,50924,60308
"Conecuh","Conecuh County, Alabama",3438,31966,46231
"Coosa","Coosa County, Alabama",2891,46777,53276
"Covington","Covington County, Alabama",10292,43822,57480
"Crenshaw","Crenshaw County, Alabama",3700,48903,63280
"Cullman","Cullman County, Alabama",22418,47103,60525
"Dale","Dale County, Alabama",12785,56132,64298
"Dallas","Dallas County, Alabama",9770,38063,51593
"DeKalb","DeKalb County, Alabama",18179,45213,55919
"Elmore","Elmore County, Alabama",20863,65479,75720
"Escambia","Escambia County, Alabama",9321,36550,49758
"Etowah","Etowah County, Alabama",27863,47259,58594
"Fayette","Fayette County, Alabama",4814,44034,54485
"Franklin","Franklin County, Alabama",8797,46536,57893
"Geneva","Geneva County, Alabama",7684,43481,55962
"Greene","Greene County, Alabama",1991,31809,44412
"Hale","Hale County, Alabama",3923,38048,51361
"Henry","Henry County, Alabama",4835,54725,63863
"Houston","Houston County, Alabama",26581,52214,68524
"Jackson","Jackson County, Alabama",14635,47380,58353
"Jefferson","Jefferson County, Alabama",166244,59095,80639
"Lamar","Lamar County, Alabama",4435,42470,52560
"Lauderdale","Lauderdale County, Alabama",25263,55673,67337
"Lawrence","Lawrence County, Alabama",9576,48486,57781
"Lee","Lee County, Alabama",33438,61629,76673
"Limestone","Limestone County, Alabama",23059,57858,75139
"Lowndes","Lowndes County, Alabama",2621,40783,58964
"Macon","Macon County, Alabama",5079,41233,50566
"Madison","Madison County, Alabama",87328,75766,95150
"Marengo","Marengo County, Alabama",5734,48116,65415
"Marion","Marion County, Alabama",8912,41733,54556
"Marshall","Marshall County, Alabama",24209,48952,62701
"Mobile","Mobile County, Alabama",104815,52234,66681
"Monroe","Monroe County, Alabama",5653,36807,47888
"Montgomery","Montgomery County, Alabama",57030,56684,74553
"Morgan","Morgan County, Alabama",31975,55536,69855
"Perry","Perry County, Alabama",2307,32108,44356
"Pickens","Pickens County, Alabama",5221,38728,47889
"Pike","Pike County, Alabama",7900,46574,62537
"Randolph","Randolph County, Alabama",6133,45076,60359
"Russell","Russell County, Alabama",13510,42730,56831
"St. Clair","St. Clair County, Alabama",23181,57643,70096
"Shelby","Shelby County, Alabama",53404,82558,100582
"Sumter","Sumter County, Alabama",3179,35594,43421
"Talladega","Talladega County, Alabama",22367,43074,55996
"Tallapoosa","Tallapoosa County, Alabama",11634,46839,60627
"Tuscaloosa","Tuscaloosa County, Alabama",44487,58922,74265
"Walker","Walker County, Alabama",18082,46245,60178
"Washington","Washington County, Alabama",4834,50376,60270
"Wilcox","Wilcox County, Alabama",2572,26739,42839
"Winston","Winston County, Alabama",6560,41113,54200
