"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Aleutians East Borough, Alaska","Aleutians East Borough, Alaska",279,67750,81744
"Aleutians West Census Area, Alaska","Aleutians West Census Area, Alaska",623,87159,99072
"Anchorage Municipality, Alaska","Anchorage Municipality, Alaska",69974,90466,110096
"Bethel Census Area, Alaska","Bethel Census Area, Alaska",3226,53224,70049
"Bristol Bay Borough, Alaska","Bristol Bay Borough, Alaska",261,96458,99748
"Denali Borough, Alaska","Denali Borough, Alaska",414,99091,105670
"Dillingham Census Area, Alaska","Dillingham Census Area, Alaska",875,56089,79353
"Fairbanks North Star Borough, Alaska","Fairbanks North Star Borough, Alaska",22895,82930,96382
"Haines Borough, Alaska","Haines Borough, Alaska",673,68207,71429
"Hoonah-Angoon Census Area, Alaska","Hoonah-Angoon Census Area, Alaska",578,60000,77581
"Juneau City and Borough, Alaska","Juneau City and Borough, Alaska",8012,95112,111220
"Kenai Peninsula Borough, Alaska","Kenai Peninsula Borough, Alaska",14479,75689,90449
"Ketchikan Gateway Borough, Alaska","Ketchikan Gateway Borough, Alaska",3343,85638,94234
"Kodiak Island Borough, Alaska","Kodiak Island Borough, Alaska",3403,73887,84957
"Lake and Peninsula Borough, Alaska","Lake and Peninsula Borough, Alaska",381,53828,67149
"Matanuska-Susitna Borough, Alaska","Matanuska-Susitna Borough, Alaska",22437,81821,94064
"Nome Census Area, Alaska","Nome Census Area, Alaska",2077,47078,68463
"North Slope Borough, Alaska","North Slope Borough, Alaska",1432,82500,93625
"Northwest Arctic Borough, Alaska","Northwest Arctic Borough, Alaska",1464,57866,73225
"Petersburg Census Area, Alaska","Petersburg Census Area, Alaska",955,84861,95277
"Prince of Wales-Hyder Census Area, Alaska","Prince of Wales-Hyder Census Area, Alaska",1436,53333,68401
"Sitka City and Borough, Alaska","Sitka City and Borough, Alaska",2308,78000,89969
"Skagway Municipality, Alaska","Skagway Municipality, Alaska",228,77500,108829
"Southeast Fairbanks Census Area, Alaska","Southeast Fairbanks Census Area, Alaska",1563,66369,78154
"Valdez-Cordova Census Area, Alaska","Valdez-Cordova Census Area, Alaska",2571,88480,94131
"Wade Hampton Census Area, Alaska","Wade Hampton Census Area, Alaska",1451,40750,49917
"Wrangell City and Borough, Alaska","Wrangell City and Borough, Alaska",646,55286,73856
"Yakutat City and Borough, Alaska","Yakutat City and Borough, Alaska",161,80875,86245
"Yukon-Koyukuk Census Area, Alaska","Yukon-Koyukuk Census Area, Alaska",1222,46875,57561
