"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Apache","Apache County, Arizona",12996,37095,47433
"Cochise","Cochise County, Arizona",32607,55120,67932
"Coconino","Coconino County, Arizona",29860,59308,76491
"Gila","Gila County, Arizona",13546,48958,57806
"Graham","Graham County, Arizona",8050,50583,60022
"Greenlee","Greenlee County, Arizona",2431,48074,55883
"La Paz","La Paz County, Arizona",6348,42729,53040
"Maricopa","Maricopa County, Arizona",930395,63910,83160
"Mohave","Mohave County, Arizona",51645,47136,58795
"Navajo","Navajo County, Arizona",24763,43516,55082
"Pima","Pima County, Arizona",238028,57757,74537
"Pinal","Pinal County, Arizona",89831,55282,66298
"Santa Cruz","Santa Cruz County, Arizona",11376,41774,56421
"Yavapai","Yavapai County, Arizona",56865,53015,67035
"Yuma","Yuma County, Arizona",54380,44302,56737
