"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Arkansas","Arkansas County, Arkansas",5206,50137,63774
"Ashley","Ashley County, Arkansas",6078,45612,55977
"Baxter","Baxter County, Arkansas",12120,45499,57964
"Benton","Benton County, Arkansas",61061,61706,81517
"Boone","Boone County, Arkansas",10732,47585,60382
"Bradley","Bradley County, Arkansas",3234,39659,51689
"Calhoun","Calhoun County, Arkansas",1357,44638,51524
"Carroll","Carroll County, Arkansas",7501,46669,58319
"Chicot","Chicot County, Arkansas",2942,34451,52104
"Clark","Clark County, Arkansas",5354,48735,58286
"Clay","Clay County, Arkansas",4397,41121,50306
"Cleburne","Cleburne County, Arkansas",7166,49059,63075
"Cleveland","Cleveland County, Arkansas",2496,47576,59805
"Columbia","Columbia County, Arkansas",6505,47472,58747
"Conway","Conway County, Arkansas",5747,46002,57475
"Craighead","Craighead County, Arkansas",25840,52466,70430
"Crawford","Crawford County, Arkansas",17580,46113,57051
"Crittenden","Crittenden County, Arkansas",12749,48372,59459
"Cross","Cross County, Arkansas",4736,48100,56033
"Dallas","Dallas County, Arkansas",2072,39681,52526
"Desha","Desha County, Arkansas",3381,39937,53871
"Drew","Drew County, Arkansas",4984,39884,50112
"Faulkner","Faulkner County, Arkansas",28430,65155,76430
"Franklin","Franklin County, Arkansas",4764,43053,56025
"Fulton","Fulton County, Arkansas",3468,41720,52653
"Garland","Garland County, Arkansas",25627,48388,64002
"Grant","Grant County, Arkansas",5031,58808,68650
"Greene","Greene County, Arkansas",11548,48011,57916
"Hempstead","Hempstead County, Arkansas",5525,43407,52434
"Hot Spring","Hot Spring County, Arkansas",8485,49541,56593
"Howard","Howard County, Arkansas",3701,40970,54051
"Independence","Independence County, Arkansas",10017,44442,59144
"Izard","Izard County, Arkansas",3870,39717,48912
"Jackson","Jackson County, Arkansas",4248,38639,48650
"Jefferson","Jefferson County, Arkansas",18108,48562,62197
"Johnson","Johnson County, Arkansas",7072,37119,58231
"Lafayette","Lafayette County, Arkansas",1708,38913,52874
"Lawrence","Lawrence County, Arkansas",4376,42457,48138
"Lee","Lee County, Arkansas",2169,32986,42384
"Lincoln","Lincoln County, Arkansas",2992,40936,53178
"Little River","Little River County, Arkansas",3844,48406,55168
"Logan","Logan County, Arkansas",5650,46489,58126
"Lonoke","Lonoke County, Arkansas",18783,60786,68849
"Madison","Madison County, Arkansas",4305,43373,55501
"Marion","Marion County, Arkansas",4722,42333,49957
"Miller","Miller County, Arkansas",11334,51790,59668
"Mississippi","Mississippi County, Arkansas",11680,42286,55525
"Monroe","Monroe County, Arkansas",2169,35422,48246
"Montgomery","Montgomery County, Arkansas",2633,39469,53710
"Nevada","Nevada County, Arkansas",2382,42500,50450
"Newton","Newton County, Arkansas",2413,37243,49591
"Ouachita","Ouachita County, Arkansas",6927,42354,52400
"Perry","Perry County, Arkansas",2811,50840,63217
"Phillips","Phillips County, Arkansas",5465,34684,50686
"Pike","Pike County, Arkansas",3177,37440,52509
"Poinsett","Poinsett County, Arkansas",6353,39616,48331
"Polk","Polk County, Arkansas",5638,38275,50803
"Pope","Pope County, Arkansas",15877,47074,60919
"Prairie","Prairie County, Arkansas",2485,43408,48717
"Pulaski","Pulaski County, Arkansas",94427,58688,80803
"Randolph","Randolph County, Arkansas",5215,45492,53011
"St. Francis","St. Francis County, Arkansas",6263,34705,48084
"Saline","Saline County, Arkansas",29595,66936,76152
"Scott","Scott County, Arkansas",3210,42333,53240
"Searcy","Searcy County, Arkansas",2112,39444,48721
"Sebastian","Sebastian County, Arkansas",32107,50511,69130
"Sevier","Sevier County, Arkansas",4142,44267,50699
"Sharp","Sharp County, Arkansas",4584,40550,48564
"Stone","Stone County, Arkansas",3262,39665,51684
"Union","Union County, Arkansas",11691,46952,58855
"Van Buren","Van Buren County, Arkansas",4822,42607,52175
"Washington","Washington County, Arkansas",50143,54190,72838
"White","White County, Arkansas",20938,51449,65323
"Woodruff","Woodruff County, Arkansas",2001,36902,54241
"Yell","Yell County, Arkansas",5344,41469,51161
