"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Alameda","Alameda County, California",354289,88618,113258
"Alpine","Alpine County, California",263,76645,87965
"Amador","Amador County, California",9525,68593,83651
"Butte","Butte County, California",51029,55917,70462
"Calaveras","Calaveras County, California",12989,68401,82407
"Colusa","Colusa County, California",4994,56830,69459
"Contra Costa","Contra Costa County, California",265305,94208,121040
"Del Norte","Del Norte County, California",5954,51470,64333
"El Dorado","El Dorado County, California",48981,85253,104269
"Fresno","Fresno County, California",211170,50884,68428
"Glenn","Glenn County, California",6809,51705,74032
"Humboldt","Humboldt County, California",30562,52974,68455
"Imperial","Imperial County, California",37969,45540,60746
"Inyo","Inyo County, California",4462,70185,78488
"Kern","Kern County, California",191608,52618,69382
"Kings","Kings County, California",31566,50489,66499
"Lake","Lake County, California",16540,48323,60776
"Lassen","Lassen County, California",6442,65616,75295
"Los Angeles","Los Angeles County, California",2170631,62237,89466
"Madera","Madera County, California",32854,50772,64930
"Marin","Marin County, California",64282,117357,166853
"Mariposa","Mariposa County, California",4805,62278,70395
"Mendocino","Mendocino County, California",20585,54459,67910
"Merced","Merced County, California",58319,47456,63763
"Modoc","Modoc County, California",2397,46268,60708
"Mono","Mono County, California",3168,72237,78221
"Monterey","Monterey County, California",90557,63669,85628
"Napa","Napa County, California",33934,79700,104811
"Nevada","Nevada County, California",26204,70148,86803
"Orange","Orange County, California",712753,84765,111407
"Placer","Placer County, California",94036,87352,105204
"Plumas","Plumas County, California",5381,55183,74594
"Riverside","Riverside County, California",504705,63378,80100
"Sacramento","Sacramento County, California",337868,64154,80998
"San Benito","San Benito County, California",13458,71425,86693
"San Bernardino","San Bernardino County, California",459664,59294,74427
"San Diego","San Diego County, California",714977,73495,95914
"San Francisco","San Francisco County, California",156742,90116,130322
"San Joaquin","San Joaquin County, California",160476,59900,76699
"San Luis Obispo","San Luis Obispo County, California",64756,74885,90912
"San Mateo","San Mateo County, California",174540,105844,146954
"Santa Barbara","Santa Barbara County, California",92720,72602,101039
"Santa Clara","Santa Clara County, California",435873,103983,133959
"Santa Cruz","Santa Cruz County, California",58406,80899,103519
"Shasta","Shasta County, California",45221,54222,70127
"Sierra","Sierra County, California",769,52454,74657
"Siskiyou","Siskiyou County, California",12192,47183,58836
"Solano","Solano County, California",100840,76932,92122
"Sonoma","Sonoma County, California",117130,75896,97045
"Stanislaus","Stanislaus County, California",124157,55432,71330
"Sutter","Sutter County, California",23276,57129,76238
"Tehama","Tehama County, California",16089,49018,61542
"Trinity","Trinity County, California",3390,47349,59905
"Tulare","Tulare County, California",103015,45500,62103
"Tuolumne","Tuolumne County, California",14834,59152,74013
"Ventura","Ventura County, California",196812,86301,108899
"Yolo","Yolo County, California",43818,74687,94292
"Yuba","Yuba County, California",17731,50648,60669
