"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, Colorado",108342,64611,75968
"Alamosa","Alamosa County, Colorado",3676,49889,63892
"Arapahoe","Arapahoe County, Colorado",148229,73649,97469
"Archuleta","Archuleta County, Colorado",3397,58222,79223
"Baca","Baca County, Colorado",1101,48080,59213
"Bent","Bent County, Colorado",1213,42598,55615
"Boulder","Boulder County, Colorado",70777,92667,117904
"Broomfield","Broomfield County, Colorado",14691,96787,113578
"Chaffee","Chaffee County, Colorado",5124,59631,71558
"Cheyenne","Cheyenne County, Colorado",549,63938,70818
"Clear Creek","Clear Creek County, Colorado",2364,89583,122997
"Conejos","Conejos County, Colorado",2220,44338,51763
"Costilla","Costilla County, Colorado",821,41551,58949
"Crowley","Crowley County, Colorado",780,41270,50430
"Custer","Custer County, Colorado",1278,50000,63557
"Delta","Delta County, Colorado",8432,51539,67911
"Denver","Denver County, Colorado",128046,63705,92983
"Dolores","Dolores County, Colorado",499,51875,59766
"Douglas","Douglas County, Colorado",81035,112930,135267
"Eagle","Eagle County, Colorado",11315,86167,119125
"Elbert","Elbert County, Colorado",6369,89653,108518
"El Paso","El Paso County, Colorado",160830,70728,87294
"Fremont","Fremont County, Colorado",10994,48623,60689
"Garfield","Garfield County, Colorado",14164,66941,79407
"Gilpin","Gilpin County, Colorado",1429,87639,103909
"Grand","Grand County, Colorado",3311,74418,85953
"Gunnison","Gunnison County, Colorado",3407,67047,80629
"Hinsdale","Hinsdale County, Colorado",254,76000,79688
"Huerfano","Huerfano County, Colorado",1835,41862,62214
"Jackson","Jackson County, Colorado",390,60714,63195
"Jefferson","Jefferson County, Colorado",143318,84957,103676
"Kiowa","Kiowa County, Colorado",386,55938,68343
"Kit Carson","Kit Carson County, Colorado",2038,57538,63459
"Lake","Lake County, Colorado",1714,57267,65190
"La Plata","La Plata County, Colorado",13083,67732,85423
"Larimer","Larimer County, Colorado",76873,76194,92738
"Las Animas","Las Animas County, Colorado",3931,53089,62711
"Lincoln","Lincoln County, Colorado",1162,51875,68253
"Logan","Logan County, Colorado",5142,50000,65790
"Mesa","Mesa County, Colorado",39244,60534,77248
"Mineral","Mineral County, Colorado",236,68438,108631
"Moffat","Moffat County, Colorado",3323,68822,72710
"Montezuma","Montezuma County, Colorado",7221,49245,63035
"Montrose","Montrose County, Colorado",11391,55848,65074
"Morgan","Morgan County, Colorado",7531,50202,61738
"Otero","Otero County, Colorado",4833,41943,54340
"Ouray","Ouray County, Colorado",1313,72229,87093
"Park","Park County, Colorado",4732,76104,84222
"Phillips","Phillips County, Colorado",1162,54583,62110
"Pitkin","Pitkin County, Colorado",3933,93981,153028
"Prowers","Prowers County, Colorado",3279,44481,57481
"Pueblo","Pueblo County, Colorado",40011,52705,64083
"Rio Blanco","Rio Blanco County, Colorado",1757,75978,86538
"Rio Grande","Rio Grande County, Colorado",3147,45347,59373
"Routt","Routt County, Colorado",6117,74559,96659
"Saguache","Saguache County, Colorado",1594,41154,56234
"San Juan","San Juan County, Colorado",147,53194,59840
"San Miguel","San Miguel County, Colorado",1702,77708,117982
"Sedgwick","Sedgwick County, Colorado",612,53500,61491
"Summit","Summit County, Colorado",6300,79420,97549
"Teller","Teller County, Colorado",6628,73379,86298
"Washington","Washington County, Colorado",1408,55606,69540
"Weld","Weld County, Colorado",64965,66840,79757
"Yuma","Yuma County, Colorado",2331,53502,68052
"Colorado County, Texas","Colorado County, Texas",5691,55408,71438
