"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Alachua","Alachua County, Florida",51365,62139,83474
"Baker","Baker County, Florida",6298,58850,68997
"Bay","Bay County, Florida",43685,57295,69592
"Bradford","Bradford County, Florida",6165,49562,60013
"Brevard","Brevard County, Florida",142130,59810,75909
"Broward","Broward County, Florida",418780,61526,83467
"Calhoun","Calhoun County, Florida",3169,39384,50813
"Charlotte","Charlotte County, Florida",46164,53586,67358
"Citrus","Citrus County, Florida",38553,48013,60663
"Clay","Clay County, Florida",50998,68078,81079
"Collier","Collier County, Florida",82474,65980,106892
"Columbia","Columbia County, Florida",15313,45003,59237
"DeSoto","DeSoto County, Florida",7408,38565,47802
"Dixie","Dixie County, Florida",3848,42959,50822
"Duval","Duval County, Florida",207670,59238,77485
"Escambia","Escambia County, Florida",69084,55382,69819
"Flagler","Flagler County, Florida",25206,53823,70404
"Franklin","Franklin County, Florida",2923,48661,62606
"Gadsden","Gadsden County, Florida",10853,50314,54862
"Gilchrist","Gilchrist County, Florida",4430,46202,55763
"Glades","Glades County, Florida",2547,37317,47493
"Gulf","Gulf County, Florida",3717,44574,57090
"Hamilton","Hamilton County, Florida",3062,46295,59595
"Hardee","Hardee County, Florida",5700,40872,55273
"Hendry","Hendry County, Florida",7844,40657,56037
"Hernando","Hernando County, Florida",47915,48461,58293
"Highlands","Highlands County, Florida",25565,42866,54876
"Hillsborough","Hillsborough County, Florida",300804,59894,81698
"Holmes","Holmes County, Florida",4721,45713,52475
"Indian River","Indian River County, Florida",37230,56151,84774
"Jackson","Jackson County, Florida",10652,48028,57916
"Jefferson","Jefferson County, Florida",3638,51029,65210
"Lafayette","Lafayette County, Florida",1737,52627,70617
"Lake","Lake County, Florida",81205,54237,68207
"Lee","Lee County, Florida",159917,56847,78489
"Leon","Leon County, Florida",61657,68516,85720
"Levy","Levy County, Florida",10482,41278,51030
"Liberty","Liberty County, Florida",1494,52230,61043
"Madison","Madison County, Florida",4710,40486,50592
"Manatee","Manatee County, Florida",84432,58263,77074
"Marion","Marion County, Florida",89901,46538,60435
"Martin","Martin County, Florida",37275,68003,98939
"Miami-Dade","Miami-Dade County, Florida",567717,49138,73252
"Monroe","Monroe County, Florida",16587,63550,94730
"Nassau","Nassau County, Florida",20621,63888,82459
"Okaloosa","Okaloosa County, Florida",49332,64668,80370
"Okeechobee","Okeechobee County, Florida",8998,43119,55780
"Orange","Orange County, Florida",267140,56830,77581
"Osceola","Osceola County, Florida",67632,47839,59077
"Palm Beach","Palm Beach County, Florida",324859,64260,95409
"Pasco","Pasco County, Florida",121121,53807,67951
"Pinellas","Pinellas County, Florida",223360,59491,79505
"Polk","Polk County, Florida",151736,50944,63865
"Putnam","Putnam County, Florida",18305,40802,53067
"St. Johns","St. Johns County, Florida",52435,80707,111432
"St. Lucie","St. Lucie County, Florida",72781,50334,65583
"Santa Rosa","Santa Rosa County, Florida",42102,66006,78731
"Sarasota","Sarasota County, Florida",103411,61339,85307
"Seminole","Seminole County, Florida",99156,68680,89705
"Sumter","Sumter County, Florida",30455,58068,69335
"Suwannee","Suwannee County, Florida",10902,43716,51940
"Taylor","Taylor County, Florida",5253,42684,53129
"Union","Union County, Florida",2825,48365,54695
"Volusia","Volusia County, Florida",122373,53086,67410
"Wakulla","Wakulla County, Florida",7609,59910,67172
"Walton","Walton County, Florida",14632,56484,75306
"Washington","Washington County, Florida",5690,45152,54542
