"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Appling","Appling County, Georgia",4669,44610,58320
"Atkinson","Atkinson County, Georgia",1882,34500,51312
"Bacon","Bacon County, Georgia",2764,48115,58055
"Baker","Baker County, Georgia",856,46696,54737
"Baldwin","Baldwin County, Georgia",9831,48719,62754
"Banks","Banks County, Georgia",5006,51561,60826
"Barrow","Barrow County, Georgia",17814,58892,67442
"Bartow","Bartow County, Georgia",25801,56223,64869
"Ben Hill","Ben Hill County, Georgia",4038,35307,42475
"Berrien","Berrien County, Georgia",4999,42594,50906
"Bibb","Bibb County, Georgia",36231,49891,66670
"Bleckley","Bleckley County, Georgia",2675,46594,73038
"Brantley","Brantley County, Georgia",4979,41975,48543
"Brooks","Brooks County, Georgia",4211,46973,57843
"Bryan","Bryan County, Georgia",8676,74513,83614
"Bulloch","Bulloch County, Georgia",15066,52100,65827
"Burke","Burke County, Georgia",5438,41707,49974
"Butts","Butts County, Georgia",5492,61761,66330
"Calhoun","Calhoun County, Georgia",1097,39514,60742
"Camden","Camden County, Georgia",13834,60101,66968
"Candler","Candler County, Georgia",2696,42466,55397
"Carroll","Carroll County, Georgia",27795,54942,67051
"Catoosa","Catoosa County, Georgia",17570,55768,65089
"Charlton","Charlton County, Georgia",2590,50091,59516
"Chatham","Chatham County, Georgia",63273,55978,74810
"Chattahoochee","Chattahoochee County, Georgia",2101,49808,61294
"Chattooga","Chattooga County, Georgia",6509,40623,49825
"Cherokee","Cherokee County, Georgia",57631,78328,92398
"Clarke","Clarke County, Georgia",20623,50744,68992
"Clay","Clay County, Georgia",713,28352,38192
"Clayton","Clayton County, Georgia",56280,45355,55600
"Clinch","Clinch County, Georgia",1676,42792,55833
"Cobb","Cobb County, Georgia",176700,78058,100693
"Coffee","Coffee County, Georgia",10234,41964,55684
"Colquitt","Colquitt County, Georgia",11736,38765,53296
