"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Ada","Ada County, Idaho",102874,67641,84107
"Adams","Adams County, Idaho",1187,42978,58694
"Bannock","Bannock County, Idaho",20010,57079,68128
"Bear Lake","Bear Lake County, Idaho",1802,49145,61491
"Benewah","Benewah County, Idaho",2653,41110,51653
"Bingham","Bingham County, Idaho",11297,54323,63627
"Blaine","Blaine County, Idaho",6063,76575,97651
"Boise","Boise County, Idaho",1858,55586,67706
"Bonner","Bonner County, Idaho",11470,49568,62072
"Bonneville","Bonneville County, Idaho",26721,58034,73345
"Boundary","Boundary County, Idaho",2900,44390,55838
"Butte","Butte County, Idaho",680,50000,69551
"Camas","Camas County, Idaho",321,46587,60731
"Canyon","Canyon County, Idaho",46991,47302,56989
"Caribou","Caribou County, Idaho",1950,63545,68043
"Cassia","Cassia County, Idaho",5514,51608,62177
"Clark","Clark County, Idaho",227,33897,50562
"Clearwater","Clearwater County, Idaho",2347,49267,58928
"Custer","Custer County, Idaho",1147,60954,66046
"Elmore","Elmore County, Idaho",6684,49157,60030
"Franklin","Franklin County, Idaho",3161,56044,61048
"Fremont","Fremont County, Idaho",3441,51964,62337
"Gem","Gem County, Idaho",4539,49872,60541
"Gooding","Gooding County, Idaho",3948,45093,57230
"Idaho","Idaho County, Idaho",4509,44962,50209
"Jefferson","Jefferson County, Idaho",6690,56195,68055
"Jerome","Jerome County, Idaho",5686,46585,55146
"Kootenai","Kootenai County, Idaho",38681,56911,70299
"Latah","Latah County, Idaho",8474,60899,73013
"Lemhi","Lemhi County, Idaho",2317,53709,61894
"Lewis","Lewis County, Idaho",1051,48894,53225
"Lincoln","Lincoln County, Idaho",1254,47756,55058
"Madison","Madison County, Idaho",8084,37385,57758
"Minidoka","Minidoka County, Idaho",5233,49733,63073
"Nez Perce","Nez Perce County, Idaho",10304,58875,68198
"Oneida","Oneida County, Idaho",1124,46802,54564
"Owyhee","Owyhee County, Idaho",2786,37118,50001
"Payette","Payette County, Idaho",5771,51998,59377
"Power","Power County, Idaho",2031,45837,54994
"Shoshone","Shoshone County, Idaho",3576,47768,55666
"Teton","Teton County, Idaho",2357,62389,68578
"Twin Falls","Twin Falls County, Idaho",19950,50795,61834
"Valley","Valley County, Idaho",2394,60100,70324
"Washington","Washington County, Idaho",2589,46690,58643
