"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, Illinois",17503,58992,71365
"Alexander","Alexander County, Illinois",1937,33977,41140
"Bond","Bond County, Illinois",4264,61238,69236
"Boone","Boone County, Illinois",14042,67049,82389
"Brown","Brown County, Illinois",1367,64292,71680
"Bureau","Bureau County, Illinois",9216,60525,74052
"Calhoun","Calhoun County, Illinois",1447,61464,74607
"Carroll","Carroll County, Illinois",4369,56063,70298
"Cass","Cass County, Illinois",3522,53871,61741
"Champaign","Champaign County, Illinois",42670,69554,86155
"Christian","Christian County, Illinois",9071,56066,66786
"Clark","Clark County, Illinois",4596,55434,67858
"Clay","Clay County, Illinois",3616,52000,62788
"Clinton","Clinton County, Illinois",9800,76109,85783
"Coles","Coles County, Illinois",11880,53465,69799
"Cook","Cook County, Illinois",1186609,66187,92208
"Crawford","Crawford County, Illinois",5177,59235,74925
"Cumberland","Cumberland County, Illinois",2878,54423,67611
"DeKalb","DeKalb County, Illinois",22964,71343,80123
"De Witt","De Witt County, Illinois",4539,64446,75138
"Douglas","Douglas County, Illinois",5306,65220,72194
"DuPage","DuPage County, Illinois",238824,95208,121635
"Edgar","Edgar County, Illinois",5383,51601,63581
"Edwards","Edwards County, Illinois",1735,49290,59754
"Effingham","Effingham County, Illinois",9212,64204,81228
"Fayette","Fayette County, Illinois",5602,52735,63743
"Ford","Ford County, Illinois",3542,60799,73924
"Franklin","Franklin County, Illinois",10304,48376,57608
"Fulton","Fulton County, Illinois",9627,56215,64412
"Gallatin","Gallatin County, Illinois",1554,53250,65561
"Greene","Greene County, Illinois",3905,53680,61390
"Grundy","Grundy County, Illinois",12791,78918,89008
"Hamilton","Hamilton County, Illinois",2369,56202,66036
"Hancock","Hancock County, Illinois",5470,54700,63928
"Hardin","Hardin County, Illinois",1124,46932,63370
"Henderson","Henderson County, Illinois",2162,60066,69981
"Henry","Henry County, Illinois",13991,64959,78580
"Iroquois","Iroquois County, Illinois",8108,58930,71793
"Jackson","Jackson County, Illinois",11948,52697,71306
"Jasper","Jasper County, Illinois",2772,59406,67101
"Jefferson","Jefferson County, Illinois",10024,55188,68489
"Jersey","Jersey County, Illinois",6492,63789,74088
"Jo Daviess","Jo Daviess County, Illinois",6620,63490,83420
"Johnson","Johnson County, Illinois",3006,50796,63709
"Kane","Kane County, Illinois",127489,80085,99316
"Kankakee","Kankakee County, Illinois",28271,61559,71568
"Kendall","Kendall County, Illinois",29479,91368,102382
"Knox","Knox County, Illinois",12809,52496,64780
"Lake","Lake County, Illinois",179071,92116,124253
"LaSalle","LaSalle County, Illinois",29720,64693,74561
"Lawrence","Lawrence County, Illinois",3322,48269,59501
"Lee","Lee County, Illinois",9026,62194,76965
"Livingston","Livingston County, Illinois",9767,64978,77660
"Logan","Logan County, Illinois",7189,62765,72456
"McDonough","McDonough County, Illinois",6853,54058,66672
"McHenry","McHenry County, Illinois",82541,87760,100082
"McLean","McLean County, Illinois",39616,83812,99482
"Macon","Macon County, Illinois",28016,59733,76112
"Macoupin","Macoupin County, Illinois",13273,60309,69200
"Madison","Madison County, Illinois",71740,67064,79372
"Marion","Marion County, Illinois",10463,52408,61194
"Marshall","Marshall County, Illinois",3238,62827,73960
"Mason","Mason County, Illinois",4164,56188,63769
"Massac","Massac County, Illinois",3906,55256,64715
"Menard","Menard County, Illinois",3433,73969,82960
"Mercer","Mercer County, Illinois",4871,63831,73280
"Monroe","Monroe County, Illinois",9420,81766,95940
"Montgomery","Montgomery County, Illinois",7523,54529,64525
"Morgan","Morgan County, Illinois",9038,62224,72336
"Moultrie","Moultrie County, Illinois",4018,55610,66338
"Ogle","Ogle County, Illinois",13890,69172,78162
"Peoria","Peoria County, Illinois",46921,65884,83432
"Perry","Perry County, Illinois",5049,53689,63017
"Piatt","Piatt County, Illinois",4717,73890,87527
"Pike","Pike County, Illinois",4484,49542,59373
"Pope","Pope County, Illinois",1153,45551,56755
"Pulaski","Pulaski County, Illinois",1501,45764,58656
"Putnam","Putnam County, Illinois",1666,68179,76514
"Randolph","Randolph County, Illinois",8041,60224,68202
"Richland","Richland County, Illinois",4198,57038,69341
"Rock Island","Rock Island County, Illinois",37698,62123,76031
"St. Clair","St. Clair County, Illinois",69284,63373,78428
"Saline","Saline County, Illinois",6640,47023,63458
"Sangamon","Sangamon County, Illinois",51964,71338,85520
"Schuyler","Schuyler County, Illinois",2166,58547,66131
"Scott","Scott County, Illinois",1444,61563,71577
"Shelby","Shelby County, Illinois",6314,56074,64172
"Stark","Stark County, Illinois",1655,62993,70583
"Stephenson","Stephenson County, Illinois",12450,54367,64499
"Tazewell","Tazewell County, Illinois",37329,68994,80657
"Union","Union County, Illinois",4672,48879,63008
"Vermilion","Vermilion County, Illinois",20166,51986,61571
"Wabash","Wabash County, Illinois",3329,61412,70815
"Warren","Warren County, Illinois",4530,53887,65452
"Washington","Washington County, Illinois",4080,64959,73130
"Wayne","Wayne County, Illinois",4952,54060,61363
"White","White County, Illinois",4253,56110,72574
"Whiteside","Whiteside County, Illinois",15709,58305,67864
"Will","Will County, Illinois",171130,86747,100779
"Williamson","Williamson County, Illinois",17749,54242,67066
"Winnebago","Winnebago County, Illinois",74655,58536,71860
"Woodford","Woodford County, Illinois",10979,78590,93619
