"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, Indiana",8671,56345,64431
"Allen","Allen County, Indiana",90579,60867,76123
"Bartholomew","Bartholomew County, Indiana",20674,64614,79825
"Benton","Benton County, Indiana",2336,57079,66313
"Blackford","Blackford County, Indiana",3625,45310,53525
"Boone","Boone County, Indiana",16166,80907,115866
"Brown","Brown County, Indiana",4141,59221,73300
"Carroll","Carroll County, Indiana",5551,60427,70772
"Cass","Cass County, Indiana",10077,50753,62018
"Clark","Clark County, Indiana",28306,60754,71145
"Clay","Clay County, Indiana",7356,57826,63606
"Clinton","Clinton County, Indiana",8408,57960,65801
"Crawford","Crawford County, Indiana",2889,46628,56829
"Daviess","Daviess County, Indiana",7936,56684,68359
"Dearborn","Dearborn County, Indiana",13262,70251,83774
"Decatur","Decatur County, Indiana",6830,54432,64161
"DeKalb","DeKalb County, Indiana",11486,56561,68035
"Delaware","Delaware County, Indiana",27873,51591,65136
"Dubois","Dubois County, Indiana",11401,66988,75740
"Elkhart","Elkhart County, Indiana",50812,53154,65090
"Fayette","Fayette County, Indiana",6461,46311,54243
"Floyd","Floyd County, Indiana",20169,66670,79634
"Fountain","Fountain County, Indiana",4715,54191,64933
"Franklin","Franklin County, Indiana",6452,63675,73205
"Fulton","Fulton County, Indiana",5796,47724,59950
"Gibson","Gibson County, Indiana",9167,61861,71915
"Grant","Grant County, Indiana",17507,49685,60459
"Greene","Greene County, Indiana",8979,54728,63798
"Hamilton","Hamilton County, Indiana",76696,99768,122879
"Hancock","Hancock County, Indiana",19490,72559,82156
"Harrison","Harrison County, Indiana",10220,59691,69447
"Hendricks","Hendricks County, Indiana",40056,79943,90791
"Henry","Henry County, Indiana",12399,51172,59981
"Howard","Howard County, Indiana",22475,57615,68834
"Huntington","Huntington County, Indiana",9769,57067,67667
"Jackson","Jackson County, Indiana",11506,56297,64518
"Jasper","Jasper County, Indiana",9147,67259,72216
"Jay","Jay County, Indiana",5506,47376,56365
"Jefferson","Jefferson County, Indiana",8478,52922,62481
"Jennings","Jennings County, Indiana",7320,51657,59724
"Johnson","Johnson County, Indiana",37560,73059,86606
"Knox","Knox County, Indiana",9529,53840,63444
"Kosciusko","Kosciusko County, Indiana",21184,60725,73482
"LaGrange","LaGrange County, Indiana",9255,51922,67498
"Lake","Lake County, Indiana",122309,60080,72596
"LaPorte","LaPorte County, Indiana",28009,58674,68521
"Lawrence","Lawrence County, Indiana",13164,52567,63190
"Madison","Madison County, Indiana",32706,54074,63589
"Marion","Marion County, Indiana",213144,52417,69572
"Marshall","Marshall County, Indiana",12253,57613,66311
"Martin","Martin County, Indiana",2709,55776,65056
"Miami","Miami County, Indiana",9102,53154,60950
"Monroe","Monroe County, Indiana",27437,62959,78236
"Montgomery","Montgomery County, Indiana",10259,53218,63995
"Morgan","Morgan County, Indiana",19354,63148,75563
"Newton","Newton County, Indiana",3859,57870,71913
"Noble","Noble County, Indiana",12703,57363,65377
"Ohio","Ohio County, Indiana",1679,59539,70027
"Orange","Orange County, Indiana",5209,46454,53347
"Owen","Owen County, Indiana",6084,51503,59936
"Parke","Parke County, Indiana",4142,52130,65475
"Perry","Perry County, Indiana",4953,57732,64671
"Pike","Pike County, Indiana",3696,50069,63074
"Porter","Porter County, Indiana",43450,76004,86649
"Posey","Posey County, Indiana",7432,73319,83673
"Pulaski","Pulaski County, Indiana",3604,53822,62508
"Putnam","Putnam County, Indiana",9072,59037,70908
"Randolph","Randolph County, Indiana",7056,47682,60409
"Ripley","Ripley County, Indiana",7773,59022,67643
"Rush","Rush County, Indiana",4933,56923,66901
"St. Joseph","St. Joseph County, Indiana",65452,56861,71505
"Scott","Scott County, Indiana",6353,48435,59350
"Shelby","Shelby County, Indiana",11897,60234,69481
"Spencer","Spencer County, Indiana",5795,64930,69779
"Starke","Starke County, Indiana",6349,46205,56364
"Steuben","Steuben County, Indiana",9580,56300,67570
"Sullivan","Sullivan County, Indiana",5462,55748,63361
"Switzerland","Switzerland County, Indiana",2990,48689,56316
"Tippecanoe","Tippecanoe County, Indiana",38212,63086,79670
"Tipton","Tipton County, Indiana",4845,60757,69380
"Union","Union County, Indiana",2018,57330,61267
"Vanderburgh","Vanderburgh County, Indiana",44977,58352,70915
"Vermillion","Vermillion County, Indiana",4255,50674,59573
"Vigo","Vigo County, Indiana",24490,52203,66495
"Wabash","Wabash County, Indiana",9026,52204,60777
"Warren","Warren County, Indiana",2429,61784,82437
"Warrick","Warrick County, Indiana",17003,72764,90236
"Washington","Washington County, Indiana",7445,50107,62984
"Wayne","Wayne County, Indiana",18814,48417,59168
"Wells","Wells County, Indiana",7833,57459,70281
"White","White County, Indiana",6846,60995,67780
"Whitley","Whitley County, Indiana",9219,61149,70159
"Indiana County, Pennsylvania","Indiana County, Pennsylvania",21857,56225,70664
