"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adair","Adair County, Iowa",2071,60232,71183
"Adams","Adams County, Iowa",1182,56552,63304
"Allamakee","Allamakee County, Iowa",3900,56269,67072
"Appanoose","Appanoose County, Iowa",3478,51142,59024
"Audubon","Audubon County, Iowa",1692,61845,84810
"Benton","Benton County, Iowa",7408,69676,76606
"Black Hawk","Black Hawk County, Iowa",31212,61495,72828
"Boone","Boone County, Iowa",6837,67769,80034
"Bremer","Bremer County, Iowa",6546,75486,86450
"Buchanan","Buchanan County, Iowa",5867,69097,82609
"Buena Vista","Buena Vista County, Iowa",4915,58937,72727
"Butler","Butler County, Iowa",4367,63153,71095
"Calhoun","Calhoun County, Iowa",2902,55234,69407
"Carroll","Carroll County, Iowa",5661,64495,71444
"Cass","Cass County, Iowa",3930,52403,66512
"Cedar","Cedar County, Iowa",5348,66176,73302
"Cerro Gordo","Cerro Gordo County, Iowa",11746,61804,76010
"Cherokee","Cherokee County, Iowa",3351,61634,71185
"Chickasaw","Chickasaw County, Iowa",3664,55735,65698
"Clarke","Clarke County, Iowa",2263,59972,71096
"Clay","Clay County, Iowa",4510,64651,85399
"Clayton","Clayton County, Iowa",5192,57348,68707
"Clinton","Clinton County, Iowa",13047,63452,73719
"Crawford","Crawford County, Iowa",4392,57067,68392
"Dallas","Dallas County, Iowa",18882,90092,108720
"Davis","Davis County, Iowa",2162,51772,66754
"Decatur","Decatur County, Iowa",2046,46275,59279
"Delaware","Delaware County, Iowa",5019,68096,75108
"Des Moines","Des Moines County, Iowa",10871,53237,67567
"Dickinson","Dickinson County, Iowa",5271,64798,82401
"Dubuque","Dubuque County, Iowa",24280,66046,78145
"Emmet","Emmet County, Iowa",2661,63310,84840
"Fayette","Fayette County, Iowa",5256,60296,67776
"Floyd","Floyd County, Iowa",4593,56004,67137
"Franklin","Franklin County, Iowa",3023,54625,72047
"Fremont","Fremont County, Iowa",2030,61389,77353
"Greene","Greene County, Iowa",2606,57150,74563
"Grundy","Grundy County, Iowa",3539,70837,90353
"Guthrie","Guthrie County, Iowa",3294,62036,77818
"Hamilton","Hamilton County, Iowa",4139,58135,67296
"Hancock","Hancock County, Iowa",3140,60921,71138
"Hardin","Hardin County, Iowa",4611,64360,72873
"Harrison","Harrison County, Iowa",4138,67468,74888
"Henry","Henry County, Iowa",5090,58504,67739
"Howard","Howard County, Iowa",2440,55582,68057
"Humboldt","Humboldt County, Iowa",2832,62143,72844
"Ida","Ida County, Iowa",2011,58470,72466
"Iowa","Iowa County, Iowa",4758,73465,77270
"Jackson","Jackson County, Iowa",5825,56474,68134
"Jasper","Jasper County, Iowa",9983,63418,71206
"Jefferson","Jefferson County, Iowa",4087,60989,80190
"Johnson","Johnson County, Iowa",29043,79964,97513
"Jones","Jones County, Iowa",5554,64955,77031
"Keokuk","Keokuk County, Iowa",2711,54323,62683
"Kossuth","Kossuth County, Iowa",4368,64283,81364
"Lee","Lee County, Iowa",9296,55274,64106
"Linn","Linn County, Iowa",53672,75761,88676
"Louisa","Louisa County, Iowa",3069,57545,68701
"Lucas","Lucas County, Iowa",2474,55547,58634
"Lyon","Lyon County, Iowa",3145,62459,72269
"Madison","Madison County, Iowa",4219,68812,80931
"Mahaska","Mahaska County, Iowa",5823,59173,69074
"Marion","Marion County, Iowa",9000,69241,76681
"Marshall","Marshall County, Iowa",10517,60501,71509
"Mills","Mills County, Iowa",4034,75167,82876
"Mitchell","Mitchell County, Iowa",2926,66895,70073
"Monona","Monona County, Iowa",2514,57292,69590
"Monroe","Monroe County, Iowa",2247,56887,66809
"Montgomery","Montgomery County, Iowa",3079,53586,63101
"Muscatine","Muscatine County, Iowa",11437,60616,72947
"O'Brien","O'Brien County, Iowa",3853,63912,81344
"Osceola","Osceola County, Iowa",1833,63939,70874
"Page","Page County, Iowa",4164,57784,67472
"Palo Alto","Palo Alto County, Iowa",2399,60550,71270
"Plymouth","Plymouth County, Iowa",6979,73086,81980
"Pocahontas","Pocahontas County, Iowa",1921,56607,70050
"Polk","Polk County, Iowa",112738,73043,90119
"Pottawattamie","Pottawattamie County, Iowa",24736,63669,75304
"Poweshiek","Poweshiek County, Iowa",4783,66827,75337
"Ringgold","Ringgold County, Iowa",1395,53353,62176
"Sac","Sac County, Iowa",2843,61942,73419
"Scott","Scott County, Iowa",42490,70480,86363
"Shelby","Shelby County, Iowa",3364,62273,74520
"Sioux","Sioux County, Iowa",8819,67067,79885
"Story","Story County, Iowa",18849,76860,89733
"Tama","Tama County, Iowa",4905,60657,73024
"Taylor","Taylor County, Iowa",1840,51701,63540
"Union","Union County, Iowa",3448,55380,65640
"Van Buren","Van Buren County, Iowa",2095,54591,60256
"Wapello","Wapello County, Iowa",9445,51694,63049
"Warren","Warren County, Iowa",12869,74558,85295
"Washington","Washington County, Iowa",6045,66967,76359
"Wayne","Wayne County, Iowa",1686,52447,65476
"Webster","Webster County, Iowa",9052,57137,70403
"Winnebago","Winnebago County, Iowa",3026,61599,69759
"Winneshiek","Winneshiek County, Iowa",5390,66694,76483
"Woodbury","Woodbury County, Iowa",25522,57202,69797
"Worth","Worth County, Iowa",2235,60159,73463
"Wright","Wright County, Iowa",3354,59070,71279
"Iowa County, Wisconsin","Iowa County, Wisconsin",6606,70079,77786
