"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Allen","Allen County, Kansas",3588,50344,57629
"Anderson","Anderson County, Kansas",2289,54962,64753
"Atchison","Atchison County, Kansas",4063,56271,66845
"Barber","Barber County, Kansas",1436,56048,69942
"Barton","Barton County, Kansas",7384,56250,69405
"Bourbon","Bourbon County, Kansas",3850,50231,57980
"Brown","Brown County, Kansas",2632,52456,60848
"Butler","Butler County, Kansas",17274,70484,84891
"Chase","Chase County, Kansas",728,56346,63733
"Chautauqua","Chautauqua County, Kansas",1091,45221,56562
"Cherokee","Cherokee County, Kansas",5518,51748,60219
"Cheyenne","Cheyenne County, Kansas",820,53571,61779
"Clark","Clark County, Kansas",613,52083,74425
"Clay","Clay County, Kansas",2239,57236,69564
"Cloud","Cloud County, Kansas",2446,45688,55070
"Coffey","Coffey County, Kansas",2425,66026,76295
"Comanche","Comanche County, Kansas",504,55431,60103
"Cowley","Cowley County, Kansas",8964,53091,65484
"Crawford","Crawford County, Kansas",9244,50936,66125
"Decatur","Decatur County, Kansas",895,44243,66462
"Dickinson","Dickinson County, Kansas",5445,58884,67833
"Doniphan","Doniphan County, Kansas",2137,57530,66978
"Douglas","Douglas County, Kansas",23609,70955,89125
"Edwards","Edwards County, Kansas",831,55114,68110
"Elk","Elk County, Kansas",828,43500,51129
"Ellis","Ellis County, Kansas",6431,63712,76205
"Ellsworth","Ellsworth County, Kansas",1616,58566,70523
"Finney","Finney County, Kansas",8985,56111,69587
"Ford","Ford County, Kansas",8039,57380,65875
"Franklin","Franklin County, Kansas",6834,58750,68530
"Geary","Geary County, Kansas",8797,51712,64124
"Gove","Gove County, Kansas",842,51939,70338
"Graham","Graham County, Kansas",738,59000,78109
"Grant","Grant County, Kansas",2197,59306,81058
"Gray","Gray County, Kansas",1567,63875,77744
"Greeley","Greeley County, Kansas",347,58875,88510
"Greenwood","Greenwood County, Kansas",1859,53288,61211
"Hamilton","Hamilton County, Kansas",743,51953,70568
"Harper","Harper County, Kansas",1662,48333,62817
"Harvey","Harvey County, Kansas",9152,65591,72046
"Haskell","Haskell County, Kansas",1052,60125,76090
"Hodgeman","Hodgeman County, Kansas",596,67000,83168
"Jackson","Jackson County, Kansas",3869,63807,70288
"Jefferson","Jefferson County, Kansas",5338,67439,75764
"Jewell","Jewell County, Kansas",962,51957,59958
"Johnson","Johnson County, Kansas",146900,92512,117261
"Kearny","Kearny County, Kansas",958,60735,68315
"Kingman","Kingman County, Kansas",2150,58299,66555
"Kiowa","Kiowa County, Kansas",680,57647,67634
"Labette","Labette County, Kansas",5732,49907,64814
"Lane","Lane County, Kansas",447,64886,84172
"Leavenworth","Leavenworth County, Kansas",18607,77727,87214
"Lincoln","Lincoln County, Kansas",898,54167,60204
"Linn","Linn County, Kansas",3046,52761,71276
"Logan","Logan County, Kansas",760,59412,68860
"Lyon","Lyon County, Kansas",7791,51106,62194
"McPherson","McPherson County, Kansas",8086,68039,80045
"Marion","Marion County, Kansas",3333,57375,63733
"Marshall","Marshall County, Kansas",2786,60625,69072
"Meade","Meade County, Kansas",1287,54093,62139
"Miami","Miami County, Kansas",8986,73528,85458
"Mitchell","Mitchell County, Kansas",1770,61486,76622
"Montgomery","Montgomery County, Kansas",9105,52583,60674
"Morris","Morris County, Kansas",1628,57161,68963
"Morton","Morton County, Kansas",891,51250,64450
"Nemaha","Nemaha County, Kansas",2832,61696,73598
"Neosho","Neosho County, Kansas",4425,49915,59424
"Ness","Ness County, Kansas",899,61940,84325
"Norton","Norton County, Kansas",1376,63182,67558
"Osage","Osage County, Kansas",4635,62512,71090
"Osborne","Osborne County, Kansas",1077,49073,63981
"Ottawa","Ottawa County, Kansas",1761,66085,75658
"Pawnee","Pawnee County, Kansas",1601,56750,70511
"Phillips","Phillips County, Kansas",1587,55102,64968
"Pottawatomie","Pottawatomie County, Kansas",5627,71259,80108
"Pratt","Pratt County, Kansas",2626,60000,77272
"Rawlins","Rawlins County, Kansas",785,55551,66726
"Reno","Reno County, Kansas",16996,54770,67580
"Republic","Republic County, Kansas",1375,52944,67661
"Rice","Rice County, Kansas",2688,57196,69078
"Riley","Riley County, Kansas",13786,63634,78522
"Rooks","Rooks County, Kansas",1473,53029,64782
"Rush","Rush County, Kansas",928,52727,61136
"Russell","Russell County, Kansas",2054,48132,64645
"Saline","Saline County, Kansas",14581,55970,71321
"Scott","Scott County, Kansas",1453,55938,67517
"Sedgwick","Sedgwick County, Kansas",124837,63042,77443
"Seward","Seward County, Kansas",5462,52529,63289
"Shawnee","Shawnee County, Kansas",45929,63230,77256
"Sheridan","Sheridan County, Kansas",689,57244,69150
"Sherman","Sherman County, Kansas",1634,46154,58819
"Smith","Smith County, Kansas",1183,51914,69211
"Stafford","Stafford County, Kansas",1224,56667,66396
"Stanton","Stanton County, Kansas",570,50948,65444
"Stevens","Stevens County, Kansas",1446,63438,79007
"Sumner","Sumner County, Kansas",6113,61676,70474
"Thomas","Thomas County, Kansas",1689,71777,93968
"Trego","Trego County, Kansas",813,56090,67539
"Wabaunsee","Wabaunsee County, Kansas",1998,65417,70448
"Wallace","Wallace County, Kansas",428,59038,78420
"Washington","Washington County, Kansas",1620,55034,63907
"Wichita","Wichita County, Kansas",621,54952,64099
"Wilson","Wilson County, Kansas",2585,48174,56010
"Woodson","Woodson County, Kansas",926,47159,60216
"Wyandotte","Wyandotte County, Kansas",36955,47025,57079
