"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adair","Adair County, Kentucky",4948,45463,52156
"Allen","Allen County, Kentucky",5629,49378,57221
"Anderson","Anderson County, Kentucky",6032,64806,68344
"Ballard","Ballard County, Kentucky",2265,56414,72838
"Barren","Barren County, Kentucky",11733,51272,56975
"Bath","Bath County, Kentucky",3072,36823,48880
"Bell","Bell County, Kentucky",7549,31816,43099
"Boone","Boone County, Kentucky",32123,78101,90615
"Bourbon","Bourbon County, Kentucky",5407,48310,65454
"Boyd","Boyd County, Kentucky",13232,53328,74245
"Boyle","Boyle County, Kentucky",7472,49654,65204
"Bracken","Bracken County, Kentucky",2164,55526,64544
"Breathitt","Breathitt County, Kentucky",3432,28825,42857
"Breckinridge","Breckinridge County, Kentucky",5178,46870,54460
"Bullitt","Bullitt County, Kentucky",20986,62514,71290
"Butler","Butler County, Kentucky",3684,45314,51598
"Caldwell","Caldwell County, Kentucky",3516,48478,58894
"Calloway","Calloway County, Kentucky",8773,56752,69344
"Campbell","Campbell County, Kentucky",22673,69837,81785
"Carlisle","Carlisle County, Kentucky",1534,47667,59780
"Carroll","Carroll County, Kentucky",2863,46281,57883
"Carter","Carter County, Kentucky",7151,44210,56201
"Casey","Casey County, Kentucky",4214,41516,47701
"Christian","Christian County, Kentucky",18397,45583,59264
"Clark","Clark County, Kentucky",10269,57583,70317
"Clay","Clay County, Kentucky",4939,30085,41129
"Clinton","Clinton County, Kentucky",2585,31364,46393
"Crittenden","Crittenden County, Kentucky",2451,48083,64457
"Cumberland","Cumberland County, Kentucky",1708,37620,46361
"Daviess","Daviess County, Kentucky",25866,57866,67025
"Edmonson","Edmonson County, Kentucky",3429,47637,56541
"Elliott","Elliott County, Kentucky",1773,33786,43043
"Estill","Estill County, Kentucky",3968,36327,46089
"Fayette","Fayette County, Kentucky",71828,67973,89100
"Fleming","Fleming County, Kentucky",3913,45490,57401
"Floyd","Floyd County, Kentucky",10638,37838,51011
"Franklin","Franklin County, Kentucky",12760,58556,71466
"Fulton","Fulton County, Kentucky",1781,39274,50877
"Gallatin","Gallatin County, Kentucky",2052,48984,58036
"Garrard","Garrard County, Kentucky",4791,55105,61266
"Grant","Grant County, Kentucky",6427,51866,63370
"Graves","Graves County, Kentucky",10029,50693,63161
"Grayson","Grayson County, Kentucky",6803,41216,55995
"Green","Green County, Kentucky",3221,44338,53224
"Greenup","Greenup County, Kentucky",10204,53746,64851
"Hancock","Hancock County, Kentucky",2610,54461,62882
"Hardin","Hardin County, Kentucky",28277,58565,70504
"Harlan","Harlan County, Kentucky",8039,33791,46994
"Harrison","Harrison County, Kentucky",4643,51177,62443
"Hart","Hart County, Kentucky",5011,42359,52230
"Henderson","Henderson County, Kentucky",12498,54654,65935
"Henry","Henry County, Kentucky",4351,53557,64662
"Hickman","Hickman County, Kentucky",1196,46549,53509
"Hopkins","Hopkins County, Kentucky",12646,51596,62873
"Jackson","Jackson County, Kentucky",3985,29749,41736
"Jefferson","Jefferson County, Kentucky",187930,61622,80934
"Jessamine","Jessamine County, Kentucky",13441,58733,77973
"Johnson","Johnson County, Kentucky",6635,41981,57097
"Kenton","Kenton County, Kentucky",40067,66229,82971
"Knott","Knott County, Kentucky",4067,43684,56613
"Knox","Knox County, Kentucky",8237,32879,43791
"Larue","Larue County, Kentucky",3866,50559,58064
"Laurel","Laurel County, Kentucky",16887,43075,58984
"Lawrence","Lawrence County, Kentucky",4136,42182,51043
"Lee","Lee County, Kentucky",1910,30036,42235
"Leslie","Leslie County, Kentucky",2992,37796,47690
"Letcher","Letcher County, Kentucky",6467,44104,53187
"Lewis","Lewis County, Kentucky",3630,40119,50152
"Lincoln","Lincoln County, Kentucky",6896,43121,51424
"Livingston","Livingston County, Kentucky",2665,47075,57891
"Logan","Logan County, Kentucky",7455,47378,55207
"Lyon","Lyon County, Kentucky",1903,55125,65278
"McCracken","McCracken County, Kentucky",17563,57709,75381
"McCreary","McCreary County, Kentucky",4535,30543,38288
"McLean","McLean County, Kentucky",2651,47436,57341
"Madison","Madison County, Kentucky",20544,54652,67453
"Magoffin","Magoffin County, Kentucky",3530,34600,44050
"Marion","Marion County, Kentucky",4755,47360,57129
"Marshall","Marshall County, Kentucky",8784,54460,64668
"Martin","Martin County, Kentucky",3235,31922,45587
"Mason","Mason County, Kentucky",4666,48486,69505
"Meade","Meade County, Kentucky",7872,50574,63409
"Menifee","Menifee County, Kentucky",1608,33897,46823
"Mercer","Mercer County, Kentucky",5996,58533,65793
"Metcalfe","Metcalfe County, Kentucky",2717,40943,51283
"Monroe","Monroe County, Kentucky",2865,39949,49245
"Montgomery","Montgomery County, Kentucky",6773,45434,62024
"Morgan","Morgan County, Kentucky",3503,41116,52217
"Muhlenberg","Muhlenberg County, Kentucky",8579,44874,57903
"Nelson","Nelson County, Kentucky",12171,54708,69969
"Nicholas","Nicholas County, Kentucky",1974,48164,56652
"Ohio","Ohio County, Kentucky",6369,44200,56405
"Oldham","Oldham County, Kentucky",15915,91587,113197
"Owen","Owen County, Kentucky",3121,60356,67663
"Owsley","Owsley County, Kentucky",1129,29973,44591
"Pendleton","Pendleton County, Kentucky",3561,57357,68533
"Perry","Perry County, Kentucky",7587,40814,53168
"Pike","Pike County, Kentucky",17962,42210,54421
"Powell","Powell County, Kentucky",2989,39010,47647
"Pulaski","Pulaski County, Kentucky",17797,44363,59911
"Robertson","Robertson County, Kentucky",552,49643,53416
"Rockcastle","Rockcastle County, Kentucky",4808,39404,49915
"Rowan","Rowan County, Kentucky",5350,47044,56523
"Russell","Russell County, Kentucky",4774,37256,47098
"Scott","Scott County, Kentucky",13054,71455,83456
"Shelby","Shelby County, Kentucky",11749,70044,83364
"Simpson","Simpson County, Kentucky",4547,47303,57529
"Spencer","Spencer County, Kentucky",5122,69980,79793
"Taylor","Taylor County, Kentucky",6580,46250,54792
"Todd","Todd County, Kentucky",3306,51241,54696
"Trigg","Trigg County, Kentucky",4197,53893,70990
"Trimble","Trimble County, Kentucky",2558,57174,61801
"Union","Union County, Kentucky",4008,45143,58502
"Warren","Warren County, Kentucky",27838,60772,75297
"Washington","Washington County, Kentucky",3322,48578,57596
"Wayne","Wayne County, Kentucky",5770,36059,47254
"Webster","Webster County, Kentucky",3667,54448,61094
"Whitley","Whitley County, Kentucky",9379,37441,48664
"Wolfe","Wolfe County, Kentucky",1736,30407,42890
"Woodford","Woodford County, Kentucky",6606,71995,88357
