"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Acadia Parish, Louisiana","Acadia Parish, Louisiana",15841,46159,60707
"Allen Parish, Louisiana","Allen Parish, Louisiana",5436,48306,61336
"Ascension Parish, Louisiana","Ascension Parish, Louisiana",29532,77640,86317
"Assumption Parish, Louisiana","Assumption Parish, Louisiana",6162,55603,67011
"Avoyelles Parish, Louisiana","Avoyelles Parish, Louisiana",10887,40311,56490
"Beauregard Parish, Louisiana","Beauregard Parish, Louisiana",9505,59364,68615
"Bienville Parish, Louisiana","Bienville Parish, Louisiana",3690,42271,56048
"Bossier Parish, Louisiana","Bossier Parish, Louisiana",30219,67961,81659
"Caddo Parish, Louisiana","Caddo Parish, Louisiana",61452,52823,72095
"Calcasieu Parish, Louisiana","Calcasieu Parish, Louisiana",50632,55484,73525
"Caldwell Parish, Louisiana","Caldwell Parish, Louisiana",2643,47327,61519
"Cameron Parish, Louisiana","Cameron Parish, Louisiana",1899,71310,90346
"Catahoula Parish, Louisiana","Catahoula Parish, Louisiana",2634,44627,62776
"Claiborne Parish, Louisiana","Claiborne Parish, Louisiana",3694,39539,55105
"Concordia Parish, Louisiana","Concordia Parish, Louisiana",5270,38125,50732
"De Soto Parish, Louisiana","De Soto Parish, Louisiana",7175,51734,62680
"East Baton Rouge Parish, Louisiana","East Baton Rouge Parish, Louisiana",103104,63558,84827
"East Carroll Parish, Louisiana","East Carroll Parish, Louisiana",1620,30840,43689
"East Feliciana Parish, Louisiana","East Feliciana Parish, Louisiana",5043,54664,68374
"Evangeline Parish, Louisiana","Evangeline Parish, Louisiana",8524,41022,54204
"Franklin Parish, Louisiana","Franklin Parish, Louisiana",5213,40147,54662
"Grant Parish, Louisiana","Grant Parish, Louisiana",4905,47832,61040
"Iberia Parish, Louisiana","Iberia Parish, Louisiana",18903,51402,70956
"Iberville Parish, Louisiana","Iberville Parish, Louisiana",7829,54191,70828
"Jackson Parish, Louisiana","Jackson Parish, Louisiana",4444,45490,57732
"Jefferson Parish, Louisiana","Jefferson Parish, Louisiana",107787,61131,79532
"Jefferson Davis Parish, Louisiana","Jefferson Davis Parish, Louisiana",8334,51772,64953
"Lafayette Parish, Louisiana","Lafayette Parish, Louisiana",54098,67061,87196
"Lafourche Parish, Louisiana","Lafourche Parish, Louisiana",25284,59941,75090
"LaSalle Parish, Louisiana","LaSalle Parish, Louisiana",4099,55587,69891
"Lincoln Parish, Louisiana","Lincoln Parish, Louisiana",10300,51206,70317
"Livingston Parish, Louisiana","Livingston Parish, Louisiana",34363,66164,76656
"Madison Parish, Louisiana","Madison Parish, Louisiana",2447,33063,44587
"Morehouse Parish, Louisiana","Morehouse Parish, Louisiana",7037,39570,50212
"Natchitoches Parish, Louisiana","Natchitoches Parish, Louisiana",9585,47936,66981
"Orleans Parish, Louisiana","Orleans Parish, Louisiana",78318,46512,74429
"Ouachita Parish, Louisiana","Ouachita Parish, Louisiana",37849,50992,68263
"Plaquemines Parish, Louisiana","Plaquemines Parish, Louisiana",6401,66800,80427
"Pointe Coupee Parish, Louisiana","Pointe Coupee Parish, Louisiana",5753,59064,72422
"Rapides Parish, Louisiana","Rapides Parish, Louisiana",31097,51092,67798
"Red River Parish, Louisiana","Red River Parish, Louisiana",2362,46024,64440
"Richland Parish, Louisiana","Richland Parish, Louisiana",5586,45070,54948
"Sabine Parish, Louisiana","Sabine Parish, Louisiana",6162,46816,64681
"St. Bernard Parish, Louisiana","St. Bernard Parish, Louisiana",9908,45087,58354
"St. Charles Parish, Louisiana","St. Charles Parish, Louisiana",14084,66392,80555
"St. Helena Parish, Louisiana","St. Helena Parish, Louisiana",2990,40590,54049
"St. James Parish, Louisiana","St. James Parish, Louisiana",6049,63632,76737
"St. John the Baptist Parish, Louisiana","St. John the Baptist Parish, Louisiana",11401,56540,66876
"St. Landry Parish, Louisiana","St. Landry Parish, Louisiana",21473,45574,59461
"St. Martin Parish, Louisiana","St. Martin Parish, Louisiana",13059,54589,68352
"St. Mary Parish, Louisiana","St. Mary Parish, Louisiana",14038,48754,61901
"St. Tammany Parish, Louisiana","St. Tammany Parish, Louisiana",63510,74834,92854
"Tangipahoa Parish, Louisiana","Tangipahoa Parish, Louisiana",29928,53101,65970
"Tensas Parish, Louisiana","Tensas Parish, Louisiana",1369,35328,53469
"Terrebonne Parish, Louisiana","Terrebonne Parish, Louisiana",27821,60417,75386
"Union Parish, Louisiana","Union Parish, Louisiana",6012,48125,56508
"Vermilion Parish, Louisiana","Vermilion Parish, Louisiana",15568,54061,68946
"Vernon Parish, Louisiana","Vernon Parish, Louisiana",13446,51718,62162
"Washington Parish, Louisiana","Washington Parish, Louisiana",11768,41963,54653
"Webster Parish, Louisiana","Webster Parish, Louisiana",10756,44436,56290
"West Baton Rouge Parish, Louisiana","West Baton Rouge Parish, Louisiana",6448,64567,73602
"West Carroll Parish, Louisiana","West Carroll Parish, Louisiana",2883,44018,56991
"West Feliciana Parish, Louisiana","West Feliciana Parish, Louisiana",2981,75613,88360
"Winn Parish, Louisiana","Winn Parish, Louisiana",3873,45200,54726
