"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Androscoggin","Androscoggin County, Maine",27529,57444,69612
"Aroostook","Aroostook County, Maine",19203,50779,60334
"Cumberland","Cumberland County, Maine",72171,75432,95853
"Franklin","Franklin County, Maine",7937,50251,61684
"Hancock","Hancock County, Maine",15198,60022,72571
"Kennebec","Kennebec County, Maine",32535,59915,71720
"Knox","Knox County, Maine",10717,60581,74543
"Lincoln","Lincoln County, Maine",9670,59398,73482
"Oxford","Oxford County, Maine",14635,49920,59719
"Penobscot","Penobscot County, Maine",39131,56155,69408
"Piscataquis","Piscataquis County, Maine",5113,45917,57776
"Sagadahoc","Sagadahoc County, Maine",9713,69561,77642
"Somerset","Somerset County, Maine",14213,50051,59540
"Waldo","Waldo County, Maine",10519,52614,62460
"Washington","Washington County, Maine",8911,45117,55371
"York","York County, Maine",53010,70642,82731
