"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Barnstable","Barnstable County, Massachusetts",59553,76311,96969
"Berkshire","Berkshire County, Massachusetts",32794,65216,83923
"Bristol","Bristol County, Massachusetts",138396,72018,87236
"Dukes","Dukes County, Massachusetts",3879,82452,95849
"Essex","Essex County, Massachusetts",189950,84185,107156
"Franklin","Franklin County, Massachusetts",18339,67785,79591
"Hampden","Hampden County, Massachusetts",115839,61474,77022
"Hampshire","Hampshire County, Massachusetts",34661,81385,96235
"Middlesex","Middlesex County, Massachusetts",371061,104032,133033
"Nantucket","Nantucket County, Massachusetts",2462,92500,135463
"Norfolk","Norfolk County, Massachusetts",169375,108943,141594
"Plymouth","Plymouth County, Massachusetts",127961,90431,110459
"Suffolk","Suffolk County, Massachusetts",141599,61449,91237
"Worcester","Worcester County, Massachusetts",201213,81519,97466
