"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Alcona","Alcona County, Michigan",3188,45424,57658
"Alger","Alger County, Michigan",2246,46083,58297
"Allegan","Allegan County, Michigan",30856,59509,70606
"Alpena","Alpena County, Michigan",8201,48308,58388
"Antrim","Antrim County, Michigan",6805,53125,65125
"Arenac","Arenac County, Michigan",4411,45479,56518
"Baraga","Baraga County, Michigan",2062,51705,56844
"Barry","Barry County, Michigan",16159,63064,74623
"Bay","Bay County, Michigan",28710,55652,67171
"Benzie","Benzie County, Michigan",5180,54971,66686
"Berrien","Berrien County, Michigan",39861,56324,71610
"Branch","Branch County, Michigan",11054,50701,61066
"Calhoun","Calhoun County, Michigan",34681,52857,67046
"Cass","Cass County, Michigan",13830,55053,67115
"Charlevoix","Charlevoix County, Michigan",7394,56236,75438
"Cheboygan","Cheboygan County, Michigan",7623,46010,58305
"Chippewa","Chippewa County, Michigan",9110,54513,64053
"Clare","Clare County, Michigan",8468,40297,49226
"Clinton","Clinton County, Michigan",20039,72958,86604
"Crawford","Crawford County, Michigan",3880,50114,55109
"Delta","Delta County, Michigan",10393,53489,62370
"Dickinson","Dickinson County, Michigan",7672,53342,68091
"Eaton","Eaton County, Michigan",28707,65740,75341
"Emmet","Emmet County, Michigan",9190,61644,85032
"Genesee","Genesee County, Michigan",107022,53072,65234
"Gladwin","Gladwin County, Michigan",7522,45605,54919
"Gogebic","Gogebic County, Michigan",4134,46570,54194
"Grand Traverse","Grand Traverse County, Michigan",22743,63616,79964
"Gratiot","Gratiot County, Michigan",10158,50893,59841
"Hillsdale","Hillsdale County, Michigan",12378,49976,60167
"Houghton","Houghton County, Michigan",8147,52409,64771
"Huron","Huron County, Michigan",9084,50996,60896
"Ingham","Ingham County, Michigan",61908,62971,79474
"Ionia","Ionia County, Michigan",15764,54829,63565
"Iosco","Iosco County, Michigan",7026,45265,55935
"Iron","Iron County, Michigan",3143,46502,57620
"Isabella","Isabella County, Michigan",13689,51563,66431
"Jackson","Jackson County, Michigan",40593,57263,68449
"Kalamazoo","Kalamazoo County, Michigan",60345,62159,80236
"Kalkaska","Kalkaska County, Michigan",4461,48153,57437
"Kent","Kent County, Michigan",154002,63176,79883
"Keweenaw","Keweenaw County, Michigan",610,50250,61242
"Lake","Lake County, Michigan",2494,37664,46159
"Lapeer","Lapeer County, Michigan",24617,60597,71727
"Leelanau","Leelanau County, Michigan",6354,66570,86823
"Lenawee","Lenawee County, Michigan",25552,59156,67539
"Livingston","Livingston County, Michigan",51009,82959,96401
"Luce","Luce County, Michigan",1552,45950,55764
"Mackinac","Mackinac County, Michigan",3180,47542,57864
"Macomb","Macomb County, Michigan",222460,66612,78382
"Manistee","Manistee County, Michigan",6857,49708,61469
"Marquette","Marquette County, Michigan",15917,61103,73596
"Mason","Mason County, Michigan",8328,50719,62393
"Mecosta","Mecosta County, Michigan",10126,50330,62309
"Menominee","Menominee County, Michigan",6981,49566,57987
"Midland","Midland County, Michigan",22837,65735,87623
"Missaukee","Missaukee County, Michigan",4111,47446,56537
"Monroe","Monroe County, Michigan",41178,65363,76203
"Montcalm","Montcalm County, Michigan",16596,47435,55508
"Montmorency","Montmorency County, Michigan",2713,42632,51310
"Muskegon","Muskegon County, Michigan",44699,50092,61102
"Newaygo","Newaygo County, Michigan",12861,50181,60859
"Oakland","Oakland County, Michigan",320311,84182,108158
"Oceana","Oceana County, Michigan",6838,47419,56754
"Ogemaw","Ogemaw County, Michigan",5852,42137,53175
"Ontonagon","Ontonagon County, Michigan",1927,44986,52125
"Osceola","Osceola County, Michigan",6324,45839,52982
"Oscoda","Oscoda County, Michigan",2457,40517,48405
"Otsego","Otsego County, Michigan",6629,56823,69704
"Ottawa","Ottawa County, Michigan",69937,67166,81195
"Presque Isle","Presque Isle County, Michigan",4005,46601,56377
"Roscommon","Roscommon County, Michigan",7164,40691,57174
"Saginaw","Saginaw County, Michigan",49816,54004,66676
"St. Clair","St. Clair County, Michigan",43959,58697,70280
"St. Joseph","St. Joseph County, Michigan",15645,52116,61271
"Sanilac","Sanilac County, Michigan",10746,50648,61062
"Schoolcraft","Schoolcraft County, Michigan",2258,47557,59565
"Shiawassee","Shiawassee County, Michigan",19544,53971,64794
"Tuscola","Tuscola County, Michigan",14959,51319,59905
"Van Buren","Van Buren County, Michigan",19770,54472,64249
"Washtenaw","Washtenaw County, Michigan",78436,85115,104404
"Wayne","Wayne County, Michigan",422905,52423,68813
"Wexford","Wexford County, Michigan",8590,48790,59569
