"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Aitkin","Aitkin County, Minnesota",4963,50684,62794
"Anoka","Anoka County, Minnesota",87961,81798,92673
"Becker","Becker County, Minnesota",9287,59844,71883
"Beltrami","Beltrami County, Minnesota",11033,53549,65417
"Benton","Benton County, Minnesota",9990,64694,71706
"Big Stone","Big Stone County, Minnesota",1580,56012,68744
"Blue Earth","Blue Earth County, Minnesota",14184,68864,80365
"Brown","Brown County, Minnesota",6770,65804,75030
"Carlton","Carlton County, Minnesota",9210,63548,72477
"Carver","Carver County, Minnesota",25455,96913,118806
"Cass","Cass County, Minnesota",8923,53277,65742
"Chippewa","Chippewa County, Minnesota",3263,64608,75096
"Chisago","Chisago County, Minnesota",14248,75513,85573
"Clay","Clay County, Minnesota",14801,68533,76735
"Clearwater","Clearwater County, Minnesota",2492,52661,61317
"Cook","Cook County, Minnesota",1716,59643,78617
"Cottonwood","Cottonwood County, Minnesota",3224,55081,66322
"Crow Wing","Crow Wing County, Minnesota",18056,57958,72170
"Dakota","Dakota County, Minnesota",107517,88889,105003
"Dodge","Dodge County, Minnesota",5404,81702,90365
"Douglas","Douglas County, Minnesota",10448,65133,78639
"Faribault","Faribault County, Minnesota",4167,56849,66554
"Fillmore","Fillmore County, Minnesota",5746,64379,73838
"Freeborn","Freeborn County, Minnesota",8385,58220,71899
"Goodhue","Goodhue County, Minnesota",12610,73075,84133
"Grant","Grant County, Minnesota",1728,61455,72502
"Hennepin","Hennepin County, Minnesota",279427,84559,112017
"Houston","Houston County, Minnesota",5424,65646,74288
"Hubbard","Hubbard County, Minnesota",5938,55744,67723
"Isanti","Isanti County, Minnesota",9954,68053,77350
"Itasca","Itasca County, Minnesota",12989,56705,66161
"Jackson","Jackson County, Minnesota",3032,64625,76294
"Kanabec","Kanabec County, Minnesota",4258,54060,62086
"Kandiyohi","Kandiyohi County, Minnesota",11596,62904,77538
"Kittson","Kittson County, Minnesota",1206,64310,73032
"Koochiching","Koochiching County, Minnesota",3673,56065,73344
"Lac qui Parle","Lac qui Parle County, Minnesota",2105,60873,75339
"Lake","Lake County, Minnesota",3303,61548,72104
"Lake of the Woods","Lake of the Woods County, Minnesota",1090,49816,58904
"Le Sueur","Le Sueur County, Minnesota",7786,70426,81062
"Lincoln","Lincoln County, Minnesota",1615,63201,75145
"Lyon","Lyon County, Minnesota",6292,70016,81697
"McLeod","McLeod County, Minnesota",10098,67968,76373
"Mahnomen","Mahnomen County, Minnesota",1405,47781,57366
"Marshall","Marshall County, Minnesota",2663,65057,73619
"Martin","Martin County, Minnesota",5712,61233,75004
"Meeker","Meeker County, Minnesota",6528,63881,73058
"Mille Lacs","Mille Lacs County, Minnesota",6913,57885,64931
"Morrison","Morrison County, Minnesota",9032,60155,69578
"Mower","Mower County, Minnesota",10076,61094,73795
"Murray","Murray County, Minnesota",2496,63545,73752
"Nicollet","Nicollet County, Minnesota",8259,71741,80378
"Nobles","Nobles County, Minnesota",5658,55102,67758
"Norman","Norman County, Minnesota",1735,59103,68227
"Olmsted","Olmsted County, Minnesota",37863,83250,102937
"Otter Tail","Otter Tail County, Minnesota",16549,61645,73574
"Pennington","Pennington County, Minnesota",3529,61448,69490
"Pine","Pine County, Minnesota",7745,53869,62229
"Pipestone","Pipestone County, Minnesota",2618,56071,67850
"Polk","Polk County, Minnesota",8343,64911,77619
"Pope","Pope County, Minnesota",3176,64740,80094
"Ramsey","Ramsey County, Minnesota",119801,71206,88923
"Red Lake","Red Lake County, Minnesota",1118,59600,64003
"Redwood","Redwood County, Minnesota",4183,60685,74539
"Renville","Renville County, Minnesota",4282,58599,70744
"Rice","Rice County, Minnesota",15595,72133,81895
"Rock","Rock County, Minnesota",2724,58835,69067
"Roseau","Roseau County, Minnesota",4448,59226,71575
"St. Louis","St. Louis County, Minnesota",50162,63168,75110
"Scott","Scott County, Minnesota",34831,97693,112940
"Sherburne","Sherburne County, Minnesota",22864,80939,88598
"Sibley","Sibley County, Minnesota",4021,64750,74465
"Stearns","Stearns County, Minnesota",37197,69196,81253
"Steele","Steele County, Minnesota",9837,71627,81935
"Stevens","Stevens County, Minnesota",2226,71563,98925
"Swift","Swift County, Minnesota",2719,64250,70900
"Todd","Todd County, Minnesota",6837,53847,64502
"Traverse","Traverse County, Minnesota",946,62258,79175
"Wabasha","Wabasha County, Minnesota",6150,66629,79281
"Wadena","Wadena County, Minnesota",3756,50354,57694
"Waseca","Waseca County, Minnesota",5027,66173,77563
"Washington","Washington County, Minnesota",65270,94263,111667
"Watonwan","Watonwan County, Minnesota",3025,61064,73726
"Wilkin","Wilkin County, Minnesota",1757,62835,72400
"Winona","Winona County, Minnesota",11389,67948,77339
"Wright","Wright County, Minnesota",34144,81683,91194
"Yellow Medicine","Yellow Medicine County, Minnesota",2856,61389,71270
