"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Mississippi County, Arkansas","Mississippi County, Arkansas",11680,42286,55525
"Adams","Adams County, Mississippi",7127,36044,54552
"Alcorn","Alcorn County, Mississippi",9992,43320,56101
"Amite","Amite County, Mississippi",3246,36277,48150
"Attala","Attala County, Mississippi",4806,41356,55517
"Benton","Benton County, Mississippi",2123,42436,54403
"Bolivar","Bolivar County, Mississippi",7881,36443,51716
"Calhoun","Calhoun County, Mississippi",3889,39502,48526
"Carroll","Carroll County, Mississippi",2781,41038,54215
"Chickasaw","Chickasaw County, Mississippi",4520,36783,48585
"Choctaw","Choctaw County, Mississippi",2267,41164,51116
"Claiborne","Claiborne County, Mississippi",1978,31385,42065
"Clarke","Clarke County, Mississippi",4600,41518,52658
"Clay","Clay County, Mississippi",5699,39169,55021
"Coahoma","Coahoma County, Mississippi",6470,31078,46986
"Copiah","Copiah County, Mississippi",6698,45769,59720
"Covington","Covington County, Mississippi",4813,42657,53046
"DeSoto","DeSoto County, Mississippi",44020,64822,76072
"Forrest","Forrest County, Mississippi",17200,46827,60400
"Franklin","Franklin County, Mississippi",2413,39234,74784
"George","George County, Mississippi",5885,53793,62291
"Greene","Greene County, Mississippi",3055,47109,53217
"Grenada","Grenada County, Mississippi",5164,48301,63598
"Hancock","Hancock County, Mississippi",12795,53192,63617
"Harrison","Harrison County, Mississippi",47656,51941,66250
"Hinds","Hinds County, Mississippi",57415,47132,63588
"Holmes","Holmes County, Mississippi",4317,25995,36838
"Humphreys","Humphreys County, Mississippi",2016,28816,40438
"Issaquena","Issaquena County, Mississippi",295,26488,39418
"Itawamba","Itawamba County, Mississippi",6426,45142,54845
"Jackson","Jackson County, Mississippi",35024,58357,73187
"Jasper","Jasper County, Mississippi",4903,37218,51011
"Jefferson","Jefferson County, Mississippi",1671,32793,43652
"Jefferson Davis","Jefferson Davis County, Mississippi",3171,34986,46028
"Jones","Jones County, Mississippi",17973,43888,59405
"Kemper","Kemper County, Mississippi",2283,40962,48629
"Lafayette","Lafayette County, Mississippi",9313,59882,81064
"Lamar","Lamar County, Mississippi",15165,62945,80212
"Lauderdale","Lauderdale County, Mississippi",20146,46954,64682
"Lawrence","Lawrence County, Mississippi",3483,49975,62195
"Leake","Leake County, Mississippi",5828,38766,55570
"Lee","Lee County, Mississippi",22676,54292,64248
"Leflore","Leflore County, Mississippi",7043,30285,44635
"Lincoln","Lincoln County, Mississippi",9817,41572,56457
"Lowndes","Lowndes County, Mississippi",15132,48662,62519
"Madison","Madison County, Mississippi",25414,73775,102297
"Marion","Marion County, Mississippi",7050,38941,55059
"Marshall","Marshall County, Mississippi",9232,41319,54659
"Monroe","Monroe County, Mississippi",10209,45361,52148
"Montgomery","Montgomery County, Mississippi",2896,37395,44836
"Neshoba","Neshoba County, Mississippi",7619,41449,55087
"Newton","Newton County, Mississippi",6091,44720,56781
"Noxubee","Noxubee County, Mississippi",3034,34375,40022
"Oktibbeha","Oktibbeha County, Mississippi",9746,55210,70586
"Panola","Panola County, Mississippi",7930,41849,56780
"Pearl River","Pearl River County, Mississippi",14958,50330,61054
"Perry","Perry County, Mississippi",3331,40267,50074
"Pike","Pike County, Mississippi",9712,41288,55635
"Pontotoc","Pontotoc County, Mississippi",7137,50403,58811
"Prentiss","Prentiss County, Mississippi",6872,42093,49660
"Quitman","Quitman County, Mississippi",2086,28171,40233
"Rankin","Rankin County, Mississippi",38696,67674,81045
"Scott","Scott County, Mississippi",7000,39404,52611
"Sharkey","Sharkey County, Mississippi",1178,51250,50843
"Simpson","Simpson County, Mississippi",7006,44651,56641
"Smith","Smith County, Mississippi",4663,44849,60614
"Stone","Stone County, Mississippi",4294,50491,61144
"Sunflower","Sunflower County, Mississippi",5915,31893,46488
"Tallahatchie","Tallahatchie County, Mississippi",3253,37539,43322
"Tate","Tate County, Mississippi",7013,51887,66277
"Tippah","Tippah County, Mississippi",6280,41358,53403
"Tishomingo","Tishomingo County, Mississippi",5779,40949,52355
"Tunica","Tunica County, Mississippi",2341,34946,46103
"Union","Union County, Mississippi",7745,44772,55971
"Walthall","Walthall County, Mississippi",3581,43597,56553
"Warren","Warren County, Mississippi",12237,54240,67386
"Washington","Washington County, Mississippi",12412,33025,49850
"Wayne","Wayne County, Mississippi",5561,38502,59119
"Webster","Webster County, Mississippi",3050,45647,54752
"Wilkinson","Wilkinson County, Mississippi",2351,39966,47611
"Winston","Winston County, Mississippi",5229,40589,53658
"Yalobusha","Yalobusha County, Mississippi",3270,46360,56252
"Yazoo","Yazoo County, Mississippi",5937,33157,45878
"Mississippi County, Missouri","Mississippi County, Missouri",3338,38789,49664
