"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adair","Adair County, Missouri",5501,54609,66579
"Andrew","Andrew County, Missouri",4687,67006,75761
"Atchison","Atchison County, Missouri",1524,54247,64544
"Audrain","Audrain County, Missouri",6430,53564,60370
"Barry","Barry County, Missouri",9496,47663,56802
"Barton","Barton County, Missouri",3650,49713,59923
"Bates","Bates County, Missouri",4529,50469,60835
"Benton","Benton County, Missouri",5756,42896,52915
"Bollinger","Bollinger County, Missouri",3337,45273,58033
"Boone","Boone County, Missouri",37372,70096,89209
"Buchanan","Buchanan County, Missouri",21256,57326,67663
"Butler","Butler County, Missouri",11271,43135,56737
"Caldwell","Caldwell County, Missouri",2667,53186,61152
"Callaway","Callaway County, Missouri",11233,58357,69916
"Camden","Camden County, Missouri",12558,49942,60453
"Cape Girardeau","Cape Girardeau County, Missouri",19274,57604,70467
"Carroll","Carroll County, Missouri",2474,61400,71513
"Carter","Carter County, Missouri",1521,40597,51777
"Cass","Cass County, Missouri",27627,68480,81148
"Cedar","Cedar County, Missouri",3816,38058,47187
"Chariton","Chariton County, Missouri",1961,51356,58817
"Christian","Christian County, Missouri",22601,60493,74206
"Clark","Clark County, Missouri",1784,50288,58268
"Clay","Clay County, Missouri",59138,73380,86120
"Clinton","Clinton County, Missouri",5806,64341,72114
"Cole","Cole County, Missouri",19243,66712,78170
"Cooper","Cooper County, Missouri",4635,56565,67142
"Crawford","Crawford County, Missouri",6421,44985,51769
"Dade","Dade County, Missouri",2177,44175,57394
"Dallas","Dallas County, Missouri",4804,44382,53509
"Daviess","Daviess County, Missouri",2258,51500,59703
"DeKalb","DeKalb County, Missouri",2531,57163,61924
"Dent","Dent County, Missouri",4217,42356,53413
"Douglas","Douglas County, Missouri",3648,38312,46597
"Dunklin","Dunklin County, Missouri",8369,38503,50698
"Franklin","Franklin County, Missouri",27726,60741,73903
"Gasconade","Gasconade County, Missouri",4103,52579,62752
"Gentry","Gentry County, Missouri",1871,47750,58897
"Greene","Greene County, Missouri",69461,53359,67984
"Grundy","Grundy County, Missouri",2692,47000,56645
"Harrison","Harrison County, Missouri",2319,44691,54314
"Henry","Henry County, Missouri",6154,50344,59811
"Hickory","Hickory County, Missouri",2826,36457,44446
"Holt","Holt County, Missouri",1473,53578,62242
"Howard","Howard County, Missouri",2478,54167,62209
"Howell","Howell County, Missouri",10883,41181,50072
"Iron","Iron County, Missouri",2817,44069,53220
"Jackson","Jackson County, Missouri",164397,60580,75835
"Jasper","Jasper County, Missouri",29632,49154,63556
"Jefferson","Jefferson County, Missouri",59036,64116,74319
"Johnson","Johnson County, Missouri",13189,58641,67510
"Knox","Knox County, Missouri",1121,44073,61536
"Laclede","Laclede County, Missouri",10042,43826,53324
"Lafayette","Lafayette County, Missouri",9248,65057,68577
"Lawrence","Lawrence County, Missouri",10280,47950,57646
"Lewis","Lewis County, Missouri",2692,49043,58172
"Lincoln","Lincoln County, Missouri",13476,59074,67629
"Linn","Linn County, Missouri",3173,47327,64265
"Livingston","Livingston County, Missouri",3684,54663,64116
"McDonald","McDonald County, Missouri",5687,45172,54240
"Macon","Macon County, Missouri",4045,50393,59359
"Madison","Madison County, Missouri",3264,39718,50298
"Maries","Maries County, Missouri",2601,55331,61871
"Marion","Marion County, Missouri",7669,52844,65320
"Mercer","Mercer County, Missouri",1077,49087,56304
"Miller","Miller County, Missouri",6732,44911,53911
"Mississippi","Mississippi County, Missouri",3338,38789,49664
"Moniteau","Moniteau County, Missouri",3822,59253,64171
"Monroe","Monroe County, Missouri",2294,53116,58242
"Montgomery","Montgomery County, Missouri",3524,48314,58831
"Morgan","Morgan County, Missouri",5514,45048,51247
"New Madrid","New Madrid County, Missouri",5066,45469,56707
"Newton","Newton County, Missouri",15801,50565,65789
"Nodaway","Nodaway County, Missouri",4605,56449,63501
"Oregon","Oregon County, Missouri",2910,36791,46938
"Osage","Osage County, Missouri",3800,61660,67199
"Ozark","Ozark County, Missouri",2983,37938,45495
"Pemiscot","Pemiscot County, Missouri",4362,38152,50757
"Perry","Perry County, Missouri",5305,58656,69168
"Pettis","Pettis County, Missouri",10755,49064,59993
"Phelps","Phelps County, Missouri",10685,54015,67874
"Pike","Pike County, Missouri",4524,52000,60361
"Platte","Platte County, Missouri",24719,83110,100811
"Polk","Polk County, Missouri",8347,49245,59263
"Pulaski","Pulaski County, Missouri",10241,56933,63625
"Putnam","Putnam County, Missouri",1425,44309,51317
"Ralls","Ralls County, Missouri",2988,54936,63700
"Randolph","Randolph County, Missouri",5977,47844,55997
"Ray","Ray County, Missouri",6306,63014,71594
"Reynolds","Reynolds County, Missouri",1785,39632,50574
"Ripley","Ripley County, Missouri",3892,37009,44735
"St. Charles","St. Charles County, Missouri",98782,83907,95788
"St. Clair","St. Clair County, Missouri",2736,42242,48335
"Ste. Genevieve","Ste. Genevieve County, Missouri",4998,55208,67579
"St. Francois","St. Francois County, Missouri",16013,46537,58070
"St. Louis","St. Louis County, Missouri",263717,75532,102775
"Saline","Saline County, Missouri",5764,46731,54633
"Schuyler","Schuyler County, Missouri",1190,45269,54016
"Scotland","Scotland County, Missouri",1244,49328,61593
"Scott","Scott County, Missouri",10796,48705,61676
"Shannon","Shannon County, Missouri",2281,41440,50158
"Shelby","Shelby County, Missouri",1639,48274,55228
"Stoddard","Stoddard County, Missouri",8210,49565,67519
"Stone","Stone County, Missouri",9596,49527,57819
"Sullivan","Sullivan County, Missouri",1751,44783,53899
"Taney","Taney County, Missouri",13618,46764,57501
"Texas","Texas County, Missouri",6535,45212,55930
"Vernon","Vernon County, Missouri",5238,48014,57220
"Warren","Warren County, Missouri",9085,64196,74250
"Washington","Washington County, Missouri",6515,41108,54393
"Wayne","Wayne County, Missouri",3831,39465,53705
"Webster","Webster County, Missouri",9512,50033,61818
"Worth","Worth County, Missouri",613,49034,61115
"Wright","Wright County, Missouri",5071,37295,42308
"St. Louis city, Missouri","St. Louis city, Missouri",65731,43627,61545
