"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Beaverhead","Beaverhead County, Montana",2388,54294,64228
"Big Horn","Big Horn County, Montana",2658,46968,59503
"Blaine","Blaine County, Montana",1485,41797,55500
"Broadwater","Broadwater County, Montana",1701,49362,63375
"Carbon","Carbon County, Montana",2794,60375,73137
"Carter","Carter County, Montana",340,60000,69523
"Cascade","Cascade County, Montana",21343,58565,70430
"Chouteau","Chouteau County, Montana",1586,50111,61423
"Custer","Custer County, Montana",3077,58594,68282
"Daniels","Daniels County, Montana",514,60000,71169
"Dawson","Dawson County, Montana",2671,63551,72008
"Deer Lodge","Deer Lodge County, Montana",2298,49714,61276
"Fallon","Fallon County, Montana",832,66544,83347
"Fergus","Fergus County, Montana",2940,52473,65242
"Flathead","Flathead County, Montana",24480,56284,72627
"Gallatin","Gallatin County, Montana",22162,69556,87932
"Garfield","Garfield County, Montana",320,59423,71088
"Glacier","Glacier County, Montana",2885,36701,51191
"Golden Valley","Golden Valley County, Montana",205,50938,56694
"Granite","Granite County, Montana",990,57891,64395
"Hill","Hill County, Montana",4068,55617,64432
"Jefferson","Jefferson County, Montana",3221,76469,88874
"Judith Basin","Judith Basin County, Montana",535,55089,64186
"Lake","Lake County, Montana",7759,50222,60229
"Lewis and Clark","Lewis and Clark County, Montana",16543,70259,79227
"Liberty","Liberty County, Montana",562,58438,89816
"Lincoln","Lincoln County, Montana",5402,44111,57304
"McCone","McCone County, Montana",518,59375,72400
"Madison","Madison County, Montana",2201,61672,81738
"Meagher","Meagher County, Montana",451,47604,55919
"Mineral","Mineral County, Montana",969,45331,58696
"Missoula","Missoula County, Montana",26223,62988,77247
"Musselshell","Musselshell County, Montana",1363,59112,61591
"Park","Park County, Montana",3872,56960,66251
"Petroleum","Petroleum County, Montana",155,56042,63366
"Phillips","Phillips County, Montana",1206,54746,63788
"Pondera","Pondera County, Montana",1566,52698,68150
"Powder River","Powder River County, Montana",485,56250,75882
"Powell","Powell County, Montana",1530,49342,57025
"Prairie","Prairie County, Montana",328,41667,50448
"Ravalli","Ravalli County, Montana",10971,51272,65365
"Richland","Richland County, Montana",2746,72115,93146
"Roosevelt","Roosevelt County, Montana",2102,49649,58474
"Rosebud","Rosebud County, Montana",2255,60188,68492
"Sanders","Sanders County, Montana",3357,39650,50230
"Sheridan","Sheridan County, Montana",1034,68769,86126
"Silver Bow","Silver Bow County, Montana",8451,53713,66266
"Stillwater","Stillwater County, Montana",2801,69375,79413
"Sweet Grass","Sweet Grass County, Montana",938,58462,69460
"Teton","Teton County, Montana",1540,54196,68035
"Toole","Toole County, Montana",1309,53259,67008
"Treasure","Treasure County, Montana",222,47206,60123
"Valley","Valley County, Montana",2023,58668,71602
"Wheatland","Wheatland County, Montana",525,43594,55365
"Wibaux","Wibaux County, Montana",273,67361,73707
"Yellowstone","Yellowstone County, Montana",38738,65486,81033
