"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, Nebraska",8030,65286,76243
"Antelope","Antelope County, Nebraska",2058,54688,68797
"Arthur","Arthur County, Nebraska",114,48750,56614
"Banner","Banner County, Nebraska",241,51750,77327
"Blaine","Blaine County, Nebraska",179,45625,49435
"Boone","Boone County, Nebraska",1478,59278,75748
"Box Butte","Box Butte County, Nebraska",3059,58521,69345
"Boyd","Boyd County, Nebraska",568,51250,57307
"Brown","Brown County, Nebraska",1038,44605,51471
"Buffalo","Buffalo County, Nebraska",11368,67076,78850
"Burt","Burt County, Nebraska",2000,62449,72520
"Butler","Butler County, Nebraska",2355,65225,80423
"Cass","Cass County, Nebraska",7026,75769,87696
"Cedar","Cedar County, Nebraska",2375,58542,77474
"Chase","Chase County, Nebraska",1166,51810,77712
"Cherry","Cherry County, Nebraska",1792,54185,68875
"Cheyenne","Cheyenne County, Nebraska",2763,64504,78135
"Clay","Clay County, Nebraska",1848,54762,66788
"Colfax","Colfax County, Nebraska",2647,61841,76505
"Cuming","Cuming County, Nebraska",2630,58654,69263
"Custer","Custer County, Nebraska",3144,56136,67909
"Dakota","Dakota County, Nebraska",5338,54721,63459
"Dawes","Dawes County, Nebraska",2153,62952,70141
"Dawson","Dawson County, Nebraska",6220,53214,59398
"Deuel","Deuel County, Nebraska",498,58500,75450
"Dixon","Dixon County, Nebraska",1676,57946,69070
"Dodge","Dodge County, Nebraska",10193,57827,70360
"Douglas","Douglas County, Nebraska",126349,69754,89876
"Dundy","Dundy County, Nebraska",635,51932,81998
"Fillmore","Fillmore County, Nebraska",1564,60897,68559
"Franklin","Franklin County, Nebraska",964,56875,72865
"Frontier","Frontier County, Nebraska",736,58636,68600
"Furnas","Furnas County, Nebraska",1416,51458,59894
"Gage","Gage County, Nebraska",5867,61483,71601
"Garden","Garden County, Nebraska",585,52083,70915
"Garfield","Garfield County, Nebraska",546,49904,55359
"Gosper","Gosper County, Nebraska",576,58583,67812
"Grant","Grant County, Nebraska",175,45865,49208
"Greeley","Greeley County, Nebraska",688,55909,68150
"Hall","Hall County, Nebraska",14618,56897,67987
"Hamilton","Hamilton County, Nebraska",2564,61786,75496
"Harlan","Harlan County, Nebraska",1004,55400,64868
"Hayes","Hayes County, Nebraska",353,56125,66424
"Hitchcock","Hitchcock County, Nebraska",839,56875,62367
"Holt","Holt County, Nebraska",2926,58608,66685
"Hooker","Hooker County, Nebraska",199,42366,55170
"Howard","Howard County, Nebraska",1753,65039,72546
"Jefferson","Jefferson County, Nebraska",2079,57234,68453
"Johnson","Johnson County, Nebraska",1173,53932,66456
"Kearney","Kearney County, Nebraska",1904,62308,79895
"Keith","Keith County, Nebraska",2445,58047,67485
"Keya Paha","Keya Paha County, Nebraska",236,44231,53738
"Kimball","Kimball County, Nebraska",1042,52276,59864
"Knox","Knox County, Nebraska",2540,54286,66171
"Lancaster","Lancaster County, Nebraska",70561,68714,83726
"Lincoln","Lincoln County, Nebraska",9503,62464,75760
"Logan","Logan County, Nebraska",230,52813,63572
"Loup","Loup County, Nebraska",172,42917,52383
"McPherson","McPherson County, Nebraska",133,57981,62911
"Madison","Madison County, Nebraska",9090,58592,72913
"Merrick","Merrick County, Nebraska",2301,56185,68338
"Morrill","Morrill County, Nebraska",1427,50365,60745
"Nance","Nance County, Nebraska",1027,54402,65998
"Nemaha","Nemaha County, Nebraska",1778,68516,77088
"Nuckolls","Nuckolls County, Nebraska",1423,52127,57256
"Otoe","Otoe County, Nebraska",4370,63841,73932
"Pawnee","Pawnee County, Nebraska",774,49191,69245
"Perkins","Perkins County, Nebraska",864,66000,75192
"Phelps","Phelps County, Nebraska",2520,65884,74454
"Pierce","Pierce County, Nebraska",2060,62143,70867
"Platte","Platte County, Nebraska",8261,60814,71351
"Polk","Polk County, Nebraska",1540,63664,78585
"Red Willow","Red Willow County, Nebraska",2916,58831,67196
"Richardson","Richardson County, Nebraska",2178,49080,62716
"Rock","Rock County, Nebraska",391,55625,66500
"Saline","Saline County, Nebraska",3367,53101,63512
"Sarpy","Sarpy County, Nebraska",44077,80985,91728
"Saunders","Saunders County, Nebraska",5637,74235,90160
"Scotts Bluff","Scotts Bluff County, Nebraska",9573,53463,67186
"Seward","Seward County, Nebraska",4344,74309,90150
"Sheridan","Sheridan County, Nebraska",1515,44859,60025
"Sherman","Sherman County, Nebraska",925,51469,65007
"Sioux","Sioux County, Nebraska",363,56813,74764
"Stanton","Stanton County, Nebraska",1817,60886,67992
"Thayer","Thayer County, Nebraska",1498,53493,65507
"Thomas","Thomas County, Nebraska",234,63333,75374
"Thurston","Thurston County, Nebraska",1469,49612,62225
"Valley","Valley County, Nebraska",1274,54364,61349
"Washington","Washington County, Nebraska",5423,83670,90799
"Wayne","Wayne County, Nebraska",2166,69696,82890
"Webster","Webster County, Nebraska",1001,49968,62398
"Wheeler","Wheeler County, Nebraska",217,53015,76582
"York","York County, Nebraska",3638,63940,80826
