"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Nevada County, Arkansas","Nevada County, Arkansas",2382,42500,50450
"Nevada County, California","Nevada County, California",26204,70148,86803
"Churchill","Churchill County, Nevada",6266,60951,70109
"Clark","Clark County, Nevada",461236,60666,77632
"Douglas","Douglas County, Nevada",13309,67597,89328
"Elko","Elko County, Nevada",12377,75231,86670
"Esmeralda","Esmeralda County, Nevada",248,51500,55860
"Eureka","Eureka County, Nevada",437,94648,86799
"Humboldt","Humboldt County, Nevada",4218,74433,81247
"Lander","Lander County, Nevada",1472,75857,80188
"Lincoln","Lincoln County, Nevada",1382,48816,69508
"Lyon","Lyon County, Nevada",13167,52918,61997
"Mineral","Mineral County, Nevada",1116,61226,67810
"Nye","Nye County, Nevada",12410,45798,57138
"Pershing","Pershing County, Nevada",1430,56250,66100
"Storey","Storey County, Nevada",1161,64173,76426
"Washoe","Washoe County, Nevada",102123,64556,84652
"White Pine","White Pine County, Nevada",2003,63982,73682
"Carson City, Nevada","Carson City, Nevada",13035,63883,76610
