"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Belknap","Belknap County, New Hampshire",16960,67570,84033
"Carroll","Carroll County, New Hampshire",14028,58867,82367
"Cheshire","Cheshire County, New Hampshire",19162,70026,83603
"Coos","Coos County, New Hampshire",8934,53813,65271
"Grafton","Grafton County, New Hampshire",21891,71158,90436
"Hillsborough","Hillsborough County, New Hampshire",103750,84430,100826
"Merrimack","Merrimack County, New Hampshire",37842,80655,93486
"Rockingham","Rockingham County, New Hampshire",81025,93420,112866
"Strafford","Strafford County, New Hampshire",30512,73260,89404
"Sullivan","Sullivan County, New Hampshire",12046,65969,78156
