"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Atlantic","Atlantic County, New Jersey",67697,66619,83669
"Bergen","Bergen County, New Jersey",239574,102222,135788
"Burlington","Burlington County, New Jersey",115577,94324,114076
"Camden","Camden County, New Jersey",126823,77369,94795
"Cape May","Cape May County, New Jersey",27383,74112,91017
"Cumberland","Cumberland County, New Jersey",35417,60388,73802
"Essex","Essex County, New Jersey",182399,69448,105566
"Gloucester","Gloucester County, New Jersey",75480,87913,101657
"Hudson","Hudson County, New Jersey",150173,62168,88229
"Hunterdon","Hunterdon County, New Jersey",34083,125828,155340
"Mercer","Mercer County, New Jersey",88353,94267,123451
"Middlesex","Middlesex County, New Jersey",203110,93519,110901
"Monmouth","Monmouth County, New Jersey",162846,105971,134866
"Morris","Morris County, New Jersey",129417,117683,154055
"Ocean","Ocean County, New Jersey",148963,76822,92078
"Passaic","Passaic County, New Jersey",116967,67890,88602
"Salem","Salem County, New Jersey",17095,74469,85827
"Somerset","Somerset County, New Jersey",83994,117393,152513
"Sussex","Sussex County, New Jersey",40633,100066,114806
"Union","Union County, New Jersey",131541,83164,114030
"Warren","Warren County, New Jersey",29058,85091,99048
