"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Bernalillo","Bernalillo County, New Mexico",163349,60740,77231
"Catron","Catron County, New Mexico",919,45821,54623
"Chaves","Chaves County, New Mexico",16220,48169,59680
"Cibola","Cibola County, New Mexico",5277,42024,50936
"Colfax","Colfax County, New Mexico",3315,47100,58428
"Curry","Curry County, New Mexico",12403,50963,64040
"De Baca","De Baca County, New Mexico",453,46534,64132
"Doña Ana","Doña Ana County, New Mexico",51262,44518,60417
"Eddy","Eddy County, New Mexico",13603,60891,86003
"Grant","Grant County, New Mexico",7640,45616,59690
"Guadalupe","Guadalupe County, New Mexico",825,36435,48442
"Harding","Harding County, New Mexico",156,49167,93444
"Hidalgo","Hidalgo County, New Mexico",1276,37432,49979
"Lea","Lea County, New Mexico",15560,60006,72409
"Lincoln","Lincoln County, New Mexico",5270,49213,64764
"Los Alamos","Los Alamos County, New Mexico",5155,124979,136100
"Luna","Luna County, New Mexico",5711,35762,49013
"McKinley","McKinley County, New Mexico",12220,36109,49324
"Mora","Mora County, New Mexico",787,41794,46795
"Otero","Otero County, New Mexico",16469,46828,59334
"Quay","Quay County, New Mexico",2134,41304,51235
"Rio Arriba","Rio Arriba County, New Mexico",9902,47363,59501
"Roosevelt","Roosevelt County, New Mexico",4772,42703,54106
"Sandoval","Sandoval County, New Mexico",34114,65768,82456
"San Juan","San Juan County, New Mexico",30188,57715,69904
"San Miguel","San Miguel County, New Mexico",6453,40284,51263
"Santa Fe","Santa Fe County, New Mexico",35768,64737,88415
"Sierra","Sierra County, New Mexico",2336,40786,48573
"Socorro","Socorro County, New Mexico",3268,44076,63223
"Taos","Taos County, New Mexico",7771,44541,58347
"Torrance","Torrance County, New Mexico",3665,45409,59309
"Union","Union County, New Mexico",1057,48350,54459
"Valencia","Valencia County, New Mexico",19159,51686,60084
