"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Albany","Albany County, New York",69328,81846,98629
"Allegany","Allegany County, New York",12376,52112,63304
"Bronx","Bronx County, New York",312858,38843,54386
"Broome","Broome County, New York",48410,59345,73060
"Cattaraugus","Cattaraugus County, New York",20443,52637,62765
"Cayuga","Cayuga County, New York",20230,63082,73577
"Chautauqua","Chautauqua County, New York",34306,52854,64039
"Chemung","Chemung County, New York",22378,60715,74489
"Chenango","Chenango County, New York",13330,54395,63099
"Clinton","Clinton County, New York",20189,63665,75246
"Columbia","Columbia County, New York",16228,72649,92988
"Cortland","Cortland County, New York",10999,60134,72584
"Delaware","Delaware County, New York",12457,56427,65750
"Dutchess","Dutchess County, New York",73240,88777,105936
"Erie","Erie County, New York",231215,65897,81496
"Essex","Essex County, New York",10002,60935,75237
"Franklin","Franklin County, New York",12381,54399,66113
"Fulton","Fulton County, New York",14784,54619,65698
"Genesee","Genesee County, New York",15952,62864,71958
"Greene","Greene County, New York",11782,60571,76083
"Hamilton","Hamilton County, New York",1204,60170,72561
"Herkimer","Herkimer County, New York",17474,55976,66027
"Jefferson","Jefferson County, New York",30659,55325,65799
"Kings","Kings County, New York",583135,51581,74741
"Lewis","Lewis County, New York",7501,55401,65804
"Livingston","Livingston County, New York",15902,66664,74063
"Madison","Madison County, New York",17737,66688,77833
"Monroe","Monroe County, New York",182478,68524,85278
"Montgomery","Montgomery County, New York",12590,55028,66268
"Nassau","Nassau County, New York",339120,112874,142224
"New York","New York County, New York",301894,84627,172680
"Niagara","Niagara County, New York",55500,63523,75400
"Oneida","Oneida County, New York",56564,62090,74862
"Onondaga","Onondaga County, New York",113831,70143,86356
"Ontario","Ontario County, New York",28864,70381,87567
"Orange","Orange County, New York",89873,85100,100210
"Orleans","Orleans County, New York",10755,58031,68198
"Oswego","Oswego County, New York",30580,59391,70191
"Otsego","Otsego County, New York",15030,60526,73365
"Putnam","Putnam County, New York",26518,109188,128952
"Queens","Queens County, New York",525368,64371,81158
"Rensselaer","Rensselaer County, New York",40006,74519,87549
"Richmond","Richmond County, New York",121285,86133,101839
"Rockland","Rockland County, New York",74429,99649,121213
"St. Lawrence","St. Lawrence County, New York",26777,53346,66045
"Saratoga","Saratoga County, New York",58164,87058,103600
"Schenectady","Schenectady County, New York",35527,73910,85844
"Schoharie","Schoharie County, New York",8425,65610,77552
"Schuyler","Schuyler County, New York",4871,58866,67582
"Seneca","Seneca County, New York",8384,60974,71875
"Steuben","Steuben County, New York",26541,56903,71188
"Suffolk","Suffolk County, New York",374411,100652,120896
"Sullivan","Sullivan County, New York",18488,60166,73119
"Tioga","Tioga County, New York",14112,66950,79291
"Tompkins","Tompkins County, New York",20189,73828,94660
"Ulster","Ulster County, New York",44833,72632,89986
"Warren","Warren County, New York",18142,66622,83235
"Washington","Washington County, New York",16882,61494,70358
"Wayne","Wayne County, New York",25375,62677,73232
"Westchester","Westchester County, New York",237934,105341,157937
"Wyoming","Wyoming County, New York",10512,62490,70210
"Yates","Yates County, New York",6797,60271,73748
