"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Alamance","Alamance County, North Carolina",40615,53945,67452
"Alexander","Alexander County, North Carolina",9743,50123,60976
"Alleghany","Alleghany County, North Carolina",3360,40767,52613
"Anson","Anson County, North Carolina",6548,39667,50919
"Ashe","Ashe County, North Carolina",8201,47184,55968
"Avery","Avery County, North Carolina",4715,46847,63056
"Beaufort","Beaufort County, North Carolina",13107,49574,60813
"Bertie","Bertie County, North Carolina",4991,40850,54386
"Bladen","Bladen County, North Carolina",9221,43210,55288
"Brunswick","Brunswick County, North Carolina",33548,54220,69864
"Buncombe","Buncombe County, North Carolina",60303,56616,73571
"Burke","Burke County, North Carolina",23236,49127,58675
"Cabarrus","Cabarrus County, North Carolina",47049,66058,78590
"Caldwell","Caldwell County, North Carolina",20741,46628,57486
"Camden","Camden County, North Carolina",2702,70025,77264
"Carteret","Carteret County, North Carolina",18968,57328,72804
"Caswell","Caswell County, North Carolina",6306,45925,54093
"Catawba","Catawba County, North Carolina",39774,54596,69500
"Chatham","Chatham County, North Carolina",18494,66875,88551
"Cherokee","Cherokee County, North Carolina",7470,43178,50667
"Chowan","Chowan County, North Carolina",3831,43512,56306
"Clay","Clay County, North Carolina",2931,46528,58297
"Cleveland","Cleveland County, North Carolina",25685,48723,59446
"Columbus","Columbus County, North Carolina",14303,45865,57867
"Craven","Craven County, North Carolina",28105,55689,67835
"Cumberland","Cumberland County, North Carolina",81041,51944,65171
"Currituck","Currituck County, North Carolina",6548,66626,76391
"Dare","Dare County, North Carolina",9223,64404,80236
"Davidson","Davidson County, North Carolina",44918,54218,65442
"Davie","Davie County, North Carolina",11769,58530,76606
"Duplin","Duplin County, North Carolina",14822,42029,51825
"Durham","Durham County, North Carolina",65984,66448,86099
"Edgecombe","Edgecombe County, North Carolina",14528,42351,50537
"Forsyth","Forsyth County, North Carolina",89143,59764,79506
"Franklin","Franklin County, North Carolina",16647,51353,62968
"Gaston","Gaston County, North Carolina",54318,51851,67461
"Gates","Gates County, North Carolina",3287,53577,62770
"Graham","Graham County, North Carolina",2423,39580,51609
"Granville","Granville County, North Carolina",14181,54842,67440
"Greene","Greene County, North Carolina",4974,50781,61299
"Guilford","Guilford County, North Carolina",123750,58551,78898
"Halifax","Halifax County, North Carolina",14062,42607,54350
"Harnett","Harnett County, North Carolina",29073,54000,64220
"Haywood","Haywood County, North Carolina",17978,52014,63671
"Henderson","Henderson County, North Carolina",30320,57062,71194
"Hertford","Hertford County, North Carolina",5819,41713,56695
"Hoke","Hoke County, North Carolina",12068,53584,58699
"Hyde","Hyde County, North Carolina",1502,42048,50497
"Iredell","Iredell County, North Carolina",43150,60413,79940
"Jackson","Jackson County, North Carolina",9714,48568,63015
"Johnston","Johnston County, North Carolina",45533,58463,68306
"Jones","Jones County, North Carolina",2621,49041,57731
"Lee","Lee County, North Carolina",14698,55582,65574
"Lenoir","Lenoir County, North Carolina",15464,45306,56473
"Lincoln","Lincoln County, North Carolina",21705,60059,75134
"McDowell","McDowell County, North Carolina",11539,45874,55140
"Macon","Macon County, North Carolina",10216,45633,60140
"Madison","Madison County, North Carolina",5639,49806,57719
"Martin","Martin County, North Carolina",6292,44633,52774
"Mecklenburg","Mecklenburg County, North Carolina",228213,68083,97042
"Mitchell","Mitchell County, North Carolina",4554,46432,55115
"Montgomery","Montgomery County, North Carolina",6751,43038,57361
"Moore","Moore County, North Carolina",24932,62099,81688
"Nash","Nash County, North Carolina",25043,52681,66708
"New Hanover","New Hanover County, North Carolina",49785,67938,88193
"Northampton","Northampton County, North Carolina",5560,37249,48016
"Onslow","Onslow County, North Carolina",43781,49819,60526
"Orange","Orange County, North Carolina",30718,84770,118089
"Pamlico","Pamlico County, North Carolina",3682,54679,67670
"Pasquotank","Pasquotank County, North Carolina",9953,55554,67975
"Pender","Pender County, North Carolina",14255,53740,70972
"Perquimans","Perquimans County, North Carolina",4052,51103,67080
"Person","Person County, North Carolina",10337,49521,61444
"Pitt","Pitt County, North Carolina",39136,56512,73313
"Polk","Polk County, North Carolina",5849,53909,66436
"Randolph","Randolph County, North Carolina",38809,50234,60019
"Richmond","Richmond County, North Carolina",11669,40322,51054
"Robeson","Robeson County, North Carolina",31892,35861,48675
"Rockingham","Rockingham County, North Carolina",25815,47715,59212
"Rowan","Rowan County, North Carolina",35990,50537,61566
"Rutherford","Rutherford County, North Carolina",19275,42636,54226
"Sampson","Sampson County, North Carolina",15852,43557,58470
"Scotland","Scotland County, North Carolina",8765,36073,45892
"Stanly","Stanly County, North Carolina",15994,54611,62532
"Stokes","Stokes County, North Carolina",13666,50910,60503
"Surry","Surry County, North Carolina",20315,44788,57051
"Swain","Swain County, North Carolina",3536,51589,58014
"Transylvania","Transylvania County, North Carolina",9137,51702,65295
"Tyrrell","Tyrrell County, North Carolina",1071,38493,50365
"Union","Union County, North Carolina",54975,74132,94920
"Vance","Vance County, North Carolina",11094,41930,53989
"Wake","Wake County, North Carolina",231753,83568,102257
"Warren","Warren County, North Carolina",5142,44587,57984
"Washington","Washington County, North Carolina",3198,43636,54738
"Watauga","Watauga County, North Carolina",11025,60066,75183
"Wayne","Wayne County, North Carolina",32212,51391,61993
"Wilkes","Wilkes County, North Carolina",19353,42083,54919
"Wilson","Wilson County, North Carolina",21274,47796,60825
"Yadkin","Yadkin County, North Carolina",10416,50372,65055
"Yancey","Yancey County, North Carolina",5163,45693,56306
