"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, North Dakota",739,65859,78103
"Barnes","Barnes County, North Dakota",3057,67150,86123
"Benson","Benson County, North Dakota",1605,40821,56654
"Billings","Billings County, North Dakota",228,69167,102713
"Bottineau","Bottineau County, North Dakota",1835,71217,88562
"Bowman","Bowman County, North Dakota",869,76750,91758
"Burke","Burke County, North Dakota",601,70096,85140
"Burleigh","Burleigh County, North Dakota",22057,82235,97544
"Cass","Cass County, North Dakota",36232,74024,92390
"Cavalier","Cavalier County, North Dakota",1167,72946,87322
"Dickey","Dickey County, North Dakota",1321,62298,73431
"Divide","Divide County, North Dakota",659,69632,97773
"Dunn","Dunn County, North Dakota",994,76346,98074
"Eddy","Eddy County, North Dakota",630,55500,70794
"Emmons","Emmons County, North Dakota",1004,48816,75625
"Foster","Foster County, North Dakota",1052,68547,92774
"Golden Valley","Golden Valley County, North Dakota",393,64821,77462
"Grand Forks","Grand Forks County, North Dakota",15084,70875,87519
"Grant","Grant County, North Dakota",669,59531,75972
"Griggs","Griggs County, North Dakota",719,63150,72491
"Hettinger","Hettinger County, North Dakota",754,65577,78999
"Kidder","Kidder County, North Dakota",847,57675,71417
"LaMoure","LaMoure County, North Dakota",1221,65958,85822
"Logan","Logan County, North Dakota",547,60903,82887
"McHenry","McHenry County, North Dakota",1590,61367,75824
"McIntosh","McIntosh County, North Dakota",820,50887,67911
"McKenzie","McKenzie County, North Dakota",1883,77366,100615
"McLean","McLean County, North Dakota",2696,67636,83358
"Mercer","Mercer County, North Dakota",2393,80827,87607
"Morton","Morton County, North Dakota",7768,69894,83251
"Mountrail","Mountrail County, North Dakota",2207,76282,99101
"Nelson","Nelson County, North Dakota",893,64792,82773
"Oliver","Oliver County, North Dakota",568,81500,88086
"Pembina","Pembina County, North Dakota",2137,62147,73059
"Pierce","Pierce County, North Dakota",1210,63243,66759
"Ramsey","Ramsey County, North Dakota",2766,63380,79342
"Ransom","Ransom County, North Dakota",1399,66076,72517
"Renville","Renville County, North Dakota",728,77143,86593
"Richland","Richland County, North Dakota",4267,72409,80245
"Rolette","Rolette County, North Dakota",3450,38763,50604
"Sargent","Sargent County, North Dakota",1143,67132,82018
"Sheridan","Sheridan County, North Dakota",435,48403,68288
"Sioux","Sioux County, North Dakota",813,34042,54619
"Slope","Slope County, North Dakota",216,74167,86494
"Stark","Stark County, North Dakota",6539,75333,88927
"Steele","Steele County, North Dakota",595,67159,81692
"Stutsman","Stutsman County, North Dakota",5465,65032,77469
"Towner","Towner County, North Dakota",668,67969,82850
"Traill","Traill County, North Dakota",1964,71359,84260
"Walsh","Walsh County, North Dakota",3112,61156,72978
"Ward","Ward County, North Dakota",15832,67738,80347
"Wells","Wells County, North Dakota",1310,57125,75585
"Williams","Williams County, North Dakota",6487,86285,102824
