"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Ohio County, Indiana","Ohio County, Indiana",1679,59539,70027
"Ohio County, Kentucky","Ohio County, Kentucky",6369,44200,56405
"Adams","Adams County, Ohio",7729,43771,52599
"Allen","Allen County, Ohio",27143,54846,66459
"Ashland","Ashland County, Ohio",14282,55342,66525
"Ashtabula","Ashtabula County, Ohio",25673,50218,58438
"Athens","Athens County, Ohio",12206,50583,62861
"Auglaize","Auglaize County, Ohio",12689,62940,73116
"Belmont","Belmont County, Ohio",18356,52232,63386
"Brown","Brown County, Ohio",11943,51674,62229
"Butler","Butler County, Ohio",94581,69799,83785
"Carroll","Carroll County, Ohio",7856,52336,62769
"Champaign","Champaign County, Ohio",10862,58486,69481
"Clark","Clark County, Ohio",35850,54149,66398
"Clermont","Clermont County, Ohio",53000,71914,86868
"Clinton","Clinton County, Ohio",11342,54413,64442
"Columbiana","Columbiana County, Ohio",28546,53267,62159
"Coshocton","Coshocton County, Ohio",10144,48818,58950
"Crawford","Crawford County, Ohio",11839,49718,59961
"Cuyahoga","Cuyahoga County, Ohio",309945,59745,79912
"Darke","Darke County, Ohio",14158,53929,65598
"Defiance","Defiance County, Ohio",10900,55802,65455
"Delaware","Delaware County, Ohio",49144,103564,125057
"Erie","Erie County, Ohio",20995,60856,73550
"Fairfield","Fairfield County, Ohio",39235,70352,81987
"Fayette","Fayette County, Ohio",7619,45108,57937
"Franklin","Franklin County, Ohio",273033,64693,84210
"Fulton","Fulton County, Ohio",12049,63355,74442
"Gallia","Gallia County, Ohio",8249,48918,62920
"Geauga","Geauga County, Ohio",25748,81952,107688
"Greene","Greene County, Ohio",41855,73972,90997
"Guernsey","Guernsey County, Ohio",10736,48708,59329
"Hamilton","Hamilton County, Ohio",195106,65392,88736
"Hancock","Hancock County, Ohio",20125,64032,76883
"Hardin","Hardin County, Ohio",7757,52144,62515
"Harrison","Harrison County, Ohio",4402,48739,58789
"Henry","Henry County, Ohio",7658,61426,68416
"Highland","Highland County, Ohio",11682,46643,55075
"Hocking","Hocking County, Ohio",7964,52837,61944
"Holmes","Holmes County, Ohio",9945,53295,61945
"Huron","Huron County, Ohio",15795,56337,65587
"Jackson","Jackson County, Ohio",8881,44755,54541
"Jefferson","Jefferson County, Ohio",18655,51183,62215
"Knox","Knox County, Ohio",15695,59561,72843
"Lake","Lake County, Ohio",61436,69939,82841
"Lawrence","Lawrence County, Ohio",16480,53015,61891
"Licking","Licking County, Ohio",45087,67072,79846
"Logan","Logan County, Ohio",12572,53810,63720
"Lorain","Lorain County, Ohio",80346,63212,77352
"Lucas","Lucas County, Ohio",107863,55295,70257
"Madison","Madison County, Ohio",10233,65696,79414
"Mahoning","Mahoning County, Ohio",61683,54118,68631
"Marion","Marion County, Ohio",16891,53882,63923
"Medina","Medina County, Ohio",48306,77729,91901
"Meigs","Meigs County, Ohio",6573,44783,53459
"Mercer","Mercer County, Ohio",11452,64758,72874
"Miami","Miami County, Ohio",28104,61644,71956
"Monroe","Monroe County, Ohio",4258,46632,56750
"Montgomery","Montgomery County, Ohio",134907,55971,71381
"Morgan","Morgan County, Ohio",4453,44902,58708
"Morrow","Morrow County, Ohio",9753,58660,66627
"Muskingum","Muskingum County, Ohio",22973,50977,59863
"Noble","Noble County, Ohio",3436,43146,52773
"Ottawa","Ottawa County, Ohio",12200,65311,76794
"Paulding","Paulding County, Ohio",5432,58225,68744
"Perry","Perry County, Ohio",10030,48828,56908
"Pickaway","Pickaway County, Ohio",14217,64576,75400
"Pike","Pike County, Ohio",7586,46476,57586
"Portage","Portage County, Ohio",40312,66446,77717
"Preble","Preble County, Ohio",11644,57530,68030
"Putnam","Putnam County, Ohio",9630,72075,78214
"Richland","Richland County, Ohio",31166,53602,64280
"Ross","Ross County, Ohio",19193,52836,65840
"Sandusky","Sandusky County, Ohio",16440,56634,65532
"Scioto","Scioto County, Ohio",19186,49280,61068
"Seneca","Seneca County, Ohio",15110,54219,65061
"Shelby","Shelby County, Ohio",13253,60939,74556
"Stark","Stark County, Ohio",99208,57381,71142
"Summit","Summit County, Ohio",138430,64157,81577
"Trumbull","Trumbull County, Ohio",55634,53975,63888
"Tuscarawas","Tuscarawas County, Ohio",25091,52496,62863
"Union","Union County, Ohio",13380,79744,93971
"Van Wert","Van Wert County, Ohio",7933,57364,66967
"Vinton","Vinton County, Ohio",3674,41674,50220
"Warren","Warren County, Ohio",58384,85636,104640
"Washington","Washington County, Ohio",16431,55505,67377
"Wayne","Wayne County, Ohio",30045,60737,70894
"Williams","Williams County, Ohio",10160,52347,61599
"Wood","Wood County, Ohio",31329,69704,81835
"Wyandot","Wyandot County, Ohio",6138,57009,64483
"Ohio County, West Virginia","Ohio County, West Virginia",10837,57865,79720
