"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adair","Adair County, Oklahoma",5972,39019,47492
"Alfalfa","Alfalfa County, Oklahoma",1300,57604,72167
"Atoka","Atoka County, Oklahoma",3801,41653,55090
"Beaver","Beaver County, Oklahoma",1541,60483,76277
"Beckham","Beckham County, Oklahoma",5273,60852,72159
"Blaine","Blaine County, Oklahoma",2520,51519,65438
"Bryan","Bryan County, Oklahoma",10691,47403,61493
"Caddo","Caddo County, Oklahoma",7120,48238,57181
"Canadian","Canadian County, Oklahoma",31211,72849,84498
"Carter","Carter County, Oklahoma",11573,52415,67054
"Cherokee","Cherokee County, Oklahoma",11120,49379,58660
"Choctaw","Choctaw County, Oklahoma",3910,42011,51915
"Cimarron","Cimarron County, Oklahoma",720,49600,62599
"Cleveland","Cleveland County, Oklahoma",64188,69531,83983
"Coal","Coal County, Oklahoma",1554,44888,57539
"Comanche","Comanche County, Oklahoma",29349,54389,65587
"Cotton","Cotton County, Oklahoma",1633,56721,64490
"Craig","Craig County, Oklahoma",3790,50231,58485
"Creek","Creek County, Oklahoma",18902,52398,65938
"Custer","Custer County, Oklahoma",6939,56889,72256
"Delaware","Delaware County, Oklahoma",11582,45708,59583
"Dewey","Dewey County, Oklahoma",1256,57868,74721
"Ellis","Ellis County, Oklahoma",1198,59535,71252
"Garfield","Garfield County, Oklahoma",15892,53572,69714
"Garvin","Garvin County, Oklahoma",7072,47330,64235
"Grady","Grady County, Oklahoma",14818,57046,69361
"Grant","Grant County, Oklahoma",1298,58478,69601
"Greer","Greer County, Oklahoma",1412,48694,60451
"Harmon","Harmon County, Oklahoma",777,36597,56278
"Harper","Harper County, Oklahoma",1030,51087,61752
"Haskell","Haskell County, Oklahoma",3149,46474,54866
"Hughes","Hughes County, Oklahoma",3358,44973,58158
"Jackson","Jackson County, Oklahoma",7027,51599,62200
"Jefferson","Jefferson County, Oklahoma",1737,40847,54871
"Johnston","Johnston County, Oklahoma",2852,39876,55077
"Kay","Kay County, Oklahoma",11955,50266,63655
"Kingfisher","Kingfisher County, Oklahoma",4147,61528,72497
"Kiowa","Kiowa County, Oklahoma",2535,46015,67112
"Latimer","Latimer County, Oklahoma",2975,49894,65395
"Le Flore","Le Flore County, Oklahoma",12664,44408,54169
"Lincoln","Lincoln County, Oklahoma",9430,53457,64337
"Logan","Logan County, Oklahoma",10837,66917,83866
"Love","Love County, Oklahoma",2561,50761,58495
"McClain","McClain County, Oklahoma",9698,67537,76655
"McCurtain","McCurtain County, Oklahoma",9237,40224,50065
"McIntosh","McIntosh County, Oklahoma",5518,44470,54131
"Major","Major County, Oklahoma",2147,60313,77664
"Marshall","Marshall County, Oklahoma",3879,47769,58579
"Mayes","Mayes County, Oklahoma",11336,52749,58847
"Murray","Murray County, Oklahoma",3553,53246,62854
"Muskogee","Muskogee County, Oklahoma",17882,48251,59760
"Noble","Noble County, Oklahoma",3369,55018,63909
"Nowata","Nowata County, Oklahoma",2883,48694,55607
"Okfuskee","Okfuskee County, Oklahoma",3012,43452,51246
"Oklahoma","Oklahoma County, Oklahoma",176868,58240,79996
"Okmulgee","Okmulgee County, Oklahoma",10018,48720,58353
"Osage","Osage County, Oklahoma",13203,55339,66084
"Ottawa","Ottawa County, Oklahoma",8376,44106,54223
"Pawnee","Pawnee County, Oklahoma",4443,56131,63003
"Payne","Payne County, Oklahoma",16569,56881,70105
"Pittsburg","Pittsburg County, Oklahoma",12135,50907,63533
"Pontotoc","Pontotoc County, Oklahoma",9695,52738,65987
"Pottawatomie","Pottawatomie County, Oklahoma",18095,51656,64249
"Pushmataha","Pushmataha County, Oklahoma",2993,38834,49620
"Roger Mills","Roger Mills County, Oklahoma",911,61583,84187
"Rogers","Rogers County, Oklahoma",24966,67554,80842
"Seminole","Seminole County, Oklahoma",6515,42751,53999
"Sequoyah","Sequoyah County, Oklahoma",11324,42828,52787
"Stephens","Stephens County, Oklahoma",11921,57834,68571
"Texas","Texas County, Oklahoma",5271,57713,71590
"Tillman","Tillman County, Oklahoma",2055,45487,53597
"Tulsa","Tulsa County, Oklahoma",153790,60745,81839
"Wagoner","Wagoner County, Oklahoma",20663,63730,74431
"Washington","Washington County, Oklahoma",14183,58761,74400
"Washita","Washita County, Oklahoma",3368,53912,67036
"Woods","Woods County, Oklahoma",1948,65064,82685
"Woodward","Woodward County, Oklahoma",4975,63096,73863
