"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Oregon County, Missouri","Oregon County, Missouri",2910,36791,46938
"Baker","Baker County, Oregon",4603,51199,61279
"Benton","Benton County, Oregon",18698,75012,88748
"Clackamas","Clackamas County, Oregon",101963,76549,96675
"Clatsop","Clatsop County, Oregon",9878,54849,70107
"Columbia","Columbia County, Oregon",13725,63435,75367
"Coos","Coos County, Oregon",15899,47830,62085
"Crook","Crook County, Oregon",6041,48486,55642
"Curry","Curry County, Oregon",6164,48833,61026
"Deschutes","Deschutes County, Oregon",43353,61488,76915
"Douglas","Douglas County, Oregon",29217,48420,59889
"Gilliam","Gilliam County, Oregon",532,56667,61942
"Grant","Grant County, Oregon",2126,46000,62439
"Harney","Harney County, Oregon",2158,42540,55073
"Hood River","Hood River County, Oregon",5453,64422,76654
"Jackson","Jackson County, Oregon",53998,53254,67538
"Jefferson","Jefferson County, Oregon",5506,46040,59597
"Josephine","Josephine County, Oregon",22009,46913,60802
"Klamath","Klamath County, Oregon",18313,48896,61158
"Lake","Lake County, Oregon",2148,47537,60320
"Lane","Lane County, Oregon",86248,56605,71015
"Lincoln","Lincoln County, Oregon",13045,53750,65752
"Linn","Linn County, Oregon",30845,55169,62065
"Malheur","Malheur County, Oregon",6879,45825,55755
"Marion","Marion County, Oregon",78306,54920,67563
"Morrow","Morrow County, Oregon",2811,52652,63268
"Multnomah","Multnomah County, Oregon",166106,65897,87199
"Polk","Polk County, Oregon",19535,62802,75181
"Sherman","Sherman County, Oregon",484,57115,65115
"Tillamook","Tillamook County, Oregon",6575,51235,61705
"Umatilla","Umatilla County, Oregon",18424,57434,66949
"Union","Union County, Oregon",6763,51973,66168
"Wallowa","Wallowa County, Oregon",1847,54513,62384
"Wasco","Wasco County, Oregon",6484,53598,69532
"Washington","Washington County, Oregon",135468,76711,92888
"Wheeler","Wheeler County, Oregon",410,46875,57737
"Yamhill","Yamhill County, Oregon",24954,62284,75455
