"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, Pennsylvania",27482,69551,81603
"Allegheny","Allegheny County, Pennsylvania",304369,70380,91841
"Armstrong","Armstrong County, Pennsylvania",19424,55063,65740
"Beaver","Beaver County, Pennsylvania",46783,62792,74244
"Bedford","Bedford County, Pennsylvania",14168,53401,61703
"Berks","Berks County, Pennsylvania",105671,67138,81209
"Blair","Blair County, Pennsylvania",33328,55446,68009
"Bradford","Bradford County, Pennsylvania",16738,56198,67832
"Bucks","Bucks County, Pennsylvania",165708,92907,115874
"Butler","Butler County, Pennsylvania",50064,74043,91211
"Cambria","Cambria County, Pennsylvania",37228,54630,65337
"Cameron","Cameron County, Pennsylvania",1340,52800,60174
"Carbon","Carbon County, Pennsylvania",17872,57049,70008
"Centre","Centre County, Pennsylvania",32597,70654,88139
"Chester","Chester County, Pennsylvania",130385,105278,133413
"Clarion","Clarion County, Pennsylvania",10090,54945,65622
"Clearfield","Clearfield County, Pennsylvania",21512,51031,60865
"Clinton","Clinton County, Pennsylvania",9698,55818,66933
"Columbia","Columbia County, Pennsylvania",16717,56917,72679
"Crawford","Crawford County, Pennsylvania",23012,53099,63830
"Cumberland","Cumberland County, Pennsylvania",61683,77057,93333
"Dauphin","Dauphin County, Pennsylvania",67882,68368,84223
"Delaware","Delaware County, Pennsylvania",137038,81523,105451
"Elk","Elk County, Pennsylvania",8923,55378,63888
"Erie","Erie County, Pennsylvania",69788,58451,73199
"Fayette","Fayette County, Pennsylvania",35194,49664,59378
"Forest","Forest County, Pennsylvania",1189,45120,52451
"Franklin","Franklin County, Pennsylvania",39765,63117,74491
"Fulton","Fulton County, Pennsylvania",4230,56346,63634
"Greene","Greene County, Pennsylvania",9520,55745,66612
"Huntingdon","Huntingdon County, Pennsylvania",11722,54961,62736
"Indiana","Indiana County, Pennsylvania",21857,56225,70664
"Jefferson","Jefferson County, Pennsylvania",12282,51451,59751
"Juniata","Juniata County, Pennsylvania",6580,54701,63768
"Lackawanna","Lackawanna County, Pennsylvania",54388,59573,74909
"Lancaster","Lancaster County, Pennsylvania",136782,67646,81271
"Lawrence","Lawrence County, Pennsylvania",24769,55348,65833
"Lebanon","Lebanon County, Pennsylvania",36337,64877,78459
"Lehigh","Lehigh County, Pennsylvania",89929,67081,84247
"Luzerne","Luzerne County, Pennsylvania",83178,58150,71401
"Lycoming","Lycoming County, Pennsylvania",29847,57160,66910
"McKean","McKean County, Pennsylvania",11462,51472,60752
"Mercer","Mercer County, Pennsylvania",30551,55943,66825
"Mifflin","Mifflin County, Pennsylvania",12606,48222,58661
"Monroe","Monroe County, Pennsylvania",43483,65433,77900
"Montgomery","Montgomery County, Pennsylvania",208752,99587,128461
"Montour","Montour County, Pennsylvania",4786,62248,87488
"Northampton","Northampton County, Pennsylvania",77529,73386,88045
"Northumberland","Northumberland County, Pennsylvania",25777,52280,63396
"Perry","Perry County, Pennsylvania",13061,66005,73171
"Philadelphia","Philadelphia County, Pennsylvania",308924,46375,64811
"Pike","Pike County, Pennsylvania",15528,68671,79233
"Potter","Potter County, Pennsylvania",4800,50755,62911
"Schuylkill","Schuylkill County, Pennsylvania",39176,56974,66653
"Snyder","Snyder County, Pennsylvania",10421,53072,71115
"Somerset","Somerset County, Pennsylvania",20615,54418,65157
"Sullivan","Sullivan County, Pennsylvania",1528,50855,63114
"Susquehanna","Susquehanna County, Pennsylvania",11782,57595,67804
"Tioga","Tioga County, Pennsylvania",11753,52998,63508
"Union","Union County, Pennsylvania",10255,55763,72238
"Venango","Venango County, Pennsylvania",15124,51925,60517
"Warren","Warren County, Pennsylvania",11223,56410,68209
"Washington","Washington County, Pennsylvania",55569,68300,83324
"Wayne","Wayne County, Pennsylvania",13399,58934,69447
"Westmoreland","Westmoreland County, Pennsylvania",101612,65027,79836
"Wyoming","Wyoming County, Pennsylvania",7487,58479,70548
"York","York County, Pennsylvania",117774,70001,82616
