"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Abbeville","Abbeville County, South Carolina",6621,47211,54818
"Aiken","Aiken County, South Carolina",42977,56150,70930
"Allendale","Allendale County, South Carolina",2257,30276,44381
"Anderson","Anderson County, South Carolina",51641,53856,65762
"Bamberg","Bamberg County, South Carolina",3727,43317,55926
"Barnwell","Barnwell County, South Carolina",5745,43818,53388
"Beaufort","Beaufort County, South Carolina",44768,66878,91838
"Berkeley","Berkeley County, South Carolina",46590,59373,72323
"Calhoun","Calhoun County, South Carolina",4386,49517,64963
"Charleston","Charleston County, South Carolina",83901,65394,89630
"Cherokee","Cherokee County, South Carolina",14189,43439,54833
"Chester","Chester County, South Carolina",8511,42089,51314
"Chesterfield","Chesterfield County, South Carolina",12032,40989,50587
"Clarendon","Clarendon County, South Carolina",8782,40172,53474
"Colleton","Colleton County, South Carolina",10418,41716,54462
"Darlington","Darlington County, South Carolina",18520,46150,58702
"Dillon","Dillon County, South Carolina",8129,33952,43509
"Dorchester","Dorchester County, South Carolina",36874,62753,73856
"Edgefield","Edgefield County, South Carolina",6478,53879,65610
"Fairfield","Fairfield County, South Carolina",6247,44842,56409
"Florence","Florence County, South Carolina",35462,51660,67104
"Georgetown","Georgetown County, South Carolina",15966,51852,71299
"Greenville","Greenville County, South Carolina",117709,61768,79487
"Greenwood","Greenwood County, South Carolina",18085,47807,61249
"Hampton","Hampton County, South Carolina",5277,42588,56980
"Horry","Horry County, South Carolina",74228,51252,66111
"Jasper","Jasper County, South Carolina",5716,42070,51876
"Kershaw","Kershaw County, South Carolina",17478,52593,65470
"Lancaster","Lancaster County, South Carolina",20508,51067,60786
"Laurens","Laurens County, South Carolina",18090,44778,54375
"Lee","Lee County, South Carolina",4372,36935,46486
"Lexington","Lexington County, South Carolina",70942,66099,78981
"McCormick","McCormick County, South Carolina",2893,48283,63190
"Marion","Marion County, South Carolina",8440,38974,49662
"Marlboro","Marlboro County, South Carolina",6445,31440,44794
"Newberry","Newberry County, South Carolina",9996,53963,63704
"Oconee","Oconee County, South Carolina",21011,49753,66965
"Orangeburg","Orangeburg County, South Carolina",22605,42038,53374
"Pickens","Pickens County, South Carolina",28721,54279,68158
"Richland","Richland County, South Carolina",87554,62935,80633
"Saluda","Saluda County, South Carolina",4921,44705,59161
"Spartanburg","Spartanburg County, South Carolina",75250,52662,66484
"Sumter","Sumter County, South Carolina",27143,48603,60020
"Union","Union County, South Carolina",7897,41390,53506
"Williamsburg","Williamsburg County, South Carolina",7594,39346,48014
"York","York County, South Carolina",61755,66256,80380
