"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Aurora","Aurora County, South Dakota",740,56389,70162
"Beadle","Beadle County, South Dakota",4414,58207,71751
"Bennett","Bennett County, South Dakota",783,40282,59019
"Bon Homme","Bon Homme County, South Dakota",1657,55508,68070
"Brookings","Brookings County, South Dakota",6954,61219,77192
"Brown","Brown County, South Dakota",9516,64824,77502
"Brule","Brule County, South Dakota",1486,57078,62023
"Buffalo","Buffalo County, South Dakota",427,31301,40947
"Butte","Butte County, South Dakota",2480,58006,65362
"Campbell","Campbell County, South Dakota",416,50938,65211
"Charles Mix","Charles Mix County, South Dakota",2054,51780,62284
"Clark","Clark County, South Dakota",877,65089,93900
"Clay","Clay County, South Dakota",2608,61750,72168
"Codington","Codington County, South Dakota",6875,63037,76693
"Corson","Corson County, South Dakota",863,37250,57485
"Custer","Custer County, South Dakota",2438,61917,74225
"Davison","Davison County, South Dakota",5203,62438,67748
"Day","Day County, South Dakota",1598,48450,62572
"Deuel","Deuel County, South Dakota",1218,64432,77572
"Dewey","Dewey County, South Dakota",1151,37277,54846
"Douglas","Douglas County, South Dakota",876,58529,77142
"Edmunds","Edmunds County, South Dakota",1013,65179,76392
"Fall River","Fall River County, South Dakota",1796,58910,65735
"Faulk","Faulk County, South Dakota",582,54219,72805
"Grant","Grant County, South Dakota",2165,57699,67795
"Gregory","Gregory County, South Dakota",1233,43160,59015
"Haakon","Haakon County, South Dakota",561,64120,71373
"Hamlin","Hamlin County, South Dakota",1450,63659,79619
"Hand","Hand County, South Dakota",961,59671,68587
"Hanson","Hanson County, South Dakota",766,64375,79264
"Harding","Harding County, South Dakota",370,56354,65537
"Hughes","Hughes County, South Dakota",4321,83474,92777
"Hutchinson","Hutchinson County, South Dakota",1953,59403,78741
"Hyde","Hyde County, South Dakota",351,67292,76344
"Jackson","Jackson County, South Dakota",760,51196,62489
"Jerauld","Jerauld County, South Dakota",640,54300,69643
"Jones","Jones County, South Dakota",263,53854,68365
"Kingsbury","Kingsbury County, South Dakota",1584,61858,72900
"Lake","Lake County, South Dakota",2932,66652,78050
"Lawrence","Lawrence County, South Dakota",6361,66387,81036
"Lincoln","Lincoln County, South Dakota",12857,85666,106124
"Lyman","Lyman County, South Dakota",943,61713,67211
"McCook","McCook County, South Dakota",1503,66106,82380
"McPherson","McPherson County, South Dakota",691,44650,61169
"Marshall","Marshall County, South Dakota",1038,64375,82556
"Meade","Meade County, South Dakota",7209,58193,71365
"Mellette","Mellette County, South Dakota",513,36023,46989
"Miner","Miner County, South Dakota",633,60083,88390
"Minnehaha","Minnehaha County, South Dakota",43559,66555,78861
"Moody","Moody County, South Dakota",1929,62624,74749
"Pennington","Pennington County, South Dakota",26352,64273,79827
"Perkins","Perkins County, South Dakota",800,56429,74226
"Potter","Potter County, South Dakota",662,53750,65756
"Roberts","Roberts County, South Dakota",2606,57684,66601
"Sanborn","Sanborn County, South Dakota",651,62583,72565
"Shannon","Shannon County, South Dakota",2367,26029,37791
"Spink","Spink County, South Dakota",1667,61063,84651
"Stanley","Stanley County, South Dakota",798,61083,81021
"Sully","Sully County, South Dakota",397,69345,79263
"Todd","Todd County, South Dakota",2023,32671,39744
"Tripp","Tripp County, South Dakota",1651,48547,62388
"Turner","Turner County, South Dakota",2400,62026,71697
"Union","Union County, South Dakota",3843,74758,102408
"Walworth","Walworth County, South Dakota",1465,59449,71701
"Yankton","Yankton County, South Dakota",5508,67897,84960
"Ziebach","Ziebach County, South Dakota",626,32273,41884
