"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Anderson","Anderson County, Tennessee",20235,55940,69405
"Bedford","Bedford County, Tennessee",12094,47774,57274
"Benton","Benton County, Tennessee",4540,39526,50501
"Bledsoe","Bledsoe County, Tennessee",3207,39993,51023
"Blount","Blount County, Tennessee",33793,56626,68179
"Bradley","Bradley County, Tennessee",25858,50351,65710
"Campbell","Campbell County, Tennessee",10999,39284,48506
"Cannon","Cannon County, Tennessee",3888,48333,54985
"Carroll","Carroll County, Tennessee",7339,45351,56364
"Carter","Carter County, Tennessee",16206,41010,51245
"Cheatham","Cheatham County, Tennessee",10683,61433,69364
"Chester","Chester County, Tennessee",4328,52983,58691
"Claiborne","Claiborne County, Tennessee",8391,42766,51849
"Clay","Clay County, Tennessee",2398,36659,44212
"Cocke","Cocke County, Tennessee",10221,39065,48982
"Coffee","Coffee County, Tennessee",14084,50394,61230
"Crockett","Crockett County, Tennessee",3939,43693,55081
"Cumberland","Cumberland County, Tennessee",16243,43611,57970
"Davidson","Davidson County, Tennessee",142957,58535,81901
"Decatur","Decatur County, Tennessee",3473,46973,70368
"DeKalb","DeKalb County, Tennessee",4938,44208,64469
"Dickson","Dickson County, Tennessee",13861,51398,62669
"Dyer","Dyer County, Tennessee",10894,47037,61456
"Fayette","Fayette County, Tennessee",11063,65276,80872
"Fentress","Fentress County, Tennessee",4950,37837,47041
"Franklin","Franklin County, Tennessee",11423,48711,63820
"Gibson","Gibson County, Tennessee",13054,47987,60836
"Giles","Giles County, Tennessee",8143,47011,55992
"Grainger","Grainger County, Tennessee",6186,41071,53216
"Greene","Greene County, Tennessee",19872,43400,55131
"Grundy","Grundy County, Tennessee",3591,35507,47598
"Hamblen","Hamblen County, Tennessee",16949,50162,61264
"Hamilton","Hamilton County, Tennessee",88096,60329,80721
"Hancock","Hancock County, Tennessee",1856,30776,40506
"Hardeman","Hardeman County, Tennessee",5953,41966,52413
"Hardin","Hardin County, Tennessee",6646,41225,60353
"Hawkins","Hawkins County, Tennessee",16557,46066,56151
"Haywood","Haywood County, Tennessee",4522,43094,57020
"Henderson","Henderson County, Tennessee",7824,47551,59658
"Henry","Henry County, Tennessee",8966,48836,61662
"Hickman","Hickman County, Tennessee",6320,47683,59097
"Houston","Houston County, Tennessee",2292,44637,52456
"Humphreys","Humphreys County, Tennessee",5044,54492,63321
"Jackson","Jackson County, Tennessee",3067,42800,52602
"Jefferson","Jefferson County, Tennessee",13813,49107,60408
"Johnson","Johnson County, Tennessee",4849,36866,46032
"Knox","Knox County, Tennessee",109025,64310,84297
"Lake","Lake County, Tennessee",1394,36926,47316
"Lauderdale","Lauderdale County, Tennessee",6695,38356,50493
"Lawrence","Lawrence County, Tennessee",11177,47649,58900
"Lewis","Lewis County, Tennessee",3223,42415,53603
"Lincoln","Lincoln County, Tennessee",9379,51120,60944
"Loudon","Loudon County, Tennessee",14577,60003,75079
"McMinn","McMinn County, Tennessee",14308,48576,56728
"McNairy","McNairy County, Tennessee",6646,41545,55026
"Macon","Macon County, Tennessee",6212,42307,51788
"Madison","Madison County, Tennessee",23701,54519,72737
"Marion","Marion County, Tennessee",7826,49631,62265
"Marshall","Marshall County, Tennessee",8261,51921,62534
"Maury","Maury County, Tennessee",21924,55558,66520
"Meigs","Meigs County, Tennessee",3411,47672,54708
"Monroe","Monroe County, Tennessee",12840,44907,57095
"Montgomery","Montgomery County, Tennessee",46197,57117,66277
"Moore","Moore County, Tennessee",1711,59462,72298
"Morgan","Morgan County, Tennessee",5350,45434,58652
"Obion","Obion County, Tennessee",8754,46784,59446
"Overton","Overton County, Tennessee",6292,43587,54215
"Perry","Perry County, Tennessee",2080,39661,49730
"Pickett","Pickett County, Tennessee",1933,42159,53927
"Polk","Polk County, Tennessee",4769,46076,56755
"Putnam","Putnam County, Tennessee",18338,47920,59805
"Rhea","Rhea County, Tennessee",8372,46526,55097
"Roane","Roane County, Tennessee",14958,52729,66471
"Robertson","Robertson County, Tennessee",17697,60073,71066
"Rutherford","Rutherford County, Tennessee",67000,66755,77689
"Scott","Scott County, Tennessee",5426,35842,47514
"Sequatchie","Sequatchie County, Tennessee",4046,49238,61780
"Sevier","Sevier County, Tennessee",26648,50704,61349
"Shelby","Shelby County, Tennessee",221657,57213,79263
"Smith","Smith County, Tennessee",5141,52301,63982
"Stewart","Stewart County, Tennessee",3766,51250,62162
"Sullivan","Sullivan County, Tennessee",44690,50725,66702
"Sumner","Sumner County, Tennessee",45698,64806,83288
"Tipton","Tipton County, Tennessee",16457,59729,69926
"Trousdale","Trousdale County, Tennessee",2003,52030,65155
"Unicoi","Unicoi County, Tennessee",5031,44029,57403
"Union","Union County, Tennessee",5149,40717,50493
"Van Buren","Van Buren County, Tennessee",1491,41019,55006
"Warren","Warren County, Tennessee",10341,43922,57787
"Washington","Washington County, Tennessee",33109,52949,72555
"Wayne","Wayne County, Tennessee",4401,44653,52287
"Weakley","Weakley County, Tennessee",9101,50628,60659
"White","White County, Tennessee",6755,42357,53951
"Williamson","Williamson County, Tennessee",52358,104796,131316
"Wilson","Wilson County, Tennessee",31656,70024,81796
