"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Texas County, Missouri","Texas County, Missouri",6535,45212,55930
"Texas County, Oklahoma","Texas County, Oklahoma",5271,57713,71590
"Anderson","Anderson County, Texas",11544,52077,67170
"Andrews","Andrews County, Texas",3913,76563,92555
"Angelina","Angelina County, Texas",22468,47396,65070
"Aransas","Aransas County, Texas",6718,55880,71474
"Archer","Archer County, Texas",2564,68419,82405
"Armstrong","Armstrong County, Texas",520,76357,80816
"Atascosa","Atascosa County, Texas",11835,53016,67301
"Austin","Austin County, Texas",7517,64760,79009
"Bailey","Bailey County, Texas",1806,48681,60511
"Bandera","Bandera County, Texas",5660,63387,71818
"Bastrop","Bastrop County, Texas",18661,61250,73956
"Baylor","Baylor County, Texas",1013,56656,81542
"Bee","Bee County, Texas",5868,50229,64926
"Bell","Bell County, Texas",75209,58115,71564
"Bexar","Bexar County, Texas",410792,58289,76803
"Blanco","Blanco County, Texas",2800,68598,80142
"Borden","Borden County, Texas",191,76250,153091
"Bosque","Bosque County, Texas",5000,53835,71224
"Bowie","Bowie County, Texas",23119,53995,69435
"Brazoria","Brazoria County, Texas",80021,79880,94893
"Brazos","Brazos County, Texas",39207,58863,78740
"Brewster","Brewster County, Texas",2264,55893,86961
"Briscoe","Briscoe County, Texas",441,50560,59418
"Brooks","Brooks County, Texas",1663,28558,46723
"Brown","Brown County, Texas",9503,48865,62869
"Burleson","Burleson County, Texas",4453,56139,65033
"Burnet","Burnet County, Texas",11995,58125,71522
"Caldwell","Caldwell County, Texas",7861,51289,67444
"Calhoun","Calhoun County, Texas",5815,56167,69158
"Callahan","Callahan County, Texas",3437,57957,68524
"Cameron","Cameron County, Texas",94157,36332,51745
"Camp","Camp County, Texas",3269,45781,58542
"Carson","Carson County, Texas",1775,73125,78305
"Cass","Cass County, Texas",7926,47101,57664
"Castro","Castro County, Texas",1873,40595,62783
"Chambers","Chambers County, Texas",9839,82601,97363
