"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Beaver","Beaver County, Utah",1574,56184,68871
"Box Elder","Box Elder County, Utah",13225,62898,73173
"Cache","Cache County, Utah",26659,57220,71097
"Carbon","Carbon County, Utah",5305,59397,64725
"Daggett","Daggett County, Utah",195,67898,73905
"Davis","Davis County, Utah",77025,76888,91161
"Duchesne","Duchesne County, Utah",5496,63048,73574
"Emery","Emery County, Utah",2802,60948,66229
"Garfield","Garfield County, Utah",1310,50429,65350
"Grand","Grand County, Utah",1965,62627,71985
"Iron","Iron County, Utah",11041,49829,59500
"Juab","Juab County, Utah",2582,57207,65072
"Kane","Kane County, Utah",2012,58883,71320
"Millard","Millard County, Utah",3122,59266,66892
"Morgan","Morgan County, Utah",2502,87922,94973
"Piute","Piute County, Utah",407,50179,54593
"Rich","Rich County, Utah",535,65250,85671
"Salt Lake","Salt Lake County, Utah",242705,70215,87598
"San Juan","San Juan County, Utah",3078,46615,56681
"Sanpete","Sanpete County, Utah",5858,58486,70393
"Sevier","Sevier County, Utah",5361,53997,62636
"Summit","Summit County, Utah",9878,95879,125544
"Tooele","Tooele County, Utah",14643,66201,76184
"Uintah","Uintah County, Utah",8340,65922,74123
"Utah","Utah County, Utah",117170,65542,80657
"Wasatch","Wasatch County, Utah",6128,70303,85960
"Washington","Washington County, Utah",35746,55881,68789
"Wayne","Wayne County, Utah",760,48125,58082
"Weber","Weber County, Utah",58530,62642,74432
