"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Addison","Addison County, Vermont",9530,69157,83800
"Bennington","Bennington County, Vermont",10049,61270,80129
"Caledonia","Caledonia County, Vermont",7980,54941,68228
"Chittenden","Chittenden County, Vermont",37546,83887,102164
"Essex","Essex County, Vermont",1792,45000,54315
"Franklin","Franklin County, Vermont",12880,68408,81089
"Grand Isle","Grand Isle County, Vermont",2142,69722,88965
"Lamoille","Lamoille County, Vermont",6076,64500,75640
"Orange","Orange County, Vermont",7939,63253,75798
"Orleans","Orleans County, Vermont",6986,52235,63174
"Rutland","Rutland County, Vermont",16215,61516,73513
"Washington","Washington County, Vermont",15113,70640,84083
"Windham","Windham County, Vermont",11544,63509,78765
"Windsor","Windsor County, Vermont",15483,70467,84992
