"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Accomack","Accomack County, Virginia",9277,48708,64065
"Albemarle","Albemarle County, Virginia",24504,89889,118795
"Alleghany","Alleghany County, Virginia",4556,59384,68108
"Amelia","Amelia County, Virginia",3622,61403,74948
"Amherst","Amherst County, Virginia",8570,56802,65258
"Appomattox","Appomattox County, Virginia",4273,59252,66151
"Arlington","Arlington County, Virginia",43512,139244,172334
"Augusta","Augusta County, Virginia",20511,60614,73099
"Bath","Bath County, Virginia",1355,55112,76204
"Bedford","Bedford County, Virginia",19905,69792,82725
"Bland","Bland County, Virginia",1772,48906,59060
"Botetourt","Botetourt County, Virginia",10037,74798,91202
"Brunswick","Brunswick County, Virginia",3943,45838,53074
"Buchanan","Buchanan County, Virginia",6711,38734,48065
"Buckingham","Buckingham County, Virginia",4230,48786,57387
"Campbell","Campbell County, Virginia",15458,56168,66509
"Caroline","Caroline County, Virginia",7820,64258,76540
"Carroll","Carroll County, Virginia",8613,43349,53514
"Charles City","Charles City County, Virginia",1869,58893,69925
"Charlotte","Charlotte County, Virginia",3314,43384,55001
"Chesterfield","Chesterfield County, Virginia",83188,83877,100968
"Clarke","Clarke County, Virginia",4098,95654,115381
"Craig","Craig County, Virginia",1472,58750,61561
"Culpeper","Culpeper County, Virginia",11959,75328,86096
"Cumberland","Cumberland County, Virginia",2723,49351,61897
"Dickenson","Dickenson County, Virginia",4526,41314,51061
"Dinwiddie","Dinwiddie County, Virginia",7241,58543,67381
"Essex","Essex County, Virginia",2735,53946,66149
"Fairfax","Fairfax County, Virginia",277250,128596,158174
"Fauquier","Fauquier County, Virginia",17205,103556,123962
"Floyd","Floyd County, Virginia",4126,50969,60001
"Fluvanna","Fluvanna County, Virginia",6937,79101,94796
"Franklin","Franklin County, Virginia",16857,55970,67565
"Frederick","Frederick County, Virginia",21660,76530,88890
"Giles","Giles County, Virginia",4823,54697,67326
"Gloucester","Gloucester County, Virginia",10266,72719,84153
"Goochland","Goochland County, Virginia",6394,92042,138202
"Grayson","Grayson County, Virginia",4378,40245,54288
"Greene","Greene County, Virginia",4974,70074,77980
"Greensville","Greensville County, Virginia",2545,47517,53797
"Halifax","Halifax County, Virginia",9658,45024,57838
"Hanover","Hanover County, Virginia",27946,88604,102663
"Henrico","Henrico County, Virginia",79990,75640,95777
"Henry","Henry County, Virginia",15386,43284,53822
"Highland","Highland County, Virginia",757,56625,67824
"Isle of Wight","Isle of Wight County, Virginia",10191,77524,90485
