"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Washington County, Alabama","Washington County, Alabama",4834,50376,60270
"Washington County, Arkansas","Washington County, Arkansas",50143,54190,72838
"Washington County, Colorado","Washington County, Colorado",1408,55606,69540
"Washington County, Florida","Washington County, Florida",5690,45152,54542
"Washington County, Georgia","Washington County, Georgia",4995,45757,55805
"Washington County, Idaho","Washington County, Idaho",2589,46690,58643
"Washington County, Illinois","Washington County, Illinois",4080,64959,73130
"Washington County, Indiana","Washington County, Indiana",7445,50107,62984
"Washington County, Iowa","Washington County, Iowa",6045,66967,76359
"Washington County, Kansas","Washington County, Kansas",1620,55034,63907
"Washington County, Kentucky","Washington County, Kentucky",3322,48578,57596
"Washington Parish, Louisiana","Washington Parish, Louisiana",11768,41963,54653
"Washington County, Maine","Washington County, Maine",8911,45117,55371
"Washington County, Maryland","Washington County, Maryland",37646,66435,79527
"Washington County, Minnesota","Washington County, Minnesota",65270,94263,111667
"Washington County, Mississippi","Washington County, Mississippi",12412,33025,49850
"Washington County, Missouri","Washington County, Missouri",6515,41108,54393
"Washington County, Nebraska","Washington County, Nebraska",5423,83670,90799
"Washington County, New York","Washington County, New York",16882,61494,70358
"Washington County, North Carolina","Washington County, North Carolina",3198,43636,54738
"Washington County, Ohio","Washington County, Ohio",16431,55505,67377
"Washington County, Oklahoma","Washington County, Oklahoma",14183,58761,74400
"Washington County, Oregon","Washington County, Oregon",135468,76711,92888
"Washington County, Pennsylvania","Washington County, Pennsylvania",55569,68300,83324
"Washington County, Rhode Island","Washington County, Rhode Island",32740,91532,112030
"Washington County, Tennessee","Washington County, Tennessee",33109,52949,72555
"Washington County, Texas","Washington County, Texas",8572,55675,68724
"Washington County, Utah","Washington County, Utah",35746,55881,68789
"Washington County, Vermont","Washington County, Vermont",15113,70640,84083
"Washington County, Virginia","Washington County, Virginia",15546,54606,71906
"Adams","Adams County, Washington",4557,48121,57628
"Asotin","Asotin County, Washington",5768,55321,69996
"Benton","Benton County, Washington",45471,72126,86639
"Chelan","Chelan County, Washington",18707,61230,79482
"Clallam","Clallam County, Washington",18778,59169,69844
"Clark","Clark County, Washington",110058,68276,82734
"Columbia","Columbia County, Washington",1106,50956,66314
"Cowlitz","Cowlitz County, Washington",26726,56810,67895
"Douglas","Douglas County, Washington",10459,55665,65638
"Ferry","Ferry County, Washington",1988,42164,55372
"Franklin","Franklin County, Washington",18039,57710,68032
"Garfield","Garfield County, Washington",653,66182,73626
"Grant","Grant County, Washington",21720,52848,63182
"Grays Harbor","Grays Harbor County, Washington",17571,52948,64441
"Island","Island County, Washington",22620,69775,84141
"Jefferson","Jefferson County, Washington",7993,62737,74307
"King","King County, Washington",473862,92510,117659
"Kitsap","Kitsap County, Washington",66152,74993,91875
"Kittitas","Kittitas County, Washington",9444,63929,70406
"Klickitat","Klickitat County, Washington",5486,48375,61921
"Lewis","Lewis County, Washington",19647,53627,63566
"Lincoln","Lincoln County, Washington",3004,60478,72669
"Mason","Mason County, Washington",15674,57662,67149
"Okanogan","Okanogan County, Washington",10877,47539,57965
"Pacific","Pacific County, Washington",5832,50919,64829
"Pend Oreille","Pend Oreille County, Washington",3686,47847,61058
"Pierce","Pierce County, Washington",202286,70077,84421
"San Juan","San Juan County, Washington",4806,65067,91437
"Skagit","Skagit County, Washington",31066,64951,77131
"Skamania","Skamania County, Washington",2993,67354,80922
"Snohomish","Snohomish County, Washington",182790,80856,93559
"Spokane","Spokane County, Washington",118609,62589,76728
"Stevens","Stevens County, Washington",12163,52410,61957
"Thurston","Thurston County, Washington",66801,74207,85649
"Wahkiakum","Wahkiakum County, Washington",1096,48156,57094
"Walla Walla","Walla Walla County, Washington",13905,59108,75934
"Whatcom","Whatcom County, Washington",49023,68159,80281
"Whitman","Whitman County, Washington",8238,63713,78915
"Yakima","Yakima County, Washington",58232,48946,62750
"Washington County, Wisconsin","Washington County, Wisconsin",37674,79911,92190
