"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Barbour","Barbour County, West Virginia",4299,44395,52280
"Berkeley","Berkeley County, West Virginia",28434,61575,75792
"Boone","Boone County, West Virginia",6864,54315,62656
"Braxton","Braxton County, West Virginia",3845,43884,54010
"Brooke","Brooke County, West Virginia",6521,55605,62628
"Cabell","Cabell County, West Virginia",24174,52300,69492
"Calhoun","Calhoun County, West Virginia",2101,41920,49925
"Clay","Clay County, West Virginia",2434,42629,49328
"Doddridge","Doddridge County, West Virginia",1930,43622,49578
"Fayette","Fayette County, West Virginia",11508,42182,53234
"Gilmer","Gilmer County, West Virginia",1615,49852,58518
"Grant","Grant County, West Virginia",3022,51667,56393
"Greenbrier","Greenbrier County, West Virginia",10005,48487,60152
"Hampshire","Hampshire County, West Virginia",4657,45831,54323
"Hancock","Hancock County, West Virginia",8542,49200,64918
"Hardy","Hardy County, West Virginia",3094,43097,53372
"Harrison","Harrison County, West Virginia",18520,54364,66118
"Jackson","Jackson County, West Virginia",7810,53355,65805
"Jefferson","Jefferson County, West Virginia",14034,77447,88527
"Kanawha","Kanawha County, West Virginia",50847,58481,78221
"Lewis","Lewis County, West Virginia",4342,44653,59182
"Lincoln","Lincoln County, West Virginia",6112,42293,52595
"Logan","Logan County, West Virginia",10392,47700,56763
"McDowell","McDowell County, West Virginia",5394,30671,40839
"Marion","Marion County, West Virginia",14742,53822,65707
"Marshall","Marshall County, West Virginia",9395,51779,66565
"Mason","Mason County, West Virginia",7295,44401,56299
"Mercer","Mercer County, West Virginia",16640,44751,57166
"Mineral","Mineral County, West Virginia",6251,48910,58403
"Mingo","Mingo County, West Virginia",7592,47986,58247
"Monongalia","Monongalia County, West Virginia",19147,68101,88386
"Monroe","Monroe County, West Virginia",4030,46707,53262
"Morgan","Morgan County, West Virginia",3872,51724,64126
"Nicholas","Nicholas County, West Virginia",7821,48275,68751
"Ohio","Ohio County, West Virginia",10837,57865,79720
"Pendleton","Pendleton County, West Virginia",2091,47745,57506
"Pleasants","Pleasants County, West Virginia",1957,57604,65453
"Pocahontas","Pocahontas County, West Virginia",2418,43975,55049
"Preston","Preston County, West Virginia",8831,52128,62605
"Putnam","Putnam County, West Virginia",16000,65900,79484
"Raleigh","Raleigh County, West Virginia",20899,49936,63507
"Randolph","Randolph County, West Virginia",7527,48547,57980
"Ritchie","Ritchie County, West Virginia",2600,45615,51337
"Roane","Roane County, West Virginia",3978,38920,49126
"Summers","Summers County, West Virginia",3700,44595,51322
"Taylor","Taylor County, West Virginia",4873,48618,59105
"Tucker","Tucker County, West Virginia",2087,49677,57448
"Tyler","Tyler County, West Virginia",2587,47671,54945
"Upshur","Upshur County, West Virginia",6130,49740,58723
"Wayne","Wayne County, West Virginia",10975,46749,56569
"Webster","Webster County, West Virginia",2759,34786,46174
"Wetzel","Wetzel County, West Virginia",4527,49622,62372
"Wirt","Wirt County, West Virginia",1591,43795,52567
"Wood","Wood County, West Virginia",23292,53647,68178
"Wyoming","Wyoming County, West Virginia",6427,47602,55324
