"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Adams","Adams County, Wisconsin",5433,51949,60640
"Ashland","Ashland County, Wisconsin",4089,47587,60060
"Barron","Barron County, Wisconsin",12730,54827,66588
"Bayfield","Bayfield County, Wisconsin",4499,55654,65001
"Brown","Brown County, Wisconsin",64785,67159,82926
"Buffalo","Buffalo County, Wisconsin",3808,58708,68377
"Burnett","Burnett County, Wisconsin",4737,47404,57792
"Calumet","Calumet County, Wisconsin",13720,75563,88066
"Chippewa","Chippewa County, Wisconsin",16474,61420,69753
"Clark","Clark County, Wisconsin",9005,53025,63924
"Columbia","Columbia County, Wisconsin",15514,70208,80785
"Crawford","Crawford County, Wisconsin",4352,57472,66592
"Dane","Dane County, Wisconsin",119426,83509,101573
"Dodge","Dodge County, Wisconsin",22225,64923,73590
"Door","Door County, Wisconsin",8474,63361,78816
"Douglas","Douglas County, Wisconsin",11638,59716,70412
"Dunn","Dunn County, Wisconsin",10499,62033,69505
"Eau Claire","Eau Claire County, Wisconsin",23450,67630,80030
"Florence","Florence County, Wisconsin",1313,52846,60685
"Fond du Lac","Fond du Lac County, Wisconsin",27658,65103,75387
"Forest","Forest County, Wisconsin",2528,51207,57584
"Grant","Grant County, Wisconsin",12111,58869,67048
"Green","Green County, Wisconsin",10136,68493,78925
"Green Lake","Green Lake County, Wisconsin",5333,60358,71752
"Iowa","Iowa County, Wisconsin",6606,70079,77786
"Iron","Iron County, Wisconsin",1857,49059,58670
"Jackson","Jackson County, Wisconsin",5260,51692,61909
"Jefferson","Jefferson County, Wisconsin",21623,67058,77135
"Juneau","Juneau County, Wisconsin",6803,54255,67456
"Kenosha","Kenosha County, Wisconsin",41941,68255,81315
"Kewaunee","Kewaunee County, Wisconsin",5544,67033,74211
"La Crosse","La Crosse County, Wisconsin",27839,69606,81742
"Lafayette","Lafayette County, Wisconsin",4605,59593,68743
"Langlade","Langlade County, Wisconsin",5648,50629,60719
"Lincoln","Lincoln County, Wisconsin",8351,61366,68845
"Manitowoc","Manitowoc County, Wisconsin",21982,63889,72164
"Marathon","Marathon County, Wisconsin",36120,64950,81816
"Marinette","Marinette County, Wisconsin",11480,53495,64532
"Marquette","Marquette County, Wisconsin",4416,55060,64300
"Menominee","Menominee County, Wisconsin",883,37321,52260
"Milwaukee","Milwaukee County, Wisconsin",216535,55164,70993
"Monroe","Monroe County, Wisconsin",11879,61851,67397
"Oconto","Oconto County, Wisconsin",10933,62599,70103
"Oneida","Oneida County, Wisconsin",10188,58214,69861
"Outagamie","Outagamie County, Wisconsin",46896,71464,83466
"Ozaukee","Ozaukee County, Wisconsin",24285,92262,124648
"Pepin","Pepin County, Wisconsin",2025,58770,68974
"Pierce","Pierce County, Wisconsin",10090,74867,88054
"Polk","Polk County, Wisconsin",12625,58842,70313
"Portage","Portage County, Wisconsin",17536,65214,75608
"Price","Price County, Wisconsin",4368,53902,59633
"Racine","Racine County, Wisconsin",49280,66811,81302
"Richland","Richland County, Wisconsin",4994,55208,62705
"Rock","Rock County, Wisconsin",42623,60120,69486
"Rusk","Rusk County, Wisconsin",4207,47825,57262
"St. Croix","St. Croix County, Wisconsin",23351,80740,96963
"Sauk","Sauk County, Wisconsin",16811,65561,74445
"Sawyer","Sawyer County, Wisconsin",5112,46831,58581
"Shawano","Shawano County, Wisconsin",11762,54485,64274
"Sheboygan","Sheboygan County, Wisconsin",30644,65968,76304
"Taylor","Taylor County, Wisconsin",5720,56250,65835
"Trempealeau","Trempealeau County, Wisconsin",7925,61196,72499
"Vernon","Vernon County, Wisconsin",7961,57070,67488
"Vilas","Vilas County, Wisconsin",6575,50051,66099
"Walworth","Walworth County, Wisconsin",26624,68838,81349
"Washburn","Washburn County, Wisconsin",4707,52635,63697
"Washington","Washington County, Wisconsin",37674,79911,92190
"Waukesha","Waukesha County, Wisconsin",108185,92974,112188
"Waupaca","Waupaca County, Wisconsin",14402,61581,71276
"Waushara","Waushara County, Wisconsin",6653,52816,64591
"Winnebago","Winnebago County, Wisconsin",41058,66466,80487
"Wood","Wood County, Wisconsin",20620,60258,72220
