"X","Estimate..INCOME.AND.BENEFITS..IN.2013.INFLATION.ADJUSTED.DOLLARS....Families","Median.family.income..dollars.","Mean.family.income..dollars."
"Wyoming County, New York","Wyoming County, New York",10512,62490,70210
"Wyoming County, Pennsylvania","Wyoming County, Pennsylvania",7487,58479,70548
"Wyoming County, West Virginia","Wyoming County, West Virginia",6427,47602,55324
"Albany","Albany County, Wyoming",7457,67949,81473
"Big Horn","Big Horn County, Wyoming",3078,61910,72543
"Campbell","Campbell County, Wyoming",12141,84746,97772
"Carbon","Carbon County, Wyoming",4003,65402,72403
"Converse","Converse County, Wyoming",3935,75231,85325
"Crook","Crook County, Wyoming",2130,60909,71980
"Fremont","Fremont County, Wyoming",10340,60397,71132
"Goshen","Goshen County, Wyoming",3423,51882,66205
"Hot Springs","Hot Springs County, Wyoming",1319,56344,70183
"Johnson","Johnson County, Wyoming",2379,63343,77307
"Laramie","Laramie County, Wyoming",24612,71483,82258
"Lincoln","Lincoln County, Wyoming",4750,71523,78499
"Natrona","Natrona County, Wyoming",20673,69098,84557
"Niobrara","Niobrara County, Wyoming",600,57024,83964
"Park","Park County, Wyoming",7689,64802,77764
"Platte","Platte County, Wyoming",2264,62596,72265
"Sheridan","Sheridan County, Wyoming",7809,67673,76973
"Sublette","Sublette County, Wyoming",2676,85885,101386
"Sweetwater","Sweetwater County, Wyoming",11783,81595,88158
"Teton","Teton County, Wyoming",4532,83558,127510
"Uinta","Uinta County, Wyoming",5322,73060,77015
"Washakie","Washakie County, Wyoming",2197,64608,82958
"Weston","Weston County, Wyoming",1906,74531,78380
