"Bushfire","Cyclone","Hailstorm","Flood"
"[1967-1971)",14,12,5,5
"[1971-1975)",0,147,20,14
"[1975-1979)",9,42,26,22
"[1979-1983)",13,19.2333333333333,25,0
"[1983-1987)",113,45,159.5,80
"[1987-1991)",17,79,132.666666666667,55.5
"[1991-1995)",71.1,0,139,36
"[1995-1999)",6.5,21,180.333333333333,66.65
"[1999-2003)",94,29.375,1700,9
"[2003-2007)",226.9,540,279.833333333333,0
"[2007-2011)",7.4,8,256,1245.162
"[2011-2015)",161.755666666667,1420.639,0,258.156
"[2015-2019)",0,0,0,0
"[2019-2023)",0,0,0,0
"[2023-2027)",0,0,0,0
