"Flood","Storm","Flood..Storm","Tornado"
"[1968-1972)",0,3.5,0,0
"[1972-1976)",0,7,0,0
"[1976-1980)",16.5,0,0,0
"[1980-1984)",11.95,3.5,0,1
"[1984-1988)",26.1166666666667,0,0,0
"[1988-1992)",9.76666666666667,0,0,1.5
"[1992-1996)",12.25,7,6,1.1
"[1996-2000)",15.045,6.4,11.8,0
"[2000-2004)",5.73333333333333,9.9,23.15,0
"[2004-2008)",15.3666666666667,102.883333333333,2.7,17.5
"[2008-2012)",16.9166666666667,63.45,19.8,5.085
"[2012-2016)",5.6,55.7166666666667,101.5,8.7
"[2016-2020)",0,0,0,0
"[2020-2024)",0,0,0,0
"[2024-2028)",0,0,0,0
