"Alameda County, California","Alpine County, California","Amador County, California","Butte County, California","Calaveras County, California","Colusa County, California","Contra Costa County, California","Del Norte County, California","El Dorado County, California","Fresno County, California","Glenn County, California","Humboldt County, California","Imperial County, California","Inyo County, California","Kern County, California","Kings County, California","Lake County, California","Lassen County, California","Los Angeles County, California","Madera County, California","Marin County, California","Mariposa County, California","Mendocino County, California","Merced County, California","Modoc County, California","Mono County, California","Monterey County, California","Napa County, California","Nevada County, California","Orange County, California","Placer County, California","Plumas County, California","Riverside County, California","Sacramento County, California","San Benito County, California","San Bernardino County, California","San Diego County, California","San Francisco County, California","San Joaquin County, California","San Luis Obispo County, California","San Mateo County, California","Santa Barbara County, California","Santa Clara County, California","Santa Cruz County, California","Shasta County, California","Sierra County, California","Siskiyou County, California","Solano County, California","Sonoma County, California","Stanislaus County, California","Sutter County, California","Tehama County, California","Trinity County, California","Tulare County, California","Tuolumne County, California","Ventura County, California","Yolo County, California","Yuba County, California"
12356,2,359,2377,322,157,7886,530,1276,16485,261,1512,2793,109,12433,2313,991,298,106135,2071,1210,195,872,4014,89,50,3216,840,972,22330,2506,290,22158,17592,360,26727,32343,5597,8235,2074,3138,3101,12194,2044,2106,24,870,3965,2906,7277,1196,905,188,7720,615,5620,1395,879
8658,15,163,2083,295,205,5487,248,981,10771,425,1398,2504,227,9672,1150,714,171,84261,1042,944,131,798,3393,131,11,3177,737,761,15899,1473,169,16678,12514,471,17302,18426,4255,6100,1219,2379,2405,7372,1524,1769,55,661,2943,2594,5624,846,636,93,5607,565,4124,1292,983
21882,26,549,5532,922,409,14184,600,2309,25134,736,3143,5294,309,22528,3514,2519,482,217124,4046,2412,586,2350,7742,360,249,8692,1774,1880,45117,4940,459,42235,28167,1090,41967,50863,11567,14833,4021,6714,6959,22407,3516,4760,98,1627,6013,8011,12554,2356,1815,503,13219,1614,11588,3537,1914
22537,10,963,5170,1120,538,14980,637,3404,23261,913,3535,4541,348,21401,3771,1946,530,203815,3992,3248,439,2412,7071,313,315,7973,2477,2175,48045,5752,680,49088,30472,904,42910,54423,10845,15494,5168,9371,7314,23528,4189,4795,84,1409,7106,8715,12890,2082,2056,487,13838,1550,11976,3177,2149
33206,8,1262,7195,1748,784,24181,785,5128,28282,942,4886,5087,672,25196,4899,2310,832,278237,5020,4941,605,2750,8314,385,364,12373,4069,3107,73311,8938,845,68547,42936,1738,64039,86370,14186,22146,7908,13541,11580,35527,6208,7378,97,1821,10472,13736,17733,3754,2797,500,15170,1659,20201,5486,2804
53228,58,1894,10768,2655,1244,39427,1296,8247,37634,1248,6017,6688,720,34593,6099,3275,1573,368326,7089,7241,907,4591,11150,356,689,16825,5967,4929,111093,16086,1050,94871,63176,2421,88732,121183,20371,29774,12024,24822,16324,57104,9462,8837,134,2369,18296,21924,24194,4551,3442,661,18234,3129,31290,7105,3894
44337,54,1793,7070,2268,723,34278,637,7371,25384,927,4226,4445,846,23915,3385,1959,996,271188,3442,7144,798,2559,6653,372,633,11816,4763,4194,94891,13880,744,72631,47405,2036,63312,99391,17613,22076,10193,22806,12369,51048,8193,6205,111,1753,15828,16899,16245,3079,1754,451,10907,2394,27870,6090,2433
69620,60,1625,7113,2353,590,53907,876,10464,26787,886,3956,4573,790,25669,4013,1953,1037,324465,4178,12681,847,2969,6305,335,674,14841,6886,4802,140756,21465,675,82687,55930,2538,71180,130374,26923,25382,13076,34339,16084,86460,11526,5603,86,1109,20186,23048,17730,3161,1854,318,11743,2061,41327,8211,1888
40258,22,619,2266,628,210,31637,173,4984,9979,166,1032,1212,304,9565,1592,482,357,148640,1174,8474,214,766,1910,27,116,5706,3144,1859,74400,10408,209,32811,22596,1068,26550,60836,16970,10027,5058,21049,8139,55664,5583,2157,21,313,9365,9878,5860,1433,482,111,3880,561,20736,4154,572
48207,8,298,1455,678,134,39338,172,4817,7453,305,857,832,137,6636,830,391,166,168440,800,15987,83,518,1767,29,67,5938,3277,1525,86911,8588,260,22999,17080,832,16945,60768,28415,6409,4015,36381,8445,84569,6161,1611,59,260,6666,9419,4050,818,348,78,2697,686,22080,3371,215
