"Kent County, Delaware","New Castle County, Delaware","Sussex County, Delaware","Delaware County, Indiana","Delaware County, Iowa","Delaware County, New York","Delaware County, Ohio","Delaware County, Oklahoma","Delaware County, Pennsylvania"
1629,4158,1981,1610,160,537,652,666,4509
1143,2297,1341,1257,77,320,510,661,2859
2916,7776,3963,3009,344,1063,1512,1753,7102
3859,9711,5568,3017,365,1289,2250,1402,9982
5365,14623,7448,4663,738,2068,3988,1917,15033
9046,23754,11526,6078,1128,2940,6955,2299,23511
7080,20630,8058,3621,898,2089,7484,1337,19784
6756,28290,7808,3217,998,1731,12158,997,27326
1830,12044,2175,753,220,246,7149,302,13573
1229,10820,1960,648,91,174,6486,248,13359
