"Adams County, Illinois","Alexander County, Illinois","Bond County, Illinois","Boone County, Illinois","Brown County, Illinois","Bureau County, Illinois","Calhoun County, Illinois","Carroll County, Illinois","Cass County, Illinois","Champaign County, Illinois","Christian County, Illinois","Clark County, Illinois","Clay County, Illinois","Clinton County, Illinois","Coles County, Illinois","Cook County, Illinois","Crawford County, Illinois","Cumberland County, Illinois","DeKalb County, Illinois","De Witt County, Illinois","Douglas County, Illinois","DuPage County, Illinois","Edgar County, Illinois","Edwards County, Illinois","Effingham County, Illinois","Fayette County, Illinois","Ford County, Illinois","Franklin County, Illinois","Fulton County, Illinois","Gallatin County, Illinois","Greene County, Illinois","Grundy County, Illinois","Hamilton County, Illinois","Hancock County, Illinois","Hardin County, Illinois","Henderson County, Illinois","Henry County, Illinois","Iroquois County, Illinois","Jackson County, Illinois","Jasper County, Illinois","Jefferson County, Illinois","Jersey County, Illinois","Jo Daviess County, Illinois","Johnson County, Illinois","Kane County, Illinois","Kankakee County, Illinois","Kendall County, Illinois","Knox County, Illinois","Lake County, Illinois","LaSalle County, Illinois","Lawrence County, Illinois","Lee County, Illinois","Livingston County, Illinois","Logan County, Illinois","McDonough County, Illinois","McHenry County, Illinois","McLean County, Illinois","Macon County, Illinois","Macoupin County, Illinois","Madison County, Illinois","Marion County, Illinois","Marshall County, Illinois","Mason County, Illinois","Massac County, Illinois","Menard County, Illinois","Mercer County, Illinois","Monroe County, Illinois","Montgomery County, Illinois","Morgan County, Illinois","Moultrie County, Illinois","Ogle County, Illinois","Peoria County, Illinois","Perry County, Illinois","Piatt County, Illinois","Pike County, Illinois","Pope County, Illinois","Pulaski County, Illinois","Putnam County, Illinois","Randolph County, Illinois","Richland County, Illinois","Rock Island County, Illinois","St. Clair County, Illinois","Saline County, Illinois","Sangamon County, Illinois","Schuyler County, Illinois","Scott County, Illinois","Shelby County, Illinois","Stark County, Illinois","Stephenson County, Illinois","Tazewell County, Illinois","Union County, Illinois","Vermilion County, Illinois","Wabash County, Illinois","Warren County, Illinois","Washington County, Illinois","Wayne County, Illinois","White County, Illinois","Whiteside County, Illinois","Will County, Illinois","Williamson County, Illinois","Winnebago County, Illinois","Woodford County, Illinois"
637,237,259,739,58,371,40,219,165,2020,425,120,126,238,531,65038,136,126,1417,179,112,4411,269,84,256,262,103,678,480,32,172,385,82,177,75,45,469,298,893,41,566,176,183,104,3743,1584,498,642,4609,1147,160,271,339,446,515,1711,923,1605,443,3342,578,55,224,207,96,187,142,506,320,77,408,2633,296,65,274,68,100,40,354,148,1718,4635,421,2719,69,70,205,59,614,1112,218,1490,102,131,153,231,264,467,4123,943,4813,346
613,101,64,302,92,207,27,100,63,911,248,153,120,166,613,39441,234,91,437,150,175,2896,236,41,187,148,42,414,220,80,172,304,150,203,81,62,389,209,656,55,328,107,111,116,2085,987,145,390,2913,952,86,221,183,240,277,1240,977,861,393,2021,438,49,173,137,44,107,63,158,268,117,455,1585,203,68,167,30,57,83,185,173,913,2980,282,1469,81,25,128,27,458,830,235,788,60,182,63,171,189,357,2438,717,2231,196
1431,296,295,867,82,743,132,395,331,3260,928,374,379,522,1254,99856,380,259,1309,341,297,9585,689,154,520,568,341,1203,852,193,419,672,272,426,151,194,851,812,1213,261,910,649,446,284,7297,2346,1163,1347,8673,1915,335,679,690,460,535,3949,1575,2259,982,4877,1228,203,375,396,193,257,386,853,807,372,763,3413,453,219,397,91,124,67,554,349,2936,5260,968,3435,110,107,614,100,1272,2172,557,1818,329,429,287,475,309,1248,8275,1430,6958,481
1793,366,401,1061,117,811,119,437,435,3625,767,567,446,653,1350,105160,516,314,1728,370,502,13153,599,223,840,604,288,1358,997,184,417,913,236,629,104,265,1421,708,1069,316,1032,477,839,440,9121,2497,1131,1458,10148,2465,513,908,920,648,843,4645,2225,2912,1421,6113,1045,301,464,268,258,430,513,836,1079,495,1156,4016,539,407,659,144,241,142,946,363,3649,6774,739,4030,335,118,890,171,1425,2838,571,2163,260,501,404,540,398,1801,8929,2159,6993,643
2668,321,626,1839,194,1457,239,639,562,5151,1513,862,633,1186,1902,144738,799,549,2295,619,782,21404,821,378,1210,988,450,1612,1584,266,639,1297,310,968,173,251,1867,1389,1752,423,1578,984,956,523,14256,4372,3061,2223,17047,4027,603,1263,1339,1039,1046,7762,4144,3997,2109,8875,1747,499,675,736,386,807,1058,1070,1172,644,1742,5761,814,609,756,301,314,239,1232,721,5601,7840,1031,5748,295,181,887,251,1873,5272,807,3407,547,826,585,852,669,2647,16689,2966,11009,1422
4246,375,1089,3225,223,2138,374,1084,931,8391,2037,957,905,2009,2278,205731,1102,447,4897,994,1360,37613,1084,380,2354,1270,1033,2295,2530,421,994,2472,486,1304,213,521,3207,1722,2110,701,2375,1459,1390,624,23101,5241,5313,2468,28410,7122,741,2151,2059,1453,1394,15015,7410,5683,3121,15316,2370,842,945,922,756,1221,2024,1612,1730,882,3045,9251,1109,1050,868,244,255,395,1831,1078,8157,12984,1369,10107,548,429,1512,487,2710,8541,1048,4280,861,1005,925,1256,992,3943,29674,3592,14750,2088
2847,170,733,2247,289,1667,256,550,536,6694,1447,741,525,1963,1709,158823,922,593,4095,829,1024,36938,684,239,1553,862,516,1442,1289,176,564,2436,310,889,164,373,2104,1424,1359,468,1376,1181,1165,397,19004,4610,5092,2157,25042,5139,433,1601,2076,1365,991,14653,6814,4269,2278,11849,1542,608,572,588,731,890,1783,1115,1766,681,2419,7181,729,792,735,153,183,280,1308,538,6124,10044,735,8084,399,213,1065,292,2029,6453,505,3068,584,658,707,767,617,2556,30511,2542,12322,1906
2219,55,592,2250,221,1244,160,694,358,7421,1274,586,313,2069,1533,190840,757,353,4762,724,776,54678,744,167,1450,682,524,1010,1227,162,374,2759,416,653,95,384,2520,1053,1969,395,1286,1094,931,367,26399,4846,8045,1504,36377,4931,311,1289,1604,1037,784,19448,9135,3912,1793,12853,1137,498,493,498,679,660,2084,1063,1287,603,2741,8128,715,914,499,85,162,296,1316,583,5528,11467,780,10185,238,203,801,198,1587,7053,455,2383,343,594,666,493,536,2051,40475,2452,9889,2512
502,7,126,836,59,313,33,109,102,2582,234,132,93,578,296,83248,144,60,1309,209,166,26841,169,52,437,133,129,175,291,15,103,999,81,135,27,47,650,192,552,85,296,204,315,93,11943,1185,3296,404,19956,1312,58,259,261,324,268,8090,3759,1416,460,3593,255,110,196,92,186,172,809,199,369,88,833,2566,152,336,64,17,29,70,184,105,1579,4396,165,3589,64,64,141,18,306,1806,150,466,159,140,215,87,147,401,17353,528,3012,754
547,9,79,676,32,265,67,142,39,2615,198,104,76,416,414,93734,187,86,715,124,112,31305,88,17,405,85,116,117,157,25,51,554,26,86,41,20,513,301,375,27,277,161,284,58,10540,603,1735,216,25896,710,82,384,296,177,200,6028,2654,1102,273,2901,123,73,47,62,104,140,558,111,240,59,328,2387,39,257,65,20,36,54,131,140,1493,2904,150,2598,27,34,71,52,176,1252,126,303,84,64,75,80,132,238,12663,420,2678,631
