"Allegany County, Maryland","Anne Arundel County, Maryland","Baltimore County, Maryland","Calvert County, Maryland","Caroline County, Maryland","Carroll County, Maryland","Cecil County, Maryland","Charles County, Maryland","Dorchester County, Maryland","Frederick County, Maryland","Garrett County, Maryland","Harford County, Maryland","Howard County, Maryland","Kent County, Maryland","Montgomery County, Maryland","Prince George's County, Maryland","Queen Anne's County, Maryland","St. Mary's County, Maryland","Somerset County, Maryland","Talbot County, Maryland","Washington County, Maryland","Wicomico County, Maryland","Worcester County, Maryland","Baltimore city, Maryland"
1021,2887,5674,330,323,795,780,835,471,1169,397,1984,1007,127,4536,5598,275,751,500,231,1597,1203,329,11941
501,1368,3504,210,285,326,458,509,340,828,236,959,581,58,3321,3250,218,425,217,163,1061,890,314,6571
1726,4560,9388,861,679,1535,1554,1404,858,1980,658,2006,1560,473,8581,9048,515,1075,514,737,2746,2137,928,12810
2021,6247,12840,700,777,1878,1805,1551,1043,3135,995,3585,2927,339,9439,11673,701,1434,448,893,2920,2677,1308,13526
2639,10704,24056,1675,916,3725,3105,2127,1406,5207,1471,5726,3826,542,17740,21044,947,2184,653,1116,5139,3366,1719,17531
3887,21279,38159,3298,1952,6107,4851,5480,1853,10061,1769,10947,8664,932,32018,36492,2151,4377,1160,2307,8015,5295,2880,22585
2351,21169,32546,3626,1371,7656,4482,6002,1398,9569,1241,11108,9901,828,28314,30946,1879,4575,744,1585,5976,3381,2017,14022
2342,33500,42347,6455,1537,11907,6090,10075,1286,16223,1078,16776,18709,914,52860,44316,3448,7075,466,2062,6586,3682,2132,14902
517,17618,18742,3874,365,6436,2123,5342,279,8460,247,7560,13694,222,35505,22301,1602,3535,189,804,2054,1026,958,5629
344,19126,17193,2544,252,4161,1307,4452,265,6308,222,5836,17965,316,55997,15830,1375,2607,88,968,1552,987,867,5538
