"Barnstable County, Massachusetts","Berkshire County, Massachusetts","Bristol County, Massachusetts","Dukes County, Massachusetts","Essex County, Massachusetts","Franklin County, Massachusetts","Hampden County, Massachusetts","Hampshire County, Massachusetts","Middlesex County, Massachusetts","Nantucket County, Massachusetts","Norfolk County, Massachusetts","Plymouth County, Massachusetts","Suffolk County, Massachusetts","Worcester County, Massachusetts"
1404,1417,5593,278,6930,664,7314,794,9114,34,3896,3133,11060,6915
1210,989,4607,86,5074,422,4628,784,5809,79,2156,2094,7163,4739
3290,2832,10335,108,11660,1201,10641,1879,16376,96,5341,5337,12734,11860
4084,2885,10713,419,13077,1513,10727,2362,19310,74,7797,7422,11811,13723
7125,4071,16139,274,18362,2570,14498,3327,28678,169,12129,11649,16960,20407
12113,6764,24857,568,28956,3885,20214,6722,50279,431,22559,21222,21706,34486
9999,4954,20173,756,27789,3531,17204,5776,48470,467,22706,20439,16762,31108
11772,5363,27081,975,38314,2983,18860,7913,82740,538,39196,29873,21614,42267
4711,1702,11279,229,19409,871,6997,2856,49185,274,23011,13816,9731,19982
3845,1817,7619,186,20379,699,4756,2248,61100,300,30584,12976,12058,15726
