"Adair County, Missouri","Andrew County, Missouri","Atchison County, Missouri","Audrain County, Missouri","Barry County, Missouri","Barton County, Missouri","Bates County, Missouri","Benton County, Missouri","Bollinger County, Missouri","Boone County, Missouri","Buchanan County, Missouri","Butler County, Missouri","Caldwell County, Missouri","Callaway County, Missouri","Camden County, Missouri","Cape Girardeau County, Missouri","Carroll County, Missouri","Carter County, Missouri","Cass County, Missouri","Cedar County, Missouri","Chariton County, Missouri","Christian County, Missouri","Clark County, Missouri","Clay County, Missouri","Clinton County, Missouri","Cole County, Missouri","Cooper County, Missouri","Crawford County, Missouri","Dade County, Missouri","Dallas County, Missouri","Daviess County, Missouri","DeKalb County, Missouri","Dent County, Missouri","Douglas County, Missouri","Dunklin County, Missouri","Franklin County, Missouri","Gasconade County, Missouri","Gentry County, Missouri","Greene County, Missouri","Grundy County, Missouri","Harrison County, Missouri","Henry County, Missouri","Hickory County, Missouri","Holt County, Missouri","Howard County, Missouri","Howell County, Missouri","Iron County, Missouri","Jackson County, Missouri","Jasper County, Missouri","Jefferson County, Missouri","Johnson County, Missouri","Knox County, Missouri","Laclede County, Missouri","Lafayette County, Missouri","Lawrence County, Missouri","Lewis County, Missouri","Lincoln County, Missouri","Linn County, Missouri","Livingston County, Missouri","McDonald County, Missouri","Macon County, Missouri","Madison County, Missouri","Maries County, Missouri","Marion County, Missouri","Mercer County, Missouri","Miller County, Missouri","Mississippi County, Missouri","Moniteau County, Missouri","Monroe County, Missouri","Montgomery County, Missouri","Morgan County, Missouri","New Madrid County, Missouri","Newton County, Missouri","Nodaway County, Missouri","Oregon County, Missouri","Osage County, Missouri","Ozark County, Missouri","Pemiscot County, Missouri","Perry County, Missouri","Pettis County, Missouri","Phelps County, Missouri","Pike County, Missouri","Platte County, Missouri","Polk County, Missouri","Pulaski County, Missouri","Putnam County, Missouri","Ralls County, Missouri","Randolph County, Missouri","Ray County, Missouri","Reynolds County, Missouri","Ripley County, Missouri","St. Charles County, Missouri","St. Clair County, Missouri","Ste. Genevieve County, Missouri","St. Francois County, Missouri","St. Louis County, Missouri","Saline County, Missouri","Schuyler County, Missouri","Scotland County, Missouri","Scott County, Missouri","Shannon County, Missouri","Shelby County, Missouri","Stoddard County, Missouri","Stone County, Missouri","Sullivan County, Missouri","Taney County, Missouri","Texas County, Missouri","Vernon County, Missouri","Warren County, Missouri","Washington County, Missouri","Wayne County, Missouri","Webster County, Missouri","Worth County, Missouri","Wright County, Missouri","St. Louis city, Missouri"
275,99,48,338,377,230,250,392,251,1211,1242,715,201,492,623,873,56,111,880,312,94,761,66,1423,220,920,186,592,129,308,144,92,256,281,531,1018,169,87,4253,168,155,334,199,46,153,872,155,10759,1657,2313,515,70,919,234,553,93,459,199,211,351,198,126,144,428,60,428,210,169,50,191,377,337,648,149,205,98,125,453,153,423,517,267,579,470,478,62,94,396,177,149,193,1635,227,106,1010,8938,361,37,82,639,143,51,266,462,76,771,283,371,264,376,208,546,17,466,7598
221,93,31,246,343,188,265,320,119,1208,681,616,94,252,390,581,85,86,549,282,66,353,53,1331,45,446,263,308,158,164,62,109,121,145,684,564,153,66,2914,67,98,200,172,47,114,925,193,5415,1091,1647,342,46,339,223,490,70,448,109,154,270,96,224,61,303,26,217,265,141,89,104,299,329,604,138,161,103,122,318,78,449,330,158,315,468,431,88,50,273,157,95,272,1493,160,123,663,6348,170,51,60,448,73,97,319,350,77,441,369,123,411,264,164,238,35,312,3966
626,308,156,690,949,440,477,761,435,2847,1735,1574,166,857,1363,1673,256,222,1389,456,206,1837,216,3206,447,1132,376,624,239,512,240,162,608,547,1230,2259,330,199,6633,325,241,655,444,143,187,1353,357,14037,3470,3576,1184,134,1397,623,1306,309,1023,342,448,652,451,487,271,789,126,997,583,273,191,425,712,739,1816,480,559,203,574,733,427,1294,986,457,1394,951,829,174,270,689,468,300,808,4010,349,499,1868,16187,789,152,114,1304,407,183,953,942,190,1784,787,641,552,1014,638,884,71,989,7399
617,570,183,614,1536,281,573,950,370,2575,2274,1495,338,1057,1601,1931,298,237,2036,689,292,2128,199,4521,505,1681,509,925,321,683,267,298,654,653,1357,2879,459,221,7817,385,326,810,524,138,225,1507,372,15789,3519,4739,1331,205,1202,992,1137,276,1131,419,397,877,600,449,315,920,144,895,479,346,282,465,718,550,2040,489,482,408,553,562,652,1482,1249,666,1601,1008,953,188,339,786,727,209,583,5567,407,480,1969,20647,686,213,163,1411,338,211,1054,1374,283,1800,827,637,899,988,490,1012,68,707,8293
753,584,250,1036,1801,696,686,963,681,4513,3115,1846,432,1769,2311,3137,327,285,3697,708,297,3862,355,7539,938,2449,730,1160,380,1023,365,396,873,703,1548,4317,803,403,10767,496,508,1049,561,281,382,1943,519,21581,5308,8404,1910,163,2004,1525,1973,642,2174,593,492,1073,653,672,343,1187,192,1179,520,614,459,635,918,832,2699,801,515,571,625,652,811,1834,1773,618,2679,1326,1818,332,566,992,820,294,707,9974,533,784,3002,30283,1067,239,221,1755,431,321,1545,1715,391,2512,1407,963,1363,1308,768,2071,124,812,8944
1245,1026,355,1743,2246,941,800,1189,637,7664,5040,2324,647,3053,2999,4441,518,157,6880,745,440,5403,417,12307,1357,4323,1103,1692,504,1120,597,698,829,879,1297,6275,1091,430,15277,576,421,1662,474,489,642,2257,626,32563,6206,14137,3182,216,2025,2201,2281,651,3321,747,781,1246,994,749,816,1867,235,1395,662,1005,648,711,1478,979,3352,1093,457,1051,529,671,1441,2391,2611,1053,4251,1860,2416,349,807,1236,1541,348,904,19659,653,1377,3249,48580,1463,291,314,2034,468,394,1689,2287,403,2880,1623,1184,1942,1192,792,2239,119,1216,10934
614,921,257,1071,1208,357,737,608,369,6289,3525,1309,349,1675,1653,2920,521,243,4665,327,302,3292,235,10639,976,3143,676,428,249,527,258,435,620,230,818,4571,531,199,9298,428,362,640,301,205,373,1024,330,24632,3904,10464,2263,132,1028,1674,1329,370,2502,341,606,625,579,332,285,1173,199,943,313,659,363,544,524,571,2289,654,290,718,275,470,765,1397,1331,691,4089,1088,1625,112,416,911,1052,182,267,18206,168,841,2055,38816,661,104,127,1441,154,170,1194,1315,194,1526,550,610,1638,724,427,1381,106,321,7091
686,830,186,522,827,346,609,446,327,6313,2640,850,340,1455,1085,2369,286,140,5067,179,229,3131,214,12076,938,3440,648,545,130,384,209,277,122,159,657,4090,410,200,8028,147,159,590,117,74,295,696,217,25059,2938,9857,1912,112,796,1422,861,221,1768,296,431,466,328,148,221,688,64,539,237,456,158,317,377,536,1610,631,201,535,172,372,743,1095,1301,432,5751,850,1292,96,320,528,989,188,93,23555,213,538,1688,46928,397,52,62,1258,244,184,871,793,96,1385,508,561,1308,518,203,709,44,207,7230
364,134,18,84,50,75,69,61,58,2489,611,290,69,365,297,917,54,14,1634,88,22,1098,14,3737,293,1185,89,105,28,41,76,41,58,26,147,898,99,39,2259,43,29,125,32,18,81,174,36,8398,961,2700,348,14,186,258,229,52,403,31,104,58,63,37,100,108,28,53,47,141,49,102,109,127,284,96,11,104,4,68,94,194,291,152,2270,209,319,17,69,110,292,17,37,9110,4,199,274,21807,111,36,51,289,14,21,173,213,15,369,88,76,403,53,105,250,17,23,2521
100,122,40,86,159,96,63,66,90,2263,393,252,31,258,236,432,73,26,830,30,13,736,15,2359,87,524,55,42,39,42,40,23,76,25,100,855,58,27,2215,57,20,89,2,32,26,132,12,6164,578,1199,202,29,146,96,121,8,247,96,60,69,83,40,45,206,3,86,22,18,5,30,2,66,459,74,29,9,4,63,141,196,296,30,1790,117,80,7,57,56,83,3,28,5573,22,51,235,25183,59,15,50,217,9,7,146,145,26,150,93,72,305,78,36,182,12,18,1755
