"Nevada County, Arkansas","Nevada County, California","Churchill County, Nevada","Clark County, Nevada","Douglas County, Nevada","Elko County, Nevada","Esmeralda County, Nevada","Eureka County, Nevada","Humboldt County, Nevada","Lander County, Nevada","Lincoln County, Nevada","Lyon County, Nevada","Mineral County, Nevada","Nye County, Nevada","Pershing County, Nevada","Storey County, Nevada","Washoe County, Nevada","White Pine County, Nevada","Carson City, Nevada"
186,972,191,21532,481,433,13,16,238,18,44,548,71,680,62,56,4498,31,528
134,761,229,13817,326,125,8,4,82,19,80,465,49,513,70,0,2739,46,356
324,1880,568,37003,844,715,23,13,265,162,255,1127,84,1565,180,23,7982,140,1005
344,2175,627,46048,1038,661,43,56,347,98,135,1596,92,1771,168,156,9817,269,1315
445,3107,1032,68035,1739,1564,34,30,467,137,204,2564,126,2130,143,170,12952,376,1784
402,4929,1148,95657,2917,2667,65,62,737,290,368,2831,277,2556,307,307,20679,324,2814
359,4194,1118,68152,2132,2027,27,46,643,310,120,1781,200,1357,214,187,14549,286,2207
124,4802,936,68200,2160,2859,35,171,965,368,136,1862,132,1514,233,195,17823,353,1861
25,1859,359,23715,890,756,0,35,368,63,10,296,60,221,45,12,5618,128,803
39,1525,58,19077,782,570,0,4,106,7,30,97,25,103,8,55,5466,50,362
