"Belknap County, New Hampshire","Carroll County, New Hampshire","Cheshire County, New Hampshire","Coos County, New Hampshire","Grafton County, New Hampshire","Hillsborough County, New Hampshire","Merrimack County, New Hampshire","Rockingham County, New Hampshire","Strafford County, New Hampshire","Sullivan County, New Hampshire"
556,346,480,402,539,2339,847,1282,1176,511
386,363,423,221,421,1894,590,865,706,325
1298,806,1141,944,1175,5237,1883,2787,1801,661
1412,1610,1449,980,1737,6763,2730,4031,1966,1069
1990,2592,2454,1492,3291,10746,4068,7521,3804,1617
3942,3139,4499,2201,4379,17848,7140,13390,6087,2774
2477,2101,3565,1421,3659,17437,7117,13891,5148,2054
3041,1833,3401,882,3737,22874,8474,20048,5889,2089
1175,599,967,188,1433,10178,2934,9450,2387,447
683,639,783,203,1520,8434,2059,7760,1548,499
