"Atlantic County, New Jersey","Bergen County, New Jersey","Burlington County, New Jersey","Camden County, New Jersey","Cape May County, New Jersey","Cumberland County, New Jersey","Essex County, New Jersey","Gloucester County, New Jersey","Hudson County, New Jersey","Hunterdon County, New Jersey","Mercer County, New Jersey","Middlesex County, New Jersey","Monmouth County, New Jersey","Morris County, New Jersey","Ocean County, New Jersey","Passaic County, New Jersey","Salem County, New Jersey","Somerset County, New Jersey","Sussex County, New Jersey","Union County, New Jersey","Warren County, New Jersey"
3509,5997,2081,6113,873,2236,11442,1694,8489,478,3038,4865,3668,1775,4035,6739,855,1270,667,5355,736
2052,4259,1172,3587,582,1386,6749,1609,5925,187,1849,3135,2335,995,3060,3930,387,841,520,2715,501
4702,9999,3972,7804,1758,3128,15002,3276,15760,632,4485,8859,6150,3395,8505,9823,1033,2102,1337,8042,1401
5787,12090,5644,9689,1924,3157,15851,4263,13575,1147,5050,11062,8481,4786,11359,10816,1102,3549,1589,8912,1637
9083,19638,10682,12257,3241,4627,20171,6500,17951,1859,7636,17605,11659,8477,17689,13134,1957,5498,3022,13712,3075
12610,33639,19403,21983,5458,6819,27293,13589,25187,3873,13262,32293,21975,15590,27986,18188,3267,10004,6341,21605,5066
9728,31551,18948,19932,4371,5452,20813,12270,17827,4334,11845,31084,21682,17611,23641,15170,2657,11359,6816,16610,4928
12238,49626,27177,25786,5581,5872,28295,18285,22631,8116,17639,48400,36564,29416,30798,20130,3839,18500,11110,24923,6553
4604,31242,14190,11086,1941,1619,14520,8446,10325,5586,10618,23459,22392,19404,12818,10251,1277,12425,4905,12700,2837
3384,41533,12308,8586,1654,1121,22263,5548,12503,7871,12931,22348,27940,27968,9072,8786,721,18446,4326,16967,2324
