"Bernalillo County, New Mexico","Catron County, New Mexico","Chaves County, New Mexico","Cibola County, New Mexico","Colfax County, New Mexico","Curry County, New Mexico","De Baca County, New Mexico","Eddy County, New Mexico","Grant County, New Mexico","Guadalupe County, New Mexico","Harding County, New Mexico","Hidalgo County, New Mexico","Lea County, New Mexico","Lincoln County, New Mexico","Los Alamos County, New Mexico","Luna County, New Mexico","McKinley County, New Mexico","Mora County, New Mexico","Otero County, New Mexico","Quay County, New Mexico","Rio Arriba County, New Mexico","Roosevelt County, New Mexico","Sandoval County, New Mexico","San Juan County, New Mexico","San Miguel County, New Mexico","Santa Fe County, New Mexico","Sierra County, New Mexico","Socorro County, New Mexico","Taos County, New Mexico","Torrance County, New Mexico","Union County, New Mexico","Valencia County, New Mexico"
9833,21,817,528,158,1048,18,483,539,78,2,177,790,267,79,441,1911,24,982,88,630,349,1684,2274,720,1934,141,120,546,226,26,1505
6273,49,594,307,99,473,39,363,307,22,2,37,499,96,34,448,764,71,813,175,635,240,788,1383,445,1249,69,234,573,209,42,993
15914,126,1858,670,484,1382,53,1313,1045,176,20,170,1526,454,44,902,1636,126,2362,325,976,758,2394,2960,961,3413,347,518,946,592,163,2223
15581,86,2379,627,539,1495,65,1408,721,121,20,183,1493,655,176,1002,1673,97,2035,331,1227,643,2492,2993,798,2979,447,521,961,502,122,2028
20558,201,2752,943,507,1688,67,2146,1498,123,37,262,2471,1253,262,945,1631,181,2536,317,1661,690,5024,3693,903,4398,507,448,1293,498,192,2550
30685,208,3350,1076,658,2079,74,2460,1494,167,28,141,2740,972,616,952,2014,169,3420,462,2043,895,7021,5263,1022,6398,412,625,1424,515,279,4165
22371,119,2068,564,446,2115,45,1856,876,77,10,133,2546,642,624,536,1188,64,1957,226,1005,732,4818,4931,859,4821,227,290,819,444,114,2439
25184,95,1820,444,289,1540,52,2092,844,27,15,154,2300,592,1443,283,918,38,1637,157,1178,303,5893,4610,557,5651,146,343,773,473,92,2438
9449,0,357,66,71,383,36,869,180,20,3,16,678,211,958,90,285,17,381,38,414,81,2316,1277,151,2143,32,65,283,184,15,611
7501,14,225,52,64,200,4,613,136,14,19,3,517,128,919,112,200,0,346,15,133,81,1684,804,37,2782,8,104,153,22,12,207
