"Albany County, New York","Allegany County, New York","Bronx County, New York","Broome County, New York","Cattaraugus County, New York","Cayuga County, New York","Chautauqua County, New York","Chemung County, New York","Chenango County, New York","Clinton County, New York","Columbia County, New York","Cortland County, New York","Delaware County, New York","Dutchess County, New York","Erie County, New York","Essex County, New York","Franklin County, New York","Fulton County, New York","Genesee County, New York","Greene County, New York","Hamilton County, New York","Herkimer County, New York","Jefferson County, New York","Kings County, New York","Lewis County, New York","Livingston County, New York","Madison County, New York","Monroe County, New York","Montgomery County, New York","Nassau County, New York","New York County, New York","Niagara County, New York","Oneida County, New York","Onondaga County, New York","Ontario County, New York","Orange County, New York","Orleans County, New York","Oswego County, New York","Otsego County, New York","Putnam County, New York","Queens County, New York","Rensselaer County, New York","Richmond County, New York","Rockland County, New York","St. Lawrence County, New York","Saratoga County, New York","Schenectady County, New York","Schoharie County, New York","Schuyler County, New York","Seneca County, New York","Steuben County, New York","Suffolk County, New York","Sullivan County, New York","Tioga County, New York","Tompkins County, New York","Ulster County, New York","Warren County, New York","Washington County, New York","Wayne County, New York","Westchester County, New York","Wyoming County, New York","Yates County, New York"
2232,602,38356,2327,969,748,2046,1132,540,851,455,609,537,2020,12649,309,781,1001,658,440,32,909,1679,46842,327,648,556,9502,671,5789,19754,2303,2695,5054,664,2836,480,1718,514,338,23868,1894,5660,1852,1778,941,1550,285,185,227,1074,7384,880,508,800,1306,528,426,652,6225,250,219
1831,495,24528,1592,909,409,1432,863,521,739,311,219,320,1056,6723,272,400,397,371,417,24,589,1076,34736,171,494,353,5600,551,3595,13513,1868,1898,3475,514,2257,234,934,408,203,16980,1073,2643,2009,1041,774,751,304,135,283,1056,4542,729,172,533,1016,488,853,714,4878,305,278
4114,1199,44742,4415,2196,1591,3175,2036,1289,1570,1133,740,1063,3501,16818,681,1057,1627,1115,941,94,1332,2868,65828,601,1028,1301,12458,1159,11546,26083,4314,4902,8161,1769,4715,928,2687,1252,814,47076,2127,6467,4293,2708,2061,2466,574,477,602,2005,13953,1774,1134,1172,2941,1348,1267,1894,12640,645,576
4429,1366,36197,4727,2218,1845,3668,2077,1500,1849,1610,1141,1289,4494,19217,995,1408,1313,1691,1071,116,1891,3269,60372,845,1457,1511,14341,1377,15480,22891,5081,5096,8368,2534,5962,1067,2844,1730,1336,48197,2896,7452,3912,2857,3324,2398,715,313,840,2924,17878,2004,1139,1197,3580,1435,1578,2198,13135,1012,778
6862,2281,43958,6678,3271,2758,5715,2722,2211,2683,2061,1684,2068,6332,28892,1756,1916,2444,2422,1778,213,3028,4818,76204,1373,2097,2597,22814,1836,23892,26245,7417,7187,13535,3588,8680,1747,4401,2092,1756,67958,4271,11352,5481,3874,5796,3741,1125,785,1246,4132,30462,2485,1776,2557,5327,2219,2381,3910,19502,1683,977
12142,2810,49556,10718,4617,4743,7474,4994,3228,4393,2860,2347,2940,12535,46297,2287,2618,3153,3543,2586,252,3906,6987,96988,1841,3297,3882,34656,2747,42475,32103,12224,12363,22560,6303,15371,2457,6708,3511,3565,95638,7887,18751,9917,5948,11167,7151,1913,1371,1964,6096,55238,3721,3451,3940,8917,4061,4147,5923,30812,2548,1508
10464,1740,31468,6790,3055,3573,4964,3179,2027,3267,2600,1795,2089,12038,36510,1423,2035,1939,2706,1716,207,2869,4350,62888,1026,2977,3147,29696,1905,43151,23549,8567,8753,17481,4746,13505,1683,4951,2450,3892,73834,6321,17991,9888,3830,9894,6137,1388,684,1359,3990,56153,2824,2352,2924,7297,2915,2964,4591,26314,1868,1237
15343,1339,28241,7048,2389,3170,4068,3599,1430,3278,3248,1520,1731,16645,39343,1478,1565,2165,2468,1989,188,2150,3917,75980,1018,2848,2889,31974,1690,79063,37852,9499,8898,21628,5600,20075,1599,4353,2046,6757,88443,8475,26350,16093,3350,14203,7115,1395,709,1386,3408,90812,2498,2346,3901,8157,3231,2267,3875,43681,1783,728
7168,345,9580,2388,433,936,1251,1080,395,1026,1012,723,246,8135,14020,529,304,420,631,474,45,458,1054,31933,184,685,867,11983,438,49228,24105,2725,2776,7403,1635,9295,367,1279,487,3876,36561,3129,14152,9930,829,5492,2595,427,129,294,1089,49327,882,800,1588,3547,1132,671,1095,27654,317,212
4743,199,6232,1727,386,457,513,696,189,533,938,221,174,6484,10746,272,297,325,347,370,33,342,641,31364,115,371,634,9454,216,64901,75799,1502,1996,6166,1511,7177,193,705,540,3981,26813,1933,10467,11054,562,4512,1623,299,83,183,767,48662,691,434,1577,2745,785,328,523,53093,101,284
