"Adair County, Oklahoma","Alfalfa County, Oklahoma","Atoka County, Oklahoma","Beaver County, Oklahoma","Beckham County, Oklahoma","Blaine County, Oklahoma","Bryan County, Oklahoma","Caddo County, Oklahoma","Canadian County, Oklahoma","Carter County, Oklahoma","Cherokee County, Oklahoma","Choctaw County, Oklahoma","Cimarron County, Oklahoma","Cleveland County, Oklahoma","Coal County, Oklahoma","Comanche County, Oklahoma","Cotton County, Oklahoma","Craig County, Oklahoma","Creek County, Oklahoma","Custer County, Oklahoma","Delaware County, Oklahoma","Dewey County, Oklahoma","Ellis County, Oklahoma","Garfield County, Oklahoma","Garvin County, Oklahoma","Grady County, Oklahoma","Grant County, Oklahoma","Greer County, Oklahoma","Harmon County, Oklahoma","Harper County, Oklahoma","Haskell County, Oklahoma","Hughes County, Oklahoma","Jackson County, Oklahoma","Jefferson County, Oklahoma","Johnston County, Oklahoma","Kay County, Oklahoma","Kingfisher County, Oklahoma","Kiowa County, Oklahoma","Latimer County, Oklahoma","Le Flore County, Oklahoma","Lincoln County, Oklahoma","Logan County, Oklahoma","Love County, Oklahoma","McClain County, Oklahoma","McCurtain County, Oklahoma","McIntosh County, Oklahoma","Major County, Oklahoma","Marshall County, Oklahoma","Mayes County, Oklahoma","Murray County, Oklahoma","Muskogee County, Oklahoma","Noble County, Oklahoma","Nowata County, Oklahoma","Okfuskee County, Oklahoma","Oklahoma County, Oklahoma","Okmulgee County, Oklahoma","Osage County, Oklahoma","Ottawa County, Oklahoma","Pawnee County, Oklahoma","Payne County, Oklahoma","Pittsburg County, Oklahoma","Pontotoc County, Oklahoma","Pottawatomie County, Oklahoma","Pushmataha County, Oklahoma","Roger Mills County, Oklahoma","Rogers County, Oklahoma","Seminole County, Oklahoma","Sequoyah County, Oklahoma","Stephens County, Oklahoma","Texas County, Oklahoma","Tillman County, Oklahoma","Tulsa County, Oklahoma","Wagoner County, Oklahoma","Washington County, Oklahoma","Washita County, Oklahoma","Woods County, Oklahoma","Woodward County, Oklahoma"
583,48,185,39,397,130,687,568,731,443,567,325,28,2399,60,1822,47,226,1015,344,666,44,47,456,570,582,41,19,86,55,99,272,410,105,267,603,172,147,149,925,453,530,147,262,866,315,96,146,635,200,1322,163,153,190,10666,772,711,654,239,868,762,536,1146,244,44,688,453,771,588,163,72,8360,565,589,231,15,237
369,33,155,33,219,89,471,277,412,397,583,245,28,1403,109,827,80,127,567,257,661,45,60,600,258,450,38,64,80,45,160,166,228,121,159,443,57,169,184,711,474,244,91,169,627,338,63,225,463,123,885,116,142,262,6245,354,435,413,109,636,521,446,769,183,27,495,434,488,314,102,131,4665,516,428,119,31,174
818,134,637,97,528,260,978,814,1352,1238,1445,473,108,4181,178,2723,158,347,1758,796,1753,132,145,1675,902,1447,108,141,116,79,431,359,703,227,383,1461,353,307,286,1549,846,679,252,777,1348,703,152,453,1189,360,2183,231,373,395,16406,1117,1120,1088,415,1710,1274,961,1922,514,51,1558,810,1721,922,639,239,12784,1565,1284,306,178,456
871,88,587,133,457,259,1302,855,1911,1420,1195,610,85,5097,241,3453,170,626,2463,544,1402,121,104,2116,827,1536,149,175,95,104,427,499,875,250,424,1451,342,328,308,1680,1110,1031,367,922,1245,699,157,542,1388,381,2087,428,272,389,18497,1159,1489,1033,544,1951,1440,1151,2025,451,111,2262,988,1641,1344,700,278,14988,2007,1690,326,176,403
1153,228,659,310,698,457,2173,1163,4275,1989,1814,550,115,8457,295,4863,211,557,3037,1071,1917,200,164,2432,1157,2174,233,342,114,222,590,522,1215,308,517,1992,610,453,565,2195,1480,1459,397,1351,1524,1037,410,644,1733,595,2867,609,548,535,24632,1736,2154,1518,679,2275,1946,1439,2851,410,93,3686,1044,1762,1864,663,373,21663,3224,2084,541,200,643
1145,291,673,340,962,527,2021,1547,7495,2558,2571,892,123,13523,303,6330,409,822,4231,1385,2299,282,186,3718,1391,3177,298,284,103,258,733,672,1649,312,459,2556,1117,414,651,2884,2131,2176,655,2064,1845,1112,488,903,2803,915,3796,832,652,616,33720,2187,2767,1841,1065,3403,2354,1863,4225,652,213,5392,1300,2525,2869,1247,567,31207,4510,2998,674,545,1057
543,157,489,244,768,429,1415,945,5905,1642,1454,421,114,10859,165,3984,289,588,2672,1057,1337,186,218,2249,898,2432,204,235,75,88,391,408,907,193,337,1505,579,325,421,1243,1391,1705,341,1611,739,719,346,412,1581,499,2271,503,434,381,24038,1321,2176,907,646,2341,1878,1681,2354,301,140,4338,703,1307,1924,834,199,21091,3391,1925,512,331,836
391,226,306,211,874,231,1133,734,6370,1216,1107,307,85,11910,133,3662,234,389,2028,1099,997,133,194,1656,630,2130,115,90,58,136,219,288,640,143,226,1273,665,235,269,1129,1165,1670,219,1752,839,420,254,428,1286,340,1745,350,252,158,24483,1004,1717,688,519,2022,1369,1053,1937,168,140,4350,590,830,1475,552,133,22859,3353,2141,461,387,810
76,42,38,81,141,63,265,139,1605,355,243,49,17,3596,56,966,28,72,604,187,302,49,47,435,234,563,72,23,35,40,62,81,278,57,26,357,165,77,48,265,230,756,30,510,91,98,82,58,160,64,408,102,31,69,8730,201,458,142,150,774,270,303,445,40,44,1340,93,140,313,254,47,8052,1059,488,120,28,200
23,53,72,53,229,75,246,78,1155,315,141,38,17,2763,14,719,7,36,527,199,248,64,33,555,205,327,40,39,15,3,37,91,122,21,54,314,87,80,94,83,150,587,62,280,113,77,99,68,98,76,318,35,26,17,9451,167,176,92,77,589,321,262,421,30,48,857,100,139,308,117,16,8121,473,556,78,57,159
