"Oregon County, Missouri","Baker County, Oregon","Benton County, Oregon","Clackamas County, Oregon","Clatsop County, Oregon","Columbia County, Oregon","Coos County, Oregon","Crook County, Oregon","Curry County, Oregon","Deschutes County, Oregon","Douglas County, Oregon","Gilliam County, Oregon","Grant County, Oregon","Harney County, Oregon","Hood River County, Oregon","Jackson County, Oregon","Jefferson County, Oregon","Josephine County, Oregon","Klamath County, Oregon","Lake County, Oregon","Lane County, Oregon","Lincoln County, Oregon","Linn County, Oregon","Malheur County, Oregon","Marion County, Oregon","Morrow County, Oregon","Multnomah County, Oregon","Polk County, Oregon","Sherman County, Oregon","Tillamook County, Oregon","Umatilla County, Oregon","Union County, Oregon","Wallowa County, Oregon","Wasco County, Oregon","Washington County, Oregon","Wheeler County, Oregon","Yamhill County, Oregon"
205,224,841,3419,455,588,748,366,202,2073,1604,27,104,117,89,3047,408,1454,947,118,5128,661,1502,560,4593,187,8984,848,22,181,808,370,76,400,4631,21,1118
161,225,466,1801,343,351,667,191,162,1483,1403,3,132,73,63,2033,215,1011,960,67,2709,487,1140,326,2933,110,5812,479,16,249,1077,188,93,161,3214,24,632
559,546,1243,5476,1189,1107,1827,919,772,3948,3024,40,263,282,437,5507,595,2298,2166,436,8075,1438,3214,951,6994,262,12399,1556,50,810,1471,730,154,491,7842,33,1908
482,506,1396,7178,1005,1081,1979,834,599,4144,3819,65,316,364,459,6121,723,3085,2317,146,9033,1391,3087,775,8562,304,13436,1665,58,653,1772,835,161,939,9848,74,2836
515,742,2270,11973,1491,1941,3205,868,1424,6173,5213,82,338,426,730,8445,1019,3792,3009,373,12671,1999,5022,1094,12237,351,21286,2758,58,1271,2505,1118,337,1074,15488,62,3377
457,1110,3131,19822,2014,3204,3351,1403,1052,9265,6246,156,344,410,1333,11517,1169,4684,3601,446,19312,2697,7169,1511,16616,711,31441,4275,113,1518,4287,1325,449,1360,25038,95,5134
290,591,3082,17299,1536,2078,1984,645,1055,6220,4031,95,219,217,1182,7816,646,2762,2283,241,12170,2001,5228,880,11642,401,24752,2718,82,1123,2984,1066,321,872,21682,58,3982
201,471,3788,19820,1273,2440,1322,593,662,6517,2840,47,304,193,773,6261,530,2124,2108,246,10973,1690,3414,521,10204,386,27516,3849,51,463,2636,754,196,728,27420,21,4102
11,72,1374,8161,289,562,465,168,159,1822,468,12,40,60,177,1783,90,360,568,57,3511,413,709,123,2787,71,9679,842,24,125,476,162,22,240,11217,16,1078
29,116,1107,7014,283,373,351,54,77,1708,569,5,66,16,210,1468,111,439,354,18,2666,268,360,138,1738,28,10801,545,10,182,408,215,38,219,9088,6,787
