"Aurora County, South Dakota","Beadle County, South Dakota","Bennett County, South Dakota","Bon Homme County, South Dakota","Brookings County, South Dakota","Brown County, South Dakota","Brule County, South Dakota","Buffalo County, South Dakota","Butte County, South Dakota","Campbell County, South Dakota","Charles Mix County, South Dakota","Clark County, South Dakota","Clay County, South Dakota","Codington County, South Dakota","Corson County, South Dakota","Custer County, South Dakota","Davison County, South Dakota","Day County, South Dakota","Deuel County, South Dakota","Dewey County, South Dakota","Douglas County, South Dakota","Edmunds County, South Dakota","Fall River County, South Dakota","Faulk County, South Dakota","Grant County, South Dakota","Gregory County, South Dakota","Haakon County, South Dakota","Hamlin County, South Dakota","Hand County, South Dakota","Hanson County, South Dakota","Harding County, South Dakota","Hughes County, South Dakota","Hutchinson County, South Dakota","Hyde County, South Dakota","Jackson County, South Dakota","Jerauld County, South Dakota","Jones County, South Dakota","Kingsbury County, South Dakota","Lake County, South Dakota","Lawrence County, South Dakota","Lincoln County, South Dakota","Lyman County, South Dakota","McCook County, South Dakota","McPherson County, South Dakota","Marshall County, South Dakota","Meade County, South Dakota","Mellette County, South Dakota","Miner County, South Dakota","Minnehaha County, South Dakota","Moody County, South Dakota","Pennington County, South Dakota","Perkins County, South Dakota","Potter County, South Dakota","Roberts County, South Dakota","Sanborn County, South Dakota","Shannon County, South Dakota","Spink County, South Dakota","Stanley County, South Dakota","Sully County, South Dakota","Todd County, South Dakota","Tripp County, South Dakota","Turner County, South Dakota","Union County, South Dakota","Walworth County, South Dakota","Yankton County, South Dakota","Ziebach County, South Dakota"
15,144,81,47,164,141,94,65,35,3,172,26,129,128,139,84,151,148,21,91,42,31,64,17,73,66,11,16,54,27,18,121,39,14,55,36,14,12,87,211,159,39,10,53,38,308,64,11,1564,51,1141,34,9,145,3,418,81,19,1,325,95,59,39,28,160,145
5,160,78,105,191,96,36,39,110,40,50,14,116,202,54,22,179,64,9,87,10,41,78,12,32,55,39,18,12,28,33,42,58,2,6,23,17,48,88,195,96,31,43,65,18,188,32,4,861,44,521,2,28,129,11,201,34,38,4,155,98,39,52,66,100,40
83,539,100,151,509,633,93,55,331,31,193,63,158,506,105,121,508,158,79,218,73,58,183,50,188,146,41,114,84,50,13,343,219,31,91,50,11,96,191,489,468,106,66,66,81,384,86,73,2992,182,1920,95,52,205,69,490,151,61,18,385,133,147,189,91,282,79
90,473,102,204,672,860,139,94,244,53,268,79,239,576,111,220,454,140,130,154,75,65,161,85,213,164,19,115,88,41,46,255,193,15,71,66,18,106,246,514,654,93,180,66,86,717,70,57,3591,158,2809,107,95,245,40,360,156,60,41,235,207,214,195,184,492,59
124,496,135,225,1089,1384,245,34,280,75,297,119,408,1235,96,473,795,320,201,108,154,151,248,94,362,261,101,236,154,125,54,358,302,53,146,91,52,307,432,874,1382,119,239,115,176,1411,80,104,5903,287,3436,111,118,432,119,337,212,139,65,375,314,381,414,264,644,95
200,1122,127,357,1669,2521,488,86,661,81,461,258,581,1659,196,531,1240,319,351,174,223,229,410,137,660,260,151,342,266,195,76,756,447,85,187,164,64,421,629,1405,2432,181,336,89,215,1697,76,149,10216,512,5759,189,160,557,167,276,368,194,82,287,376,683,1045,318,1453,92
94,774,43,250,996,1704,220,22,489,65,325,140,406,1330,52,414,834,255,212,141,146,187,313,67,268,126,101,232,114,160,73,965,375,68,88,88,33,271,516,1193,2765,164,263,112,201,1261,61,113,8075,317,4616,115,84,480,108,147,272,128,93,76,189,458,719,270,1069,63
98,473,73,228,1149,1560,119,26,192,43,182,77,341,750,79,459,832,126,131,131,89,185,281,77,279,96,71,269,119,82,38,987,161,58,75,92,40,214,475,990,2817,174,259,102,141,873,33,71,6795,182,3902,82,89,293,96,111,246,76,65,172,154,311,579,153,757,43
6,105,12,47,296,264,21,6,65,13,38,37,183,160,10,30,121,37,43,17,16,37,35,13,57,28,9,47,36,33,3,315,53,17,16,13,8,71,174,224,1187,17,70,4,32,179,6,25,1815,112,1011,17,12,69,17,0,47,42,17,1,18,60,289,42,324,10
25,128,32,43,219,353,31,0,73,12,68,64,47,329,21,84,89,31,41,30,48,29,23,30,33,31,18,61,34,25,16,179,106,8,25,17,6,38,94,266,897,19,37,19,50,191,5,26,1747,84,1237,48,15,51,21,27,100,41,11,12,67,48,322,49,227,0
