"Anderson County, Tennessee","Bedford County, Tennessee","Benton County, Tennessee","Bledsoe County, Tennessee","Blount County, Tennessee","Bradley County, Tennessee","Campbell County, Tennessee","Cannon County, Tennessee","Carroll County, Tennessee","Carter County, Tennessee","Cheatham County, Tennessee","Chester County, Tennessee","Claiborne County, Tennessee","Clay County, Tennessee","Cocke County, Tennessee","Coffee County, Tennessee","Crockett County, Tennessee","Cumberland County, Tennessee","Davidson County, Tennessee","Decatur County, Tennessee","DeKalb County, Tennessee","Dickson County, Tennessee","Dyer County, Tennessee","Fayette County, Tennessee","Fentress County, Tennessee","Franklin County, Tennessee","Gibson County, Tennessee","Giles County, Tennessee","Grainger County, Tennessee","Greene County, Tennessee","Grundy County, Tennessee","Hamblen County, Tennessee","Hamilton County, Tennessee","Hancock County, Tennessee","Hardeman County, Tennessee","Hardin County, Tennessee","Hawkins County, Tennessee","Haywood County, Tennessee","Henderson County, Tennessee","Henry County, Tennessee","Hickman County, Tennessee","Houston County, Tennessee","Humphreys County, Tennessee","Jackson County, Tennessee","Jefferson County, Tennessee","Johnson County, Tennessee","Knox County, Tennessee","Lake County, Tennessee","Lauderdale County, Tennessee","Lawrence County, Tennessee","Lewis County, Tennessee","Lincoln County, Tennessee","Loudon County, Tennessee","McMinn County, Tennessee","McNairy County, Tennessee","Macon County, Tennessee","Madison County, Tennessee","Marion County, Tennessee","Marshall County, Tennessee","Maury County, Tennessee","Meigs County, Tennessee","Monroe County, Tennessee","Montgomery County, Tennessee","Moore County, Tennessee","Morgan County, Tennessee","Obion County, Tennessee","Overton County, Tennessee","Perry County, Tennessee","Pickett County, Tennessee","Polk County, Tennessee","Putnam County, Tennessee","Rhea County, Tennessee","Roane County, Tennessee","Robertson County, Tennessee","Rutherford County, Tennessee","Scott County, Tennessee","Sequatchie County, Tennessee","Sevier County, Tennessee","Shelby County, Tennessee","Smith County, Tennessee","Stewart County, Tennessee","Sullivan County, Tennessee","Sumner County, Tennessee","Tipton County, Tennessee","Trousdale County, Tennessee","Unicoi County, Tennessee","Union County, Tennessee","Van Buren County, Tennessee","Warren County, Tennessee","Washington County, Tennessee","Wayne County, Tennessee","Weakley County, Tennessee","White County, Tennessee","Williamson County, Tennessee","Wilson County, Tennessee"
1123,715,471,225,1403,1439,1069,295,489,1644,447,271,600,200,1013,935,231,855,8369,342,206,849,586,426,376,469,591,535,291,1162,346,1113,4602,212,442,386,954,255,414,667,363,112,207,272,908,306,5188,137,655,370,192,387,598,938,505,324,1640,420,434,1231,221,677,3339,0,324,584,424,149,270,221,1946,637,646,708,2739,326,277,954,16365,312,238,2443,1471,773,85,298,341,63,718,1819,349,518,504,816,963
796,494,211,164,1155,1223,658,112,327,854,320,237,559,166,696,747,98,614,5479,160,333,536,549,249,364,559,594,405,425,1051,262,700,3118,211,328,339,731,219,274,381,255,114,126,203,557,423,2826,112,498,552,187,598,592,634,266,471,1072,334,262,759,139,641,1470,39,198,398,340,48,42,181,844,431,470,550,1344,468,130,1167,9555,258,243,2182,1261,664,103,208,361,72,573,1427,181,462,285,820,672
2362,1843,520,435,3146,2979,1610,361,842,2206,769,415,1110,393,1483,1701,490,2189,13491,380,577,1242,1352,793,905,1168,1636,969,863,2534,642,1972,8157,331,910,1175,2036,591,621,851,558,367,546,434,1426,803,9289,238,1023,1352,449,964,1319,1736,844,743,2114,876,707,1989,476,1936,3319,121,709,1020,1034,299,130,665,2159,958,1580,1161,4697,942,554,2780,22607,398,434,4858,3210,1232,266,776,749,214,1434,3271,768,1194,817,1985,1986
1799,1415,672,529,3841,2962,1532,437,963,2068,963,490,1105,365,1366,1647,674,1941,13789,407,636,1663,1365,921,595,1456,1686,923,1009,3095,524,1864,8336,303,861,819,2378,772,1195,1125,825,272,512,364,1706,838,9704,163,948,1757,413,1157,1204,1756,1136,917,2361,1029,1183,2060,544,1607,4586,272,833,1083,771,368,373,593,2187,1089,1754,1637,5071,944,616,3402,22018,527,396,5174,3831,1745,186,664,676,283,1405,3754,512,1009,1069,2155,2466
2828,1872,836,538,5276,4246,1809,827,1488,2771,1660,671,1610,420,1696,1944,808,3640,19565,560,975,2399,1866,1461,961,2193,2297,1557,1139,3410,569,2790,11688,237,858,1234,2887,798,1553,1554,1374,381,813,576,2502,545,13765,224,1101,1786,609,1420,2205,2319,1204,1162,3766,1284,1327,3606,427,2425,7304,226,856,1637,1023,430,368,947,2518,1438,2696,2666,10097,885,471,4815,27603,919,520,7364,6612,2064,286,794,980,269,1716,5248,675,1307,1370,3787,4114
4569,2606,907,640,7499,5042,2244,939,1513,3460,2686,1048,1827,525,2319,3188,799,3017,28191,652,895,3022,2099,2765,1061,2542,2706,1788,1312,4293,622,3675,17406,366,1268,1146,3542,882,1510,1971,1227,572,1230,664,3062,1133,22233,260,1213,2553,642,2235,3377,3361,1324,1316,4686,1556,1962,5365,584,2551,10838,468,1062,1975,1335,412,337,981,3397,1915,3115,4543,14065,885,680,6243,39737,1255,772,9279,9721,3879,543,995,1071,305,2202,6479,962,2079,1293,7308,6861
2563,1614,480,415,5409,3781,1177,514,802,1685,1857,634,818,139,802,1941,367,1897,19431,515,626,1862,1639,1630,312,1436,1895,1172,518,2171,264,2380,13229,87,629,793,1982,516,1238,1209,947,218,849,232,1563,504,16925,153,600,1654,448,1250,2136,1591,740,679,3493,938,1053,3116,620,1519,6978,356,719,1073,807,215,188,627,2484,877,1766,2915,11857,535,769,3219,27119,732,463,5385,7729,2546,204,585,529,135,1204,4208,556,1114,690,7526,5547
2625,1085,348,170,4045,2821,715,304,673,1070,1407,379,564,175,597,1337,373,1413,18776,154,529,1746,922,1639,244,1070,1129,591,421,1441,266,1622,12642,69,496,472,1481,321,583,844,503,221,622,273,1427,221,16371,80,378,804,215,989,2038,1485,425,486,2732,1006,1031,2408,332,1008,5819,177,461,637,410,115,114,393,1811,759,2011,2519,11691,351,322,2964,31882,435,582,5034,7267,2636,190,542,277,135,690,4237,240,1008,518,12453,6115
1004,307,55,35,1141,850,96,71,146,265,365,113,57,12,126,332,25,323,6990,122,44,255,270,646,84,233,270,107,94,429,68,503,4449,30,136,81,372,95,286,139,201,21,79,16,492,47,6340,3,186,172,24,195,605,350,113,70,810,253,170,775,55,265,1633,22,115,187,57,37,82,90,527,148,552,628,3523,53,146,696,12419,210,63,1578,2338,619,60,83,104,0,187,1271,119,213,107,6750,1703
566,143,40,56,878,515,89,28,96,183,209,70,141,3,123,312,74,354,8876,181,117,287,246,533,48,297,250,96,114,286,28,330,4469,10,25,201,194,73,150,225,67,14,60,33,170,29,6384,24,93,177,44,184,503,138,89,44,1027,130,132,615,13,211,911,30,73,160,91,7,29,71,465,120,368,370,1916,37,81,408,12352,95,55,1393,2258,299,80,86,61,15,212,1395,39,197,102,8758,1229
