"Texas County, Missouri","Texas County, Oklahoma","Anderson County, Texas","Andrews County, Texas","Angelina County, Texas","Aransas County, Texas","Archer County, Texas","Armstrong County, Texas","Atascosa County, Texas","Austin County, Texas","Bailey County, Texas","Bandera County, Texas","Bastrop County, Texas","Baylor County, Texas","Bee County, Texas","Bell County, Texas","Bexar County, Texas","Blanco County, Texas","Borden County, Texas","Bosque County, Texas","Bowie County, Texas","Brazoria County, Texas","Brazos County, Texas","Brewster County, Texas","Briscoe County, Texas","Brooks County, Texas","Brown County, Texas","Burleson County, Texas","Burnet County, Texas","Caldwell County, Texas","Calhoun County, Texas","Callahan County, Texas","Cameron County, Texas","Camp County, Texas","Carson County, Texas","Cass County, Texas","Castro County, Texas","Chambers County, Texas","Cherokee County, Texas","Childress County, Texas","Clay County, Texas","Cochran County, Texas","Coke County, Texas","Coleman County, Texas","Collin County, Texas","Collingsworth County, Texas","Colorado County, Texas","Comal County, Texas","Comanche County, Texas","Concho County, Texas","Cooke County, Texas","Coryell County, Texas","Cottle County, Texas","Crane County, Texas","Crockett County, Texas","Crosby County, Texas","Culberson County, Texas","Dallam County, Texas","Dallas County, Texas","Dawson County, Texas","Deaf Smith County, Texas","Delta County, Texas","Denton County, Texas","DeWitt County, Texas","Dickens County, Texas","Dimmit County, Texas","Donley County, Texas","Duval County, Texas","Eastland County, Texas","Ector County, Texas","Edwards County, Texas","Ellis County, Texas","El Paso County, Texas","Erath County, Texas","Falls County, Texas","Fannin County, Texas","Fayette County, Texas","Fisher County, Texas","Floyd County, Texas","Foard County, Texas","Fort Bend County, Texas","Franklin County, Texas","Freestone County, Texas","Frio County, Texas","Gaines County, Texas","Galveston County, Texas","Garza County, Texas","Gillespie County, Texas","Glasscock County, Texas","Goliad County, Texas","Gonzales County, Texas","Gray County, Texas","Grayson County, Texas","Gregg County, Texas","Grimes County, Texas","Guadalupe County, Texas","Hale County, Texas","Hall County, Texas","Hamilton County, Texas","Hansford County, Texas","Hardeman County, Texas","Hardin County, Texas","Harris County, Texas","Harrison County, Texas","Hartley County, Texas","Haskell County, Texas","Hays County, Texas","Hemphill County, Texas","Henderson County, Texas","Hidalgo County, Texas","Hill County, Texas","Hockley County, Texas","Hood County, Texas","Hopkins County, Texas","Houston County, Texas","Howard County, Texas","Hudspeth County, Texas","Hunt County, Texas","Hutchinson County, Texas","Irion County, Texas","Jack County, Texas","Jackson County, Texas","Jasper County, Texas","Jeff Davis County, Texas","Jefferson County, Texas","Jim Hogg County, Texas","Jim Wells County, Texas","Johnson County, Texas","Jones County, Texas","Karnes County, Texas","Kaufman County, Texas","Kendall County, Texas","Kenedy County, Texas","Kent County, Texas","Kerr County, Texas","Kimble County, Texas","King County, Texas","Kinney County, Texas","Kleberg County, Texas","Knox County, Texas","Lamar County, Texas","Lamb County, Texas","Lampasas County, Texas","La Salle County, Texas","Lavaca County, Texas","Lee County, Texas","Leon County, Texas","Liberty County, Texas","Limestone County, Texas","Lipscomb County, Texas","Live Oak County, Texas","Llano County, Texas","Loving County, Texas","Lubbock County, Texas","Lynn County, Texas","McCulloch County, Texas","McLennan County, Texas","McMullen County, Texas","Madison County, Texas","Marion County, Texas","Martin County, Texas","Mason County, Texas","Matagorda County, Texas","Maverick County, Texas","Medina County, Texas","Menard County, Texas","Midland County, Texas","Milam County, Texas","Mills County, Texas","Mitchell County, Texas","Montague County, Texas","Montgomery County, Texas","Moore County, Texas","Morris County, Texas","Motley County, Texas","Nacogdoches County, Texas","Navarro County, Texas","Newton County, Texas","Nolan County, Texas","Nueces County, Texas","Ochiltree County, Texas","Oldham County, Texas","Orange County, Texas","Palo Pinto County, Texas","Panola County, Texas","Parker County, Texas","Parmer County, Texas","Pecos County, Texas","Polk County, Texas","Potter County, Texas","Presidio County, Texas","Rains County, Texas","Randall County, Texas","Reagan County, Texas","Real County, Texas","Red River County, Texas","Reeves County, Texas","Refugio County, Texas","Roberts County, Texas","Robertson County, Texas","Rockwall County, Texas","Runnels County, Texas","Rusk County, Texas","Sabine County, Texas","San Augustine County, Texas","San Jacinto County, Texas","San Patricio County, Texas","San Saba County, Texas","Schleicher County, Texas","Scurry County, Texas","Shackelford County, Texas","Shelby County, Texas","Sherman County, Texas","Smith County, Texas","Somervell County, Texas","Starr County, Texas","Stephens County, Texas","Sterling County, Texas","Stonewall County, Texas","Sutton County, Texas","Swisher County, Texas","Tarrant County, Texas","Taylor County, Texas","Terrell County, Texas","Terry County, Texas","Throckmorton County, Texas","Titus County, Texas","Tom Green County, Texas","Travis County, Texas","Trinity County, Texas","Tyler County, Texas","Upshur County, Texas","Upton County, Texas","Uvalde County, Texas","Val Verde County, Texas","Van Zandt County, Texas","Victoria County, Texas","Walker County, Texas","Waller County, Texas","Ward County, Texas","Washington County, Texas","Webb County, Texas","Wharton County, Texas","Wheeler County, Texas","Wichita County, Texas","Wilbarger County, Texas","Willacy County, Texas","Williamson County, Texas","Wilson County, Texas","Winkler County, Texas","Wise County, Texas","Wood County, Texas","Yoakum County, Texas","Young County, Texas","Zapata County, Texas","Zavala County, Texas"
283,163,657,127,828,494,46,7,663,332,9,95,758,24,468,4343,22024,60,0,143,1827,2507,2682,53,21,242,471,204,430,468,278,170,10830,168,29,474,27,287,944,87,56,47,28,251,5166,21,387,869,334,61,367,757,9,81,70,88,63,98,30130,149,166,64,3276,138,35,186,27,154,392,1790,7,1322,12972,491,173,371,182,40,106,6,3794,142,142,181,233,3548,69,89,5,109,217,256,1396,1726,374,1141,585,45,128,43,100,660,53132,1177,6,51,1197,54,1305,20033,363,230,350,494,282,364,108,1173,250,26,61,96,642,6,4519,69,668,1541,288,186,942,88,2,11,692,65,3,78,631,93,874,215,155,153,67,122,291,1187,273,11,70,169,0,3528,133,91,3283,10,188,322,71,9,731,1358,510,56,1312,302,79,67,320,4181,186,268,8,1156,892,218,209,5288,82,6,1060,446,260,1053,123,162,849,2376,141,98,928,3,51,140,242,74,0,405,335,171,673,254,188,547,867,48,84,151,69,464,16,2152,106,1603,200,13,30,7,125,18863,1642,11,112,21,529,1242,11389,178,331,548,64,581,529,783,1275,977,560,134,427,5520,518,29,1446,211,853,2229,262,56,653,502,75,248,410,485
369,102,600,133,1185,219,59,18,329,109,43,151,571,21,319,1956,14860,71,3,141,755,1848,1438,49,25,177,460,185,266,240,188,121,7500,120,15,447,145,181,637,50,61,43,14,92,3344,54,182,709,158,35,499,430,22,39,16,99,65,59,22220,281,225,34,2139,146,29,249,28,185,180,1311,20,1146,11171,452,195,410,176,48,109,25,2560,83,372,239,162,2062,55,170,5,83,186,208,1354,1277,172,732,370,47,46,14,84,293,38475,616,22,73,1021,23,644,16210,446,159,378,390,187,266,113,955,141,0,35,152,382,3,2750,77,859,721,212,239,802,81,0,1,482,74,0,11,349,52,697,119,194,11,150,71,109,451,309,21,140,179,0,2631,54,59,2297,12,110,78,37,60,326,1030,587,14,624,348,27,9,213,2975,108,143,7,896,463,134,189,3182,156,31,827,284,164,566,126,207,597,1432,142,66,807,50,36,232,168,104,0,184,379,218,398,127,173,240,910,78,42,88,32,376,20,1770,15,1570,114,7,22,50,64,13567,1299,0,50,18,173,1033,7689,153,172,288,31,173,704,437,769,821,108,210,361,3859,467,16,1047,143,300,1390,356,57,327,341,16,140,465,157
787,639,1222,444,2722,670,228,23,1260,538,263,352,1672,118,578,5726,38754,193,17,549,2643,4569,4008,233,49,326,1125,453,1310,762,738,230,14629,539,137,993,285,450,1787,132,184,65,124,429,7731,74,563,2164,356,29,923,1133,65,114,48,271,41,104,59941,326,503,206,7757,461,57,315,125,562,461,3236,70,2906,25898,898,591,888,588,118,134,26,7408,288,566,564,451,4841,93,744,6,170,768,408,2940,2837,800,2164,1114,140,173,137,147,1249,97004,1387,98,253,2284,48,2388,26635,1129,575,867,1035,810,574,171,1787,555,55,119,287,988,47,6586,108,1144,2661,309,234,1992,520,21,27,1382,132,8,159,997,124,1407,515,524,225,612,296,453,2187,603,58,427,514,2,6147,87,300,6441,12,259,350,102,90,1172,2442,1118,98,2343,693,122,235,576,7310,356,419,45,1757,1626,331,332,8910,216,32,1575,670,447,2101,329,306,1768,3276,292,308,1849,68,174,402,263,272,39,531,764,430,1269,368,244,608,1570,123,72,504,108,768,58,4976,184,2942,295,27,28,82,211,36672,2984,39,309,82,882,2697,17095,389,765,932,96,952,1708,1350,2610,1079,1125,212,798,7502,1100,209,3150,368,695,5016,912,212,1241,1014,241,330,529,398
827,700,1555,300,3270,858,214,40,1335,691,156,591,1570,108,760,8134,40496,282,7,613,2468,5884,3806,235,69,171,1323,427,1461,889,635,381,12648,392,144,933,347,839,1475,157,294,121,93,413,11874,97,403,2626,443,74,995,1598,133,126,150,177,27,367,64124,286,585,139,10434,472,90,193,63,274,645,3327,88,3114,25234,1073,580,985,627,115,207,45,9412,321,439,659,394,5972,138,629,43,215,592,752,3608,3149,543,2732,1174,74,331,192,86,1421,99437,2152,48,208,2335,31,2462,22470,1119,714,1420,1140,694,928,146,2281,769,27,295,307,1095,90,5925,235,1354,3100,267,387,2098,695,0,38,1856,94,2,86,929,100,1554,445,535,186,747,405,576,1861,772,59,348,615,0,7052,244,216,6709,10,216,431,163,160,1093,1672,1165,71,3222,733,201,200,577,9393,625,490,41,1572,1559,460,522,9223,346,39,2253,1085,505,2458,323,210,1542,3423,275,335,2624,36,133,567,279,273,22,386,868,299,1445,446,296,800,2017,181,58,479,72,939,80,5927,129,1925,236,37,8,134,277,41882,3568,34,414,75,1133,3008,18951,561,907,1224,99,1016,1305,1508,2152,1034,1136,268,1097,7012,1199,133,3274,375,565,7228,859,169,1210,1251,233,721,405,362
1407,663,1532,431,3827,866,336,35,2052,903,489,880,2753,146,794,11882,59080,511,17,851,3105,8849,4885,364,50,172,1461,697,1757,1457,833,502,13659,587,155,1384,336,893,2037,191,435,156,111,291,18653,145,1013,2855,601,66,1433,3004,110,133,150,272,154,309,78929,415,891,158,16400,726,74,477,131,452,750,5119,51,5189,32091,1389,466,1289,1050,159,232,76,14037,333,700,671,509,8481,117,887,22,264,693,945,4755,4434,850,4324,1457,132,397,219,155,2015,127626,2560,219,287,3888,186,3732,26487,1309,621,2033,1749,789,916,81,3425,885,89,282,616,1547,136,8163,266,1351,5825,718,460,3304,1362,32,32,1655,209,8,118,992,137,2144,653,888,211,957,675,708,2645,919,109,442,677,0,9502,310,295,8205,26,562,437,212,217,1211,1685,1319,103,4156,1061,199,387,957,13128,992,616,56,1811,2017,674,671,11684,401,84,3291,1023,994,3509,456,427,1686,4602,239,509,4040,209,131,667,361,316,6,698,1888,466,1786,439,489,1175,2163,337,67,719,102,1144,142,7292,376,1559,402,55,83,168,275,55793,4667,29,532,115,1247,4223,27207,636,927,1392,90,757,1969,2338,3226,1549,1234,426,1075,8819,1402,240,4768,712,684,12199,1530,312,2543,2170,409,745,443,503
1623,1247,2145,499,4174,1408,561,118,2166,1669,396,1525,4187,358,1465,16141,80939,403,49,1052,4589,13775,7262,449,80,207,1917,1063,2548,1615,1148,828,15670,567,442,1532,359,1732,2497,370,631,158,292,523,32182,166,1274,5747,688,174,2258,3562,100,256,199,327,118,327,100236,699,797,293,29463,1128,145,551,222,440,883,7485,104,7846,35372,1731,704,1799,1816,286,409,35,23684,651,1144,578,993,12400,252,1620,53,398,807,1204,6717,6333,1383,7557,1631,171,430,393,241,3129,167253,3433,240,360,7249,213,4067,28662,2080,1531,3424,2263,868,1682,65,4411,1080,102,350,751,1503,194,10991,200,1799,9081,825,554,6197,1473,45,60,2581,262,22,187,1646,204,2836,573,998,109,1111,814,857,4176,1144,195,644,1070,5,12929,279,378,10749,37,499,702,163,193,1573,2199,2564,109,6917,1173,296,534,1035,20056,1462,645,30,3083,2363,614,779,15721,513,99,4614,1261,1607,5350,442,700,2362,5321,412,862,6546,182,137,731,477,346,64,732,3847,446,2637,467,335,1442,3478,328,101,840,327,1158,139,10514,420,1896,531,130,57,257,339,86395,7189,22,474,57,1757,5929,37682,655,1177,2364,198,1079,2222,3115,4605,2589,2188,413,1752,9692,2018,340,7094,613,686,22023,2584,439,3308,2586,468,1101,552,385
550,834,1714,740,2899,617,489,107,1589,1205,192,899,2649,68,658,10713,54253,477,26,868,3367,11896,4753,289,82,145,1312,605,1652,865,779,530,8066,422,439,974,147,1592,1411,241,629,90,140,152,31007,73,684,4883,442,111,1646,2705,27,159,271,183,41,262,66490,398,724,249,26405,592,116,210,143,277,504,4830,100,7091,20383,1369,416,1379,908,128,251,58,23217,540,688,455,503,11324,120,1153,29,367,752,888,5025,4378,910,6361,984,56,271,159,153,2527,120552,2016,279,116,5708,188,2471,16022,1191,890,2052,1217,764,952,41,2880,722,113,419,519,1486,41,7688,205,923,6552,543,441,4410,1462,12,58,1812,155,23,135,1025,126,1870,306,831,140,768,859,720,2222,719,134,260,768,4,8980,242,309,7435,19,343,328,203,117,838,1249,2045,56,5266,855,174,182,717,18250,642,431,26,1878,1532,495,399,11427,464,50,3447,880,970,5229,291,419,1621,3234,183,355,5938,161,149,230,418,253,51,477,3942,407,1796,217,97,847,2288,143,152,518,94,822,89,8162,465,926,358,34,70,140,231,64511,4272,52,389,56,1028,4175,31406,406,613,1692,129,841,1290,1773,3230,1819,1118,414,1259,5560,1206,254,4582,501,222,20341,1986,206,2629,1347,192,708,286,79
508,552,1410,686,2395,981,416,126,1752,1443,226,783,3157,89,448,10847,60501,540,38,508,2697,17294,5587,395,56,197,1034,625,1655,937,856,447,7154,292,298,951,141,2132,1373,283,549,59,81,258,51130,47,716,5814,323,64,1378,2009,45,181,89,126,40,113,74248,376,484,157,41400,632,39,218,68,200,368,4809,103,7575,19622,1016,301,983,811,124,175,18,35632,326,600,139,621,14281,152,1067,103,372,436,655,4135,4020,817,6848,806,60,205,195,77,2595,143100,2646,252,213,7300,198,2372,14723,991,733,2340,1024,562,1008,50,2852,772,39,283,605,1077,111,7904,101,1484,6952,335,438,5187,1936,10,19,1810,140,11,24,763,93,1468,362,754,80,697,707,564,2649,631,128,391,851,3,9258,201,216,7365,24,274,303,97,206,1752,890,1656,47,6487,794,127,272,766,21527,626,283,32,1778,1476,186,360,12120,516,85,3109,1107,917,6038,293,527,1217,2645,97,419,6379,158,45,277,198,273,86,437,5176,361,1744,198,147,1094,2388,76,147,642,116,600,121,7670,303,658,237,55,43,133,240,78519,4248,30,183,27,855,3878,40736,293,632,1355,144,545,1414,1355,3312,1588,1514,383,1151,5550,1364,224,4080,365,310,26071,2538,294,2669,1110,352,621,470,178
88,254,345,283,696,350,95,40,424,297,11,232,820,50,101,3314,20512,144,16,104,860,8014,2468,103,1,16,120,105,456,365,128,135,2138,117,64,145,52,1178,399,36,97,9,11,65,26602,33,275,3084,54,33,442,387,7,32,45,30,13,33,28521,89,146,23,18608,169,8,65,38,95,99,1750,0,2307,5730,255,122,178,236,11,104,0,18262,138,251,100,88,7139,39,439,22,126,107,195,1443,1380,125,2343,236,30,81,44,40,808,62729,659,55,41,3015,65,563,3671,356,340,1004,349,138,396,7,928,183,19,102,226,329,48,2493,0,516,2055,97,105,1423,1235,0,4,606,74,7,7,214,16,345,110,434,59,225,191,114,786,195,28,69,101,3,2962,26,39,2441,0,119,14,82,94,505,302,729,12,2458,115,40,22,156,11134,199,167,13,401,309,73,89,3847,99,51,1228,162,299,3105,59,146,184,789,24,44,2190,18,4,44,79,81,12,141,2674,39,406,79,46,198,648,12,35,248,17,294,34,2425,88,225,53,3,12,44,18,31299,1341,6,149,21,218,917,19688,81,163,249,42,99,339,396,1137,341,429,94,403,1281,290,67,1061,57,66,10000,800,71,781,415,107,285,131,52
93,117,364,270,472,255,120,6,265,330,21,152,524,31,277,2153,19373,119,18,171,808,5385,2318,94,8,10,280,89,460,263,232,93,1863,65,52,93,34,555,263,80,77,11,41,38,26826,51,194,2466,44,15,425,245,7,32,9,33,6,27,35404,74,40,16,17062,190,9,8,29,60,89,1354,4,1885,4516,300,29,138,368,13,63,0,20746,164,121,87,204,6067,75,384,24,122,141,122,1094,1179,186,1217,225,17,65,61,10,482,74812,581,74,68,2396,49,504,3273,183,160,738,283,118,157,11,639,65,24,87,79,129,17,2419,60,326,1364,73,156,976,1013,0,7,547,58,4,0,141,8,350,76,96,23,183,142,199,371,90,50,51,361,0,2873,49,54,1835,4,42,30,26,74,239,123,392,14,3453,187,60,13,227,13343,84,89,0,432,363,127,77,2758,92,13,623,267,217,2287,39,53,250,664,6,16,1589,37,0,26,8,52,22,154,1952,58,380,27,44,405,546,38,56,179,49,218,20,2839,215,126,73,9,15,75,45,29883,1018,8,114,16,159,938,25370,33,50,354,11,194,119,274,737,391,422,83,249,1040,226,94,998,38,14,6788,390,59,576,360,50,144,34,46
