"Beaver County, Utah","Box Elder County, Utah","Cache County, Utah","Carbon County, Utah","Daggett County, Utah","Davis County, Utah","Duchesne County, Utah","Emery County, Utah","Garfield County, Utah","Grand County, Utah","Iron County, Utah","Juab County, Utah","Kane County, Utah","Millard County, Utah","Morgan County, Utah","Piute County, Utah","Rich County, Utah","Salt Lake County, Utah","San Juan County, Utah","Sanpete County, Utah","Sevier County, Utah","Summit County, Utah","Tooele County, Utah","Uintah County, Utah","Utah County, Utah","Wasatch County, Utah","Washington County, Utah","Wayne County, Utah","Weber County, Utah"
40,380,987,228,10,1614,141,96,60,55,648,98,27,154,6,9,14,7974,372,176,229,451,480,287,4507,238,1589,63,2242
19,227,637,218,0,1200,179,53,36,27,512,91,42,134,18,19,8,5614,171,109,137,100,297,198,3282,90,877,33,1328
186,660,2386,390,3,3529,457,141,106,180,1352,190,167,194,95,74,41,15681,261,400,477,365,693,643,7844,301,2658,32,3864
84,1235,3003,589,34,4369,386,225,125,143,1213,208,180,350,127,41,49,19210,317,653,576,555,1098,601,9603,306,4134,135,5130
356,2254,4376,742,29,9376,846,485,322,376,1818,397,334,485,291,60,110,29828,515,1049,936,801,2011,1021,16176,750,6256,141,9307
318,3328,6331,1424,42,17120,1362,824,310,480,2646,792,701,724,475,99,76,52402,570,1297,1497,1508,3800,2104,26077,1610,8691,169,14136
236,2546,3909,810,32,14812,838,575,135,302,1324,408,301,422,561,71,131,41301,422,1043,702,1459,2679,1549,19508,1072,5172,81,9626
266,1820,3501,698,29,15947,896,328,167,311,1029,267,187,505,698,30,85,42784,303,724,605,1846,2686,1404,19392,1032,4044,78,8785
39,485,806,163,9,5289,268,50,18,47,268,92,12,92,67,2,7,14406,106,219,130,1101,600,332,6035,352,1243,15,2466
30,290,723,43,7,3769,123,25,31,44,231,39,61,62,164,2,14,13505,41,188,72,1692,299,201,4746,377,1082,13,1646
